bill_key,state,identifier,title,title_truncated,session,stage,stage_date,lookup_status,openstates_url,reach,reach_basis,reach_evidence,instrument,instrument_basis,direction,stance_eligible,in_frame_via,incident_id,flags
DE:HB 445,DE,HB 445,AN ACT TO AMEND TITLE 26 AND TITLE 29 OF THE DELAWARE CODE RELATING TO LARGE ENERGY USE FACILITIES.,0,153,Failed floor vote,2026-07-01,matched,https://openstates.org/de/bills/153/HB445/,large_load_class,title_class_term,LARGE ENERGY USE,ratepayer_cost_allocation,incident_objective,restrictive,1,Limit ratepayer exposure to data center energy costs and require DE data centers to self-supply power,opp_323cf409c293,
DE:SB 205,DE,SB 205,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Require PSC operating certificate for 30MW+ facilities in Delaware,opp_722f42b528f6,
DE:SB 326,DE,SB 326,AN ACT TO AMEND TITLE 26 OF THE DELAWARE CODE RELATING TO THE PUBLIC SERVICE COMMISSION.,0,153,Signed into law,2026-07-13,matched,https://openstates.org/de/bills/153/SB326/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,ratepayer_cost_allocation,incident_objective,unclassified,0,Limit ratepayer exposure to data center energy costs and require DE data centers to self-supply power,opp_323cf409c293,
FL:HB 1007,FL,HB 1007,Data Centers,0,2026,Passed committee only,2026-02-24,ambiguous_session,https://openstates.org/fl/bills/2026/HB1007/,data_center_specific,title_term,Data Center,siting_zoning,incident_objective,restrictive,1,Ban data centers from agricultural zones with 500-foot setbacks,opp_89cbc3a4a3cd,
FL:HB 1517,FL,HB 1517,,0,,,,http_429,,unestablished,incident_names_another_bill,,disclosure_reporting,incident_objective,unclassified,0,"Require data center developers to disclose projected energy, water, emissions, and noise impacts at application stage in FL",opp_9de9ae844e1d,
FL:SB 1118,FL,SB 1118,Public Records/Data Centers,0,2026,Failed floor vote,2026-03-13,ambiguous_session,https://openstates.org/fl/bills/2026/SB1118/,data_center_specific,title_term,Data Center,siting_zoning,incident_objective,restrictive,1,Create public records exemption shielding data center siting plans for 12 months (SB 1118),opp_51503be68e34,
FL:SB 1517,FL,SB 1517,,0,,,,http_429,,unestablished,title_unavailable,,disclosure_reporting,incident_objective,unclassified,0,"Require data center developers to disclose projected energy, water, emissions, and noise impacts at application stage in FL",opp_9de9ae844e1d,
FL:SB 484,FL,SB 484,Data Centers,0,2026,Signed into law,2026-05-07,ambiguous_session,https://openstates.org/fl/bills/2026/SB484/,data_center_specific,title_term,Data Center,siting_zoning,incident_objective,restrictive,1,Create public records exemption shielding data center siting plans for 12 months (SB 1118),opp_cd8aa1ff3a14,
GA:HB 1012,GA,HB 1012,Local government; construction or development of  new data centers for a specified time; prohibit,0,2025_26,Introduced,2026-01-16,matched,https://openstates.org/ga/bills/2025_26/HB1012/,data_center_specific,title_term,data center,moratorium_prohibition,title,restrictive,1,Pause data center permits for study via HB 1012,opp_86d1daea9ead,
GA:HB 1059,GA,HB 1059,Data Center Impact Assessment and Development Moratorium Act of 2026; enact,0,2025_26,Introduced,2026-01-28,matched,https://openstates.org/ga/bills/2025_26/HB1059/,data_center_specific,title_term,Data Center,moratorium_prohibition,title,restrictive,1,Pause data center permits for study via HB 1012,opp_2509e4a89095,
GA:HB 1063,GA,HB 1063,Electric utilities; protect residential and retail electricity customers from costs associated with data center construction and operation; require,0,2025_26,Withdrawn,2026-02-02,ambiguous_session,https://openstates.org/ga/bills/2025_26/HB1063/,data_center_specific,title_term,data center,ratepayer_cost_allocation,title,restrictive,1,Suspend data center tax exemptions and ban water NDAs in Georgia,opp_65677bb0b311,
GA:HB 559,GA,HB 559,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Accelerate data center tax exemption sunset (HB 559),opp_f1351012a32a,
GA:SB 34,GA,SB 34,Public Service Commission; costs incurred by an electric utility as a result of providing electric services to commercial data centers from being included in an,1,2025_26,Passed committee only,2025-02-26,matched,https://openstates.org/ga/bills/2025_26/SB34/,data_center_specific,title_term,data center,incentive_repeal,incident_objective,restrictive,1,Repeal data center tax exemptions via SB 34,opp_2c695ae87ee6,title_truncated
GA:SB 408,GA,SB 408,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Accelerate data center tax exemption sunset (HB 559),opp_1e09ccd54e1f,
GA:SB 410,GA,SB 410,State Sales and Use Taxes; the data center equipment sales and use tax exemption; repeal,0,2025_26,Passed one chamber,2026-03-06,matched,https://openstates.org/ga/bills/2025_26/SB410/,data_center_specific,title_term,data center,incentive_repeal,title,restrictive,1,Accelerate data center tax exemption sunset (HB 559),opp_86d1daea9ead,
GA:SB 436,GA,SB 436,"Counties, Municipal Corporations; local governments and political subdivisions from entering into nondisclosure agreements regarding electricity usage or water",0,2025_26,Introduced,2026-01-28,matched,https://openstates.org/ga/bills/2025_26/SB436/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,local_control,title,unclassified,0,Suspend data center tax exemptions and ban water NDAs in Georgia,opp_65677bb0b311,
IA:HF 2261,IA,HF 2261,"A bill for an act relating to customer classes for large energy use facilities, and including applicability provisions.",0,2025-2026,Introduced,2026-02-03,matched,https://openstates.org/ia/bills/2025-2026/HF2261/,large_load_class,title_class_term,large energy use,disclosure_reporting,incident_objective,disclosure,1,Require quarterly water and energy reporting from data centers using 20+ MW in Iowa (HF 2690),opp_4ba403e2b469,
IA:HF 2447,IA,HF 2447,"A bill for an act relating to water and energy use for data centers, including reporting and tariff requirements, and including effective date provisions.",0,2025-2026,Passed committee only,2026-02-17,matched,https://openstates.org/ia/bills/2025-2026/HF2447/,data_center_specific,title_term,data center,disclosure_reporting,title,disclosure,1,Require quarterly water and energy reporting from data centers using 20+ MW in Iowa (HF 2690),opp_4ba403e2b469,
IA:HF 2690,IA,HF 2690,"A bill for an act relating to water and energy use for data centers, including reporting and tariff requirements, and including effective date provisions.",0,2025-2026,Introduced,2026-02-23,matched,https://openstates.org/ia/bills/2025-2026/HF2690/,data_center_specific,title_term,data center,disclosure_reporting,title,disclosure,1,Require quarterly water and energy reporting from data centers using 20+ MW in Iowa (HF 2690),opp_4ba403e2b469,
ID:HB 609,ID,HB 609,,0,,,,http_429,,unestablished,title_unavailable,,incentive_repeal,incident_objective,unclassified,0,Reduce data center tax exemptions via HB 609,opp_4cf11bae103b,
ID:HB 756,ID,HB 756,,0,,,,http_429,,unestablished,title_unavailable,,incentive_repeal,incident_objective,unclassified,0,Reduce data center tax exemptions via HB 609,opp_4cf11bae103b,
ID:HB 874,ID,HB 874,,0,,,,http_429,,unestablished,title_unavailable,,ratepayer_cost_allocation,incident_objective,unclassified,0,Prevent data center cost pass-through to residential rates in ID,opp_d35c8323d34a,
ID:HB 895,ID,HB 895,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Prohibit consumptive water cooling for new Idaho data centers unless using municipal water systems,opp_e6caa9f3c04e,
IL:SB 2182,IL,SB 2182,FACILITY FEE TRANSPARENCY,0,104th,Introduced,2025-02-07,matched,https://openstates.org/il/bills/104th/SB2182/,unestablished,title_domain_unrecognised,,disclosure_reporting,title,unclassified,0,Require labor peace agreements for data center tax credits,opp_610fc4eb4b60,
IL:SB 4004,IL,SB 4004,AQUIFER PROTECTION ACT,0,104th,Introduced,2026-02-06,matched,https://openstates.org/il/bills/104th/SB4004/,unestablished,title_domain_unrecognised,,unclassified,,unclassified,0,Ban data center development NDAs in IL,opp_2170f2d763c8,
IL:SB 4016,IL,SB 4016,HYPERSCALE DATA CENTERS,0,104th,Introduced,2026-02-06,matched,https://openstates.org/il/bills/104th/SB4016/,data_center_specific,title_term,HYPERSCALE,unclassified,,unclassified,1,,opp_2170f2d763c8,no_incident_join
IN:HB 1210,IN,HB 1210,Department of local government finance.,0,2026,Signed into law,2026-03-12,ambiguous_session,https://openstates.org/in/bills/2026/HB1210/,sector_vehicle,incident_corroborated:land_use,land_use,unclassified,,unclassified,0,Require data centers to pay 1% of tax savings locally,opp_057d2921cf52,
IN:HB 1245,IN,HB 1245,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Halt data centers in Indiana after Meta proposal,opp_c4d2b92dc5bc,
IN:HB 1333,IN,HB 1333,Land use and development.,0,2026,Failed floor vote,2026-01-29,ambiguous_session,https://openstates.org/in/bills/2026/HB1333/,sector_vehicle,incident_corroborated:land_use,land_use,incentive_repeal,incident_objective,unclassified,0,Repeal data center tax exemptions in IN,opp_d6c554af93b0,
KS:SB 526,KS,SB 526,"Requiring data centers to be located on land that was zoned for industrial or manufacturing uses or was not zoned on July 1, 2025, to qualify for the sales tax",0,2025-2026,Failed floor vote,2026-04-10,matched,https://openstates.org/ks/bills/2025-2026/SB526/,data_center_specific,title_term,data center,siting_zoning,title,restrictive,1,Require industrial or manufacturing zoning for data centers to qualify for SB 98 tax exemptions in Kansas,opp_42b15cf3e0c3,
KS:SB 98,KS,SB 98,"Providing a sales tax exemption for the construction or remodeling of a qualified data center in Kansas and the purchase of data center equipment, eligible data",1,2025-2026,Signed into law,2025-04-11,matched,https://openstates.org/ks/bills/2025-2026/SB98/,data_center_specific,title_term,data center,incentive_grant,title,enabling,1,Require industrial or manufacturing zoning for data centers to qualify for SB 98 tax exemptions in Kansas,opp_42b15cf3e0c3,title_truncated
KY:HB 544,KY,HB 544,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban data center development NDAs via HB 593,opp_6244df945467,
KY:HB 593,KY,HB 593,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban data center development NDAs via HB 593,opp_4f824b8f6f0f,
KY:SB 197,KY,SB 197,"AN ACT providing funding and establishing conditions for state government agencies and institutions, making an appropriation therefor, and declaring an emergenc",1,2026RS,Signed into law,2026-04-27,ambiguous_session,https://openstates.org/ky/bills/2026RS/SB197/,sector_vehicle,incident_corroborated:taxation,taxation,disclosure_reporting,incident_objective,unclassified,0,Commission legislative study on data center impacts in KY,opp_6244df945467,title_truncated
LA:HB 827,LA,HB 827,TAX/TAX REBATES: Provides relative to sales and use tax rebates on the sale of certain communications and data center equipment (EN DECREASE GF RV See Note),0,2024,Signed into law,2024-06-19,matched,https://openstates.org/la/bills/2024/HB827/,data_center_specific,title_term,data center,incentive_grant,incident_objective,enabling,1,Enact 20-30 year sales-tax rebate to attract hyperscaler data centers,opp_149c49f94b44,
MD:HB 120,MD,HB 120,Moratorium on Construction of New Data Centers - Co-Location and Generation Contingency,0,2026,Introduced,2025-10-24,ambiguous_session,https://openstates.org/md/bills/2026/HB120/,data_center_specific,title_term,Data Center,moratorium_prohibition,title,restrictive,1,Pause data center permits for study via HB 120,opp_05dd8f8b80d3,
MD:HB 1411,MD,HB 1411,,0,,,,http_429,,unestablished,title_unavailable,,disclosure_reporting,incident_objective,unclassified,0,Mandate public environmental reporting from data centers (HB 1411),opp_041be502637a,
MD:HB 1532,MD,HB 1532,Utility RELIEF (Reducing Energy Load Inflation for Everyday Families) Act,0,2026,Signed into law,2026-05-12,ambiguous_session,https://openstates.org/md/bills/2026/HB1532/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,unclassified,,unclassified,0,Ban data center construction on TIF-funded land and require PSC oversight of transmission projects in Baltimore City,opp_e132fa0f497a,
MD:HB 1595,MD,HB 1595,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Reform data center property tax rules in MD,opp_7d9d828e738d,
MD:HB 560,MD,HB 560,Sales and Use Tax and Property Tax - Exemptions for Data Centers - Repeal,0,2026,Introduced,2026-01-28,ambiguous_session,https://openstates.org/md/bills/2026/HB560/,data_center_specific,title_term,Data Center,incentive_repeal,incident_objective,restrictive,1,Repeal data center tax exemptions in MD,opp_8ac39cf790db,
MD:SB 427,MD,SB 427,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Reform data center property tax rules in MD,opp_7d9d828e738d,
MD:SB 596,MD,SB 596,Large Load Customers - Electric System Interconnection and Demand Response Program,0,2026,Introduced,2026-02-05,ambiguous_session,https://openstates.org/md/bills/2026/SB596/,large_load_class,title_class_term,Large Load,unclassified,,unclassified,1,Incentivize data center demand response participation in MD,opp_e132fa0f497a,
ME:LD 307,ME,LD 307,"An Act Regarding Energy, Utilities And Technology",0,132,Failed floor vote,2026-04-29,matched,https://openstates.org/me/bills/132/LD307/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,incentive_grant,incident_objective,unclassified,0,Oppose tax incentives for Sentinel Data Centers in Jay,opp_793fdf3b9fc6,
ME:LD 713,ME,LD 713,An Act Regarding Taxation,0,132,Signed into law,2026-04-23,matched,https://openstates.org/me/bills/132/LD713/,sector_vehicle,incident_corroborated:taxation,taxation,incentive_repeal,incident_objective,unclassified,0,Exclude data centers from Maine BETE and Dirigo tax incentive programs (signed 2026-04-24),opp_7ca5891e8026,
MI:HB 5396,MI,HB 5396,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Repeal Michigan's data center tax exemptions and press for a statewide moratorium,opp_d1058e1c8a3c,
MI:HB 5594,MI,HB 5594,Businesses: other; moratorium on certain approvals for and operation of any new data centers; provide for. Creates new act.   TIE BAR WITH: HB 5596'26,0,2025-2026,Introduced,2026-02-26,matched,https://openstates.org/mi/bills/2025-2026/HB5594/,data_center_specific,title_term,data center,moratorium_prohibition,title,restrictive,1,Statewide moratorium on new data-center construction through April 2027,opp_d1058e1c8a3c,
MI:SB 1018,MI,SB 1018,,0,,,,http_429,,unestablished,incident_names_another_bill,,moratorium_prohibition,incident_objective,unclassified,0,Repeal Michigan's data center tax exemptions and press for a statewide moratorium,opp_d1058e1c8a3c,
MI:SB 761,MI,SB 761,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban data center water withdrawals over 2M gallons/day (SB 761-763),opp_28b2b06bc795,
MI:SB 762,MI,SB 762,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban data center water withdrawals over 2M gallons/day (SB 761-763),opp_28b2b06bc795,
MI:SB 763,MI,SB 763,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban data center water withdrawals over 2M gallons/day (SB 761-763),opp_28b2b06bc795,
MN:HF 16,MN,HF 16,"Immigration law enforcement noncooperation ordinances and policies prohibited, use of immigration-related data provided, and county attorneys required to notify",1,2025-2026,Passed committee only,2025-03-13,ambiguous_session,https://openstates.org/mn/bills/2025-2026/HF16/,lookup_suspect,title_domain_incompatible,immigration,moratorium_prohibition,title,unclassified,0,Eliminate data center electricity tax exemption statewide (HF 16),opp_f7640b49cd6b,title_truncated;verify_bill_identity
MN:HF 4077,MN,HF 4077,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban data center development NDAs via SF 4298,opp_e5eca26666f6,
MN:SF 4298,MN,SF 4298,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Statewide moratorium on data center permits until PUC completes comprehensive study,opp_2fea79eee9b7,
MN:SF 4379,MN,SF 4379,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban data center development NDAs via SF 4298,opp_e5eca26666f6,
MO:HB 3362,MO,HB 3362,,0,,,,http_429,,unestablished,title_unavailable,,ratepayer_cost_allocation,incident_objective,unclassified,0,Prevent data center cost pass-through to residential rates in MO,opp_f92916918afc,
MO:HB 3364,MO,HB 3364,,0,,,,http_429,,unestablished,title_unavailable,,ratepayer_cost_allocation,incident_objective,unclassified,0,Prevent data center cost pass-through to residential rates in MO,opp_f92916918afc,
MS:HB 1635,MS,HB 1635,Fee-in-lieu of ad valorem tax; revise distribution of for certain projects.,0,2026,Introduced,2026-01-19,ambiguous_session,https://openstates.org/ms/bills/2026/HB1635/,sector_vehicle,incident_corroborated:taxation,taxation,unclassified,,unclassified,0,Redirect data center tax revenue to state fund,opp_9318a1f3b921,
MS:SB 3168,MS,SB 3168,,0,,,,http_429,,unestablished,title_unavailable,,incentive_grant,incident_objective,unclassified,0,Create data center tax incentive program in MS,opp_85bcdbf0f2b5,
MT:SB 212,MT,SB 212,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,"Establish right to compute, limiting local data center regulation",opp_9bb28c8f4524,
NC:HB 1002,NC,HB 1002,Rate Payer Protection Act.,0,2025,Introduced,2025-04-14,matched,https://openstates.org/nc/bills/2025/HB1002/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,ratepayer_cost_allocation,title,unclassified,0,Prohibit residential ratepayer subsidies for data centers (HB 1002),opp_2f1153a6f830,
NC:HB 7971,NC,HB 7971,,0,,,,not_found,,unestablished,incident_silent,,unclassified,,unclassified,0,,opp_34e6d8d18a56,no_incident_join
NC:SB 730,NC,SB 730,Ratepayer Protection Act.,0,2025,Passed both chambers,2026-06-03,matched,https://openstates.org/nc/bills/2025/SB730/,sector_vehicle,human_override,https://www.ncleg.gov/BillLookUp/2025/S730,ratepayer_cost_allocation,title,unclassified,0,,opp_05b569208bd2,admitted_by_override;no_incident_join
ND:HB 1579,ND,HB 1579,AN ACT to provide for a legislative management study relating to the impact of large energy consumers on the state's electrical grid.,0,69,Signed into law,2025-04-29,matched,https://openstates.org/nd/bills/69/HB1579/,large_load_class,title_class_term,large energy consumer,disclosure_reporting,title,disclosure,1,Mandate study on large energy consumer grid impacts (HB 1579),opp_de1ee11155ca,
NE:LB 1111,NE,LB 1111,"Require an annual data center load report to the Nebraska Power Review Board, provide powers and duties for public power suppliers, allow and require regulation",1,109,Died in committee,2026-04-17,matched,https://openstates.org/ne/bills/109/LB1111/,data_center_specific,title_term,data center,disclosure_reporting,title,disclosure,1,Study data center impacts on electrical grid in NE,opp_3627a9dfe4fb,title_truncated
NE:LB 1261,NE,LB 1261,Prohibit the use of eminent domain to acquire certain privately owned electric generation facilities,0,109,Signed into law,2026-04-17,matched,https://openstates.org/ne/bills/109/LB1261/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,moratorium_prohibition,title,unclassified,0,Prohibit eminent domain for data center land acquisition,opp_f2b1cca7ddff,
NE:LB 209,NE,LB 209,Change provisions relating to homestead exemptions for certain veterans and a property tax exemption for certain facilities,0,109,Signed into law,2025-02-26,matched,https://openstates.org/ne/bills/109/LB209/,sector_vehicle,incident_corroborated:taxation,taxation,incentive_grant,title,unclassified,0,Oppose tax incentives for Meta/Google in Sarpy County,opp_648efe1bdfff,
NH:HB 1265,NH,HB 1265,prohibiting the construction of data centers in the state and establishing a committee to study the environmental impact of data centers.,0,2026,Failed floor vote,2026-03-11,matched,https://openstates.org/nh/bills/2026/HB1265/,data_center_specific,title_term,data center,moratorium_prohibition,title,restrictive,1,Repeal data center tax exemptions via HB 1265,opp_af594b40ea68,
NH:HB 1724,NH,HB 1724,"relative to public transparency of electric utility retail charges and cost reporting for transmission, wholesale electricity, capacity, and generation adequacy",1,2026,Died in committee,2026-02-25,matched,https://openstates.org/nh/bills/2026/HB1724/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,disclosure_reporting,title,unclassified,0,Require utility reporting of data center transmission impacts in NH,opp_16d6ccfd7fd2,title_truncated
NH:SB 439,NH,SB 439,,0,,,,http_429,,unestablished,title_unavailable,,siting_zoning,incident_objective,unclassified,0,Enable NH local planning boards to adopt data center zoning regulations,opp_f7a3f9dd872e,
NJ:A 2757,NJ,A 2757,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Redirect uncommitted NJ AI/data-center tax credits to other priorities,opp_59b45da5fc73,
NJ:A 5165,NJ,A 5165,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Redirect uncommitted NJ AI/data-center tax credits to other priorities,opp_59b45da5fc73,
