fips,county_name,state,jurisdiction,name,office,office_class,party,term_start,term_end,contact_email,contact_phone,contact_address,relevance_note,relevance_source_url,source_url
17031,"Cook County, Illinois",IL,Cook County government,Zahra Ali,Chief Administrative Officer,county_admin,n.a.,n.a.,n.a.,n.a.,(312) 603-3055,"118 N. Clark St. Room 801, Chicago, IL 60602",n.a.,n.a.,https://www.cookcountyil.gov/agency/chief-administrative-officer
17031,"Cook County, Illinois",IL,City of Chicago,Brandon Johnson,Mayor,mayor,n.a.,n.a.,n.a.,n.a.,311,"121 N LaSalle Street, Chicago City Hall 4th Floor, Chicago, IL 60602",n.a.,n.a.,https://www.chicago.gov/city/en/depts/mayor.html
17043,"DuPage County, Illinois",IL,DuPage County Board,Deborah A. Conroy,County Board Chair,county_board,n.a.,2022,2026-12-07,chair@dupagecounty.gov,630-407-6060,"421 N. County Farm Road, Wheaton, IL","The County Board is the elected legislative branch of the County government and has reserved unto itself the final authority on variations, conditional uses, amendments, air rights development and planned developments.",https://library.municode.com/il/dupage_county/codes/code_of_ordinances?nodeId=CH37DUPACOZOOR_ARTXIVADEN_37-1401OR,https://www.dupagecounty.gov/government/county_board/conroy.php
17043,"DuPage County, Illinois",IL,DuPage County,Nick Kottmeyer,Chief Administrative Officer,county_admin,n.a.,n.a.,n.a.,nick.kottmeyer@dupagecounty.gov,n.a.,"421 N. County Farm Road, Wheaton, IL",n.a.,n.a.,https://www.dupagecounty.gov/government/county_board/
17043,"DuPage County, Illinois",IL,City of Naperville,Scott A. Wehrli,Mayor,mayor,n.a.,2023,2027,wehrlis@naperville.il.us,(630) 420-6018,n.a.,n.a.,n.a.,https://www.naperville.il.us/government/meet-your-city-council/mayor-scott-wehrli/
19153,"Polk County, Iowa",IA,Polk County Board of Supervisors,Matt McCoy,"Chair, Polk County Board of Supervisors (Supervisor, District 1)",county_board,n.a.,2026-01-02,2026,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.desmoinesregister.com/story/news/local/des-moines-polk-county/2026/01/02/polk-county-board-of-supervisors-chair-matt-mccoy-reelected-new-meeting-schedule/87993175007/
19153,"Polk County, Iowa",IA,Polk County government,Frank Marasco,County Administrator,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.kcci.com/article/frank-marasco-polk-county-administrator-approved-board-of-supervisors/65267284
19153,"Polk County, Iowa",IA,City of Des Moines,Connie Boesen,Mayor,mayor,nonpartisan,2024-01-02,2028-01-03,n.a.,(515) 283-4944,"400 Robert D Ray Drive, Des Moines, IA 50309",n.a.,n.a.,https://www.dsm.city/government/index.php
19155,"Pottawattamie County, Iowa",IA,Pottawattamie County Board of Supervisors,Brian Shea,"Chairman, Board of Supervisors",county_board,n.a.,n.a.,2028,n.a.,(712) 328-5644,"Courthouse, Second Floor, 227 S 6th St, Council Bluffs, IA 51501","The Pottawattamie County Board of Supervisors receives recommendations from the county Planning and Zoning Commission on amendments, supplements, changes or modifications to the zoning and subdivision ordinances and the Land Use Plan, under the zoning amendment procedure in Chapter 8.098 of the Pottawattamie County Code.",https://www.pottcounty-ia.gov/planning_and_development/planning_and_zoning_commission/,https://www.pottcounty-ia.gov/files/meetings/2026-09-01_minutes_2084.pdf
19155,"Pottawattamie County, Iowa",IA,Pottawattamie County Board of Supervisors,n.a.,n.a.,county_admin,n.a.,n.a.,n.a.,n.a.,(712) 328-5644,"Courthouse, Second Floor, 227 S 6th St, Council Bluffs, IA 51501",n.a.,n.a.,https://www.pottcounty-ia.gov/supervisors/
19155,"Pottawattamie County, Iowa",IA,City of Council Bluffs,Jill Shudak,Mayor,mayor,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.councilbluffs-ia.gov/95/Mayors-Office
20091,"Johnson County, Kansas",KS,Johnson County Board of County Commissioners,Mike Kelly,Board Chairman,county_board,n.a.,2023,2027,mike.kelly@jocogov.org,913-715-0500,n.a.,The comprehensive plan and zoning regulations are subject to the Board of County Commissioners approval.,https://www.jocogov.org/department/planning/johnson-county-planning-commission,https://www.jocogov.org/department/board-county-commissioners/commissioners/board-chairman
20091,"Johnson County, Kansas",KS,Johnson County,Penny Postoak Ferguson,County Manager,county_admin,n.a.,2018-07-15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.jocogov.org/department/county-managers-office/county-leadership/county-manager-penny-postoak-ferguson
20091,"Johnson County, Kansas",KS,City of Overland Park,Curt Skoog,Mayor,mayor,n.a.,2021,n.a.,n.a.,913-895-6104,"8500 Santa Fe Drive, Overland Park, KS 66212",The mayor presides over all City Council meetings.,https://www.opkansas.org/city-government/mayors-office/,https://www.opkansas.org/city-government/mayors-office/
26161,"Washtenaw County, Michigan",MI,Washtenaw County Board of Commissioners,Katie Scott,Chair of the Board of Commissioners,county_board,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"In Resolution 26-054 (March 18, 2026) the Washtenaw County Board of Commissioners supported and commended local municipalities that enacted temporary data center moratoriums, encouraged other municipalities to adopt similar moratoriums pending ordinances on renewable energy, noise setbacks and local labor, and directed the County Resiliency Office to keep updating the County's Data Center Resource Library.",https://content.civicplus.com/api/assets/mi-washtenawcounty/ac6ebb91-789e-4b9c-af05-f96830f28dd9?cache=1800,https://content.civicplus.com/api/assets/mi-washtenawcounty/168e6f63-8a67-4fce-b4e3-afde3b63311f?cache=1800
26161,"Washtenaw County, Michigan",MI,"Washtenaw County, Michigan",Derrick Jackson,Interim County Administrator,county_admin,n.a.,2026-07-13,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://content.civicplus.com/api/assets/mi-washtenawcounty/0f93b44c-83b6-4ce3-bea1-05a9da26eed0?cache=1800
26161,"Washtenaw County, Michigan",MI,City of Ann Arbor,Christopher Taylor,Mayor,mayor,n.a.,2014-11,n.a.,n.a.,n.a.,"Third floor, 301 E. Huron Street, Ann Arbor, MI 48104",n.a.,n.a.,https://www.a2gov.org/city-council/mayor-christopher-taylor/
31153,"Sarpy County, Nebraska",NE,Sarpy County Board of Commissioners,Don Kelly,District 1 Commissioner & Board Chair,county_board,n.a.,2025,2029,n.a.,402-206-1807,n.a.,"The Zoning Regulations and the Zoning Map may be amended, supplemented, changed, modified, or repealed from time to time by resolution of the County Board of Commissioners, after a public hearing and after having been submitted to the Planning Commission for a public hearing and a recommendation.",https://www.sarpy.gov/DocumentCenter/View/441/Zoning-Regulations---Section-43-Amendments-and-Rezoning-PDF,https://www.sarpy.gov/338/District-1
31153,"Sarpy County, Nebraska",NE,Sarpy County,Bonnie Moore,Chief Administrative Officer,county_admin,n.a.,n.a.,n.a.,n.a.,402-593-2237,n.a.,"Under the direction of the Sarpy County Board of Commissioners, the Sarpy County Administration Department oversees the day-to-day operations of the county's administrative departments.",https://www.sarpy.gov/158/Administration,https://www.sarpy.gov/158/Administration
31153,"Sarpy County, Nebraska",NE,City of Bellevue,Rusty Hike,"Mayor, City of Bellevue",mayor,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.sarpy.gov/412/Bellevue-Mayor
32003,"Clark County, Nevada",NV,Clark County Board of County Commissioners,Michael N. Naft,"Chairman, Board of County Commissioners",county_board,n.a.,2026-01,n.a.,DistrictA@ClarkCountyNV.gov,(702) 455-3500,"500 S. Grand Central Pkwy., Floor 6, Las Vegas, NV 89031","The Clark County Commission, acting as the Clark County Zoning Commission, unanimously approved Switch's expansion plan authorizing a 56,800-square-foot data center on nine acres near Warm Springs Road.",https://www.govtech.com/artificial-intelligence/clark-county-nev-commissioners-approve-data-center-project,https://www.clarkcountynv.gov/government/board_of_county_commissioners/district_a/biography
32003,"Clark County, Nevada",NV,"Clark County, Nevada",Kevin Schiller,County Manager,county_admin,n.a.,n.a.,n.a.,ccmgr@ClarkCountyNV.gov,(702) 455-3530,"500 S. Grand Central Pkwy., Floor 6, Las Vegas, NV 89155",n.a.,n.a.,https://www.clarkcountynv.gov/government/county_managers_office/biographies/
32003,"Clark County, Nevada",NV,City of Las Vegas,Shelley Berkley,Mayor,mayor,n.a.,n.a.,n.a.,n.a.,(702) 229-6011,"Las Vegas City Hall, 495 S. Main St., Las Vegas, NV 89101",n.a.,n.a.,https://www.lasvegasnevada.gov/Government/Mayor-City-Council/Mayor
32031,"Washoe County, Nevada",NV,Washoe County Board of County Commissioners,Clara Andriola,"Chair, Board of County Commissioners",county_board,n.a.,2025-01-06,2029-01-01,n.a.,775-444-5185,n.a.,"The Washoe County Commission (Board) initiates amendments to Washoe County Code Chapter 110 (Development Code) and adopts them by ordinance after a duly noticed public hearing, and hears appeals of Washoe County Planning Commission denials.",https://www.washoecounty.gov/bcc/files/ordinance%20files/2020/BCC_1-17-23-Ch110%20.pdf,https://www.washoecounty.gov/bcc/profile/index.php
32031,"Washoe County, Nevada",NV,Washoe County,Kate Thomas,County Manager,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,"1001 E. Ninth Street, Building A, Reno, NV 89512",n.a.,n.a.,https://www.washoecounty.gov/mgrsoff/
32031,"Washoe County, Nevada",NV,City of Reno,Hillary L. Schieve,"Mayor, City of Reno",mayor,nonpartisan,2014-11-12,2026,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.reno.gov/government/city-council/mayor-hillary-schieve
34017,"Hudson County, New Jersey",NJ,Hudson County Board of County Commissioners,Anthony L. Romano,"Chairperson, Board of County Commissioners (District 5)",county_board,n.a.,n.a.,2026,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.hcnj.us/countycommissioners/
34017,"Hudson County, New Jersey",NJ,Hudson County,Abraham Antun,County Administrator,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"The County Administrator, as the chief administrative officer of the County, is appointed by the County Executive with the advice and consent of the Board of County Commissioners, and is responsible for the orderly and efficient administration of County operations.",https://www.hcnj.us/county-administrator/,https://www.hcnj.us/county-administrator/
34017,"Hudson County, New Jersey",NJ,City of Jersey City,James Slater Solomon,Mayor (50th Mayor of Jersey City),mayor,n.a.,2026-01-15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.jerseycitynj.gov/cityhall/MayorSolomon/mayor_solomon_s_bio
34023,"Middlesex County, New Jersey",NJ,Middlesex County Board of County Commissioners,Ronald G. Rios,Director of the Board of County Commissioners,county_board,n.a.,n.a.,n.a.,n.a.,(732) 745-5792,n.a.,n.a.,n.a.,https://www.middlesexcountynj.gov/government/elected-officials
34023,"Middlesex County, New Jersey",NJ,"Middlesex County, New Jersey",John A. Pulomena,County Administrator,county_admin,n.a.,n.a.,n.a.,n.a.,732-745-3040,"County Administration Building, 3rd Floor, 75 Bayard Street, New Brunswick, NJ 08901",n.a.,n.a.,https://www.middlesexcountynj.gov/government/departments/county-administration
34023,"Middlesex County, New Jersey",NJ,Township of Edison,"Samip ""Sam"" Joshi",Mayor,mayor,n.a.,n.a.,2029-12-31,n.a.,(732) 248-7200,"Municipal Building, 100 Municipal Boulevard, Edison, NJ 08817",n.a.,n.a.,https://cms2.revize.com/revize/edisonnj/Departments/Boards%20&%20Committees/Municipal%20Official%20List/OFFICIALSLIST%20(01-30-2026).pdf
34035,"Somerset County, New Jersey",NJ,Somerset County Board of County Commissioners,Shanel Y. Robinson,Commissioner Director,county_board,n.a.,2019-01-04,2027-12-31,robinson@somersetcountynj.gov,(908) 231-7030,"20 Grove Street, P.O. Box 3000, Somerville, NJ 08876",n.a.,n.a.,https://www.somersetcountynj.gov/government/elected-officials/county-commissioners/shanel-y-robinson-director
34035,"Somerset County, New Jersey",NJ,Somerset County,Colleen Mahr,County Administrator,county_admin,n.a.,n.a.,2030-12-31,AdministratorsOffice@somersetcountynj.gov,908-231-7040,"20 Grove Street, P.O. Box 3000, Somerville, NJ 08876",n.a.,n.a.,https://www.somersetcountynj.gov/government/administrator-s-office
34035,"Somerset County, New Jersey",NJ,Township of Franklin,Phillip Kramer,Mayor,mayor,n.a.,2024-01-01,2027-12-31,Mayor.Kramer@franklinnj.gov,732-675-7912,n.a.,n.a.,n.a.,https://www.franklintwpnj.org/government/township-council/council-members
39049,"Franklin County, Ohio",OH,Franklin County Board of Commissioners,John O'Grady,"Board President, Franklin County Board of Commissioners",county_board,n.a.,n.a.,n.a.,n.a.,614-525-3322,"373 S. High Street, 26th Floor, Columbus, OH 43215","The Board of Commissioners holds a Commissioners' Rezoning Hearing, typically on the second Tuesday of each month following the General Session.",https://www.franklincountyohio.gov/Agency-Directory/Board-of-Commissioners,https://www.franklincountyohio.gov/County-Government/County-News/Agency-Press-Releases/Board-of-Commissioners-News/2026/Franklin-County-Commissioners-Release-2026-State-Of-The-County-Report
39049,"Franklin County, Ohio",OH,Franklin County government,Kenneth N. Wilson,County Administrator,county_admin,n.a.,2015,n.a.,n.a.,614-525-4132,n.a.,n.a.,n.a.,https://www.franklincountyohio.gov/Agency-Directory/Board-of-Commissioners/County-Administration
39049,"Franklin County, Ohio",OH,City of Columbus,Andrew J. Ginther,Mayor,mayor,n.a.,n.a.,n.a.,n.a.,(614) 645-7671,"City Hall 2nd Floor, 90 West Broad Street, Columbus, OH 43215",n.a.,n.a.,https://www.columbus.gov/Government/Mayors-Office
39089,"Licking County, Ohio",OH,Board of Licking County Commissioners,Timothy E. Bubb,"President, Board of Licking County Commissioners",county_board,n.a.,n.a.,n.a.,n.a.,(740) 670-5118,"20 South Second Street, Newark, OH 43055","In testimony as a Licking County Commissioner, Bubb stated that commissioners often have limited direct siting authority over data centers because zoning authority in Ohio rests primarily with townships and municipalities, though some counties exercise county zoning authority.",https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/committees/cmte_h_data_centers_1/meetings/cmte_h_data_centers_1_2026-06-08-1200_1409/testimony/18860/select_data_center_committee_testimony___ccao.pdf,https://lickingcounty.gov/depts/commissioners/default.htm
39089,"Licking County, Ohio",OH,Licking County government,David Edelblute,County Administrator,county_admin,n.a.,n.a.,n.a.,n.a.,(740) 670-5111,n.a.,n.a.,n.a.,https://lickingcounty.gov/depts/commissioners/our_staff/default.htm
39089,"Licking County, Ohio",OH,City of Newark,Jeff Hall,"Mayor, City of Newark",mayor,n.a.,2012-01-01,n.a.,n.a.,(740) 670-7510,n.a.,n.a.,n.a.,https://www.newarkohio.gov/mayors-office/
41049,"Morrow County, Oregon",OR,Morrow County Board of Commissioners,David Sykes,"Chair, Board of Commissioners (Position 3)",county_board,n.a.,2023-01-02,2027-01-04,dsykes@morrowcountyor.gov,541-676-5613,"P.O. Box 788, 100 S. Court Street, Heppner, OR 97836","The Morrow County Board of Commissioners adopts ordinances amending the Morrow County Zoning Ordinance, including ORD-2023-6 (adopted September 20, 2023) amending the Comprehensive Plan and zone designation of a 274-acre parcel in a data center related land use action.",https://www.morrowcountyor.gov/planning/page/2020-current,https://www.morrowcountyor.gov/boc
41049,"Morrow County, Oregon",OR,"Morrow County, Oregon",Matthew Jensen,County Administrator,county_admin,n.a.,n.a.,n.a.,mjensen@morrowcountyor.gov,541-676-2529,"Bartholomew Building, Room 201, 110 N. Court St., P.O. Box 788, Heppner, OR 97836",n.a.,n.a.,https://www.morrowcountyor.gov/administration
41049,"Morrow County, Oregon",OR,City of Boardman,Paul Keefer,Mayor/Commission Chair,mayor,n.a.,n.a.,2028-12-31,n.a.,541-481-9252,"PO Box 229, 200 City Center Cir., Boardman, OR 97818",n.a.,n.a.,https://www.cityofboardman.com/city-council/directory-listing/paul-keefer
41059,"Umatilla County, Oregon",OR,Umatilla County Board of Commissioners,Dan Dorran,"Chair, Umatilla County Board of Commissioners",county_board,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"As a sponsor of the Greater Umatilla Enterprise Zone, the Board of Commissioners acts on Long-Term Rural Enterprise Zone Tax Abatement Agreements and amendments with data center operators, including Sabey Data Center Properties LLC.",https://www.co.umatilla.or.us/fileadmin/user_upload/BCC/Agendas/Item16051225.pdf,https://www.co.umatilla.or.us/fileadmin/user_upload/BCC/Minutes/260218.pdf
41059,"Umatilla County, Oregon",OR,Umatilla County government,n.a.,n.a.,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.co.umatilla.or.us/departments
41059,"Umatilla County, Oregon",OR,City of Hermiston,Doug Primmer,Mayor,mayor,n.a.,n.a.,2028-12-31,dprimmer@hermiston.gov,541-567-5521,"City Hall, 180 NE 2nd Street, Hermiston, OR 97838",n.a.,n.a.,https://www.hermiston.gov/citycouncil
41067,"Washington County, Oregon",OR,Washington County Board of Commissioners,Kathryn Harrington,"Chair, Board of Commissioners",county_board,n.a.,n.a.,2027,n.a.,503-846-8681,"Charles D. Cameron Public Services Building, 155 N First Avenue, Rm 300, Hillsboro, OR 97124",n.a.,n.a.,https://sos.oregon.gov/blue-book/Pages/local/counties/washington.aspx
41067,"Washington County, Oregon",OR,"Washington County, Oregon",Tanya Ange,County Administrator,county_admin,n.a.,n.a.,n.a.,n.a.,503-846-8611,"155 N. First Ave., Suite 300, Hillsboro, OR 97124",n.a.,n.a.,https://www.washingtoncountyor.gov/cao/county-administrative-office-staff
41067,"Washington County, Oregon",OR,City of Hillsboro,Beach Pace,Mayor,mayor,n.a.,n.a.,n.a.,n.a.,503-681-6100,"150 E Main St., Hillsboro, OR 97123","On July 27, 2026 the Hillsboro City Council approved a 120-day land use moratorium on applications for new and expanded data centers and Battery Energy Storage System facilities, expiring November 24, 2026, while the City considers updates to Hillsboro's Community Development Code.",https://www.hillsboro-oregon.gov/Home/Components/News/News/17569/,https://sos.oregon.gov/blue-book/Pages/local/cities/e-k/hillsboro.aspx
42069,"Lackawanna County, Pennsylvania",PA,Lackawanna County Board of Commissioners,Thom Welby,"Chairman, Board of Commissioners",county_board,n.a.,2026-01-05,n.a.,n.a.,570-963-6800,"Lackawanna County Government Center, 6th Floor, 123 Wyoming Avenue, Scranton, PA 18503",n.a.,n.a.,https://www.thetimes-tribune.com/2026/01/05/rocky-start-welby-made-chairman-chermak-vice-chair-of-commissioners-board/
42069,"Lackawanna County, Pennsylvania",PA,Lackawanna County Board of Commissioners,Brian Jeffers,Chief of Staff,county_admin,n.a.,n.a.,n.a.,jeffersb@lackawannacounty.org,570-963-6800,"Lackawanna County Government Center, 6th Floor, 123 Wyoming Avenue, Scranton, PA 18503",n.a.,n.a.,https://www.lackawannacounty.org/government/elected_officials/board_of_commissioners/index.php
42069,"Lackawanna County, Pennsylvania",PA,City of Scranton,Paige G. Cognetti,Mayor,mayor,n.a.,2020-01-06,n.a.,n.a.,(570) 348-4101,n.a.,n.a.,n.a.,https://scrantonpa.gov/mayor/about-the/
42079,"Luzerne County, Pennsylvania",PA,Luzerne County Council,Jimmy Sabatino,Council Chair,county_board,n.a.,2024,n.a.,n.a.,n.a.,n.a.,"Zoning Ordinance Amendment 1 of 2026 was ordained and enacted by the Luzerne County Council, adding provisions relating to Data Centers and Data Center Accessory Uses as Special Exceptions in the Heavy Industrial (HI) and Mining (MI) zoning districts.",https://www.luzernecounty.org/DocumentCenter/View/47756/20260308_LCPC_Zoning_Ordinance_Amendment_1_of_2026_V4,https://www.luzernecounty.org/437/County-Council
42079,"Luzerne County, Pennsylvania",PA,Luzerne County,Romilda P. Crocamo,County Manager,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,"20 North Pennsylvania Ave, Wilkes Barre, PA 18701",n.a.,n.a.,https://www.luzernecounty.org/204/County-Manager
42079,"Luzerne County, Pennsylvania",PA,City of Wilkes-Barre,George C. Brown,Mayor,mayor,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.wilkes-barre.city/182/Mayor-George-C-Brown
42091,"Montgomery County, Pennsylvania",PA,Montgomery County Board of Commissioners,Jamila H. Winder,Chair of the Montgomery County Board of Commissioners,county_board,n.a.,2026,2026,n.a.,610-278-3000,n.a.,n.a.,n.a.,https://www.montgomerycountypa.gov/m/newsflash/Home/Detail/4871
42091,"Montgomery County, Pennsylvania",PA,"Montgomery County, Pennsylvania",Lee Soltysiak,Chief Operating Officer / Chief Clerk,county_admin,n.a.,n.a.,n.a.,coo@montgomerycountypa.gov,610-278-3020,n.a.,n.a.,n.a.,https://www.montgomerycountypa.gov/your-government/administration/chief-operating-officer-chief-clerk
42091,"Montgomery County, Pennsylvania",PA,Lower Merion Township,Todd M. Sinai,"Commissioner, President, Board of Commissioners (Ward 12)",mayor,n.a.,n.a.,n.a.,n.a.,610-645-6145,n.a.,n.a.,n.a.,https://www.lowermerion.org/government/board-of-commissioners
47157,"Shelby County, Tennessee",TN,"Shelby County, Tennessee",Mickell M. Lowery,Mayor of Shelby County,county_board,n.a.,2026-08-31,n.a.,n.a.,901-222-2000,"160 N. Main, 11th Floor, Memphis, TN 38103",n.a.,n.a.,https://www.shelbycountytn.gov/213/About-the-Mayor
47157,"Shelby County, Tennessee",TN,"Shelby County, Tennessee",Harold Collins,Chief Administrative Officer,county_admin,n.a.,n.a.,n.a.,n.a.,(901) 222-2050,"160 N. Main, Suite 1122, Memphis, TN 38103",n.a.,n.a.,https://www.shelbycountytn.gov/160/Chief-Administrative-Officer
47157,"Shelby County, Tennessee",TN,City of Memphis,Paul Young,Mayor,mayor,n.a.,2024-01-01,n.a.,mayor@memphistn.gov,n.a.,n.a.,n.a.,n.a.,https://memphistn.gov/government-mayor/
48029,"Bexar County, Texas",TX,Bexar County Commissioners Court,Peter Sakai,County Judge,county_board,Democratic,n.a.,2026,n.a.,210-335-1326,"101 W. Nueva, 10th Floor, San Antonio, TX 78205","The County Judge is the presiding officer and a voting member of the Bexar County Commissioners Court, the five-member governing body of the county.",https://www.bexar.org/1143/Frequently-Asked-Questions,https://elections.bexar.org/1665/County-Judge-and-Commissioners
48029,"Bexar County, Texas",TX,Bexar County government,David L. Smith,County Manager,county_admin,n.a.,2011,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.bexar.org/453/David-L-Smith-Bio
48029,"Bexar County, Texas",TX,City of San Antonio,Gina Ortiz Jones,Mayor (69th Mayor of San Antonio),mayor,n.a.,2025-06-18,n.a.,n.a.,210-207-5866,"P.O. Box 839966, San Antonio, TX 78283","Only City Council can approve zoning changes in San Antonio; the Zoning Commission, whose 11 members are appointed by each Council District and the Mayor, makes recommendations to City Council.",https://docsonline.sanantonio.gov/DSDUploads/20210120FAQ_ZONING.pdf,https://www.sa.gov/Directory/Departments/Mayor-Council/Mayor/Biography
48113,"Dallas County, Texas",TX,Dallas County Commissioners Court,Clay Jenkins,Dallas County Judge,county_board,Democratic,2011,2026-12-31,n.a.,(214) 653-7949,n.a.,n.a.,n.a.,https://ballotpedia.org/Clay_Jenkins
48113,"Dallas County, Texas",TX,"Dallas County, Texas",Darryl Martin,County Administrator,county_admin,n.a.,n.a.,n.a.,n.a.,214-653-7327,"Records Building, 500 Elm Street, 7th Floor, Suite 7600, Dallas, TX 75202",n.a.,n.a.,https://www.dallascounty.org/government/county-administrator/
