opp_id,state,identifier,lookup_status,candidates,session,title,stage,stage_date,stage_evidence,correct_outcome,latest_action_date,openstates_url,incident,date
opp_760001b8a3c1,MO,HB 3364,matched,1,2026,Creates new provisions for industrial utility users,Introduced,2026-02-19,introduction: Introduced and Read First Time (H),Pending,2026-03-30,https://openstates.org/mo/bills/2026/HB3364/,Missouri (AI Infrastructure Act),2026-02-26
opp_18e2c9d1787f,NY,S 9144,matched,4,2025-2026,Imposes a moratorium on data center permit issuance; and relates to data center rate impacts,Introduced,2026-02-06,introduction: REFERRED TO ENVIRONMENTAL CONSERVATION,Pending,2026-05-12,https://openstates.org/ny/bills/2025-2026/S9144/,New York (100+ groups coalition),2026-03-02
opp_18e2c9d1787f,NY,A 10141,matched,5,2025-2026,Imposes a moratorium on data center permit issuance; and relates to data center rate impacts,Introduced,2026-02-09,introduction: REFERRED TO ENVIRONMENTAL CONSERVATION,Pending,2026-05-12,https://openstates.org/ny/bills/2025-2026/A10141/,New York (100+ groups coalition),2026-03-02
opp_1339e55a8716,OR,HB 4084,matched,5,2026R1,Relating to economic development; and prescribing an effective date.,Signed into law,2026-03-31,executive-signature: Governor signed.,Approved,2026-04-06,https://openstates.org/or/bills/2026R1/HB4084/,Oregon (HB 4084 tax break moratorium),2026-06-06
opp_84df29c95d0a,PA,HB 2151,matched,4,2025-2026,"An Act amending Title 53 (Municipalities Generally) of the Pennsylvania
 Consolidated Statutes, providing for data center ordinance
 assistance.",Passed one chamber,2026-04-13,passage in lower,Pending,2026-04-23,https://openstates.org/pa/bills/2025-2026/HB2151/,Pennsylvania (HB 2151),2026-03-02
opp_84df29c95d0a,PA,HB 2150,matched,5,2025-2026,An Act providing for annual reporting of energy consumption and water consumption by data centers; and imposing a penalty.,Passed one chamber,2026-04-13,passage in lower,Pending,2026-04-23,https://openstates.org/pa/bills/2025-2026/HB2150/,Pennsylvania (HB 2151),2026-03-02
opp_2c695ae87ee6,GA,SB 410,matched,7,2025_26,State Sales and Use Taxes; the data center equipment sales and use tax exemption; repeal,Passed one chamber,2026-03-06,passage in upper,Pending,2026-03-10,https://openstates.org/ga/bills/2025_26/SB410/,Georgia (SB 410),2026-03-06
opp_2c695ae87ee6,GA,SB 34,http_429,0,,,,,,,,,Georgia (SB 410),2026-03-06
opp_8a016c3cad14,PA,HB 2150,matched,5,2025-2026,An Act providing for annual reporting of energy consumption and water consumption by data centers; and imposing a penalty.,Passed one chamber,2026-04-13,passage in lower,Pending,2026-04-23,https://openstates.org/pa/bills/2025-2026/HB2150/,Pennsylvania (HB 2150),2026-03-09
opp_8a016c3cad14,PA,HB 2151,matched,4,2025-2026,"An Act amending Title 53 (Municipalities Generally) of the Pennsylvania
 Consolidated Statutes, providing for data center ordinance
 assistance.",Passed one chamber,2026-04-13,passage in lower,Pending,2026-04-23,https://openstates.org/pa/bills/2025-2026/HB2151/,Pennsylvania (HB 2150),2026-03-09
opp_11aa7ff7a27e,NJ,S 3379,http_429,0,,,,,,,,,New Jersey (S3379),2026-02-12
opp_46fdb3396312,MD,HB 1532,http_429,0,,,,,,,,,Baltimore City (Baltimore Peninsula TIF ban),2026-03-01
opp_89cbc3a4a3cd,FL,HB 1007,http_429,0,,,,,,,,,Florida (HB 1007),2026-02-25
opp_706b1cd73daf,AZ,SB 1463,http_429,0,,,,,,,,,Arizona (SB 1463 tax repeal),2026-01-01
opp_d56f07501657,TN,SB 2653,matched,5,114,"Business and Commerce - As introduced, creates the ""Tennessee Data Center Impact Review Act."" - Amends TCA Title 5; Title 6; Title 7; Title 10; Title 62; Title ",Introduced,2026-02-02,"introduction: Introduced, Passed on First Consideration",Pending,2026-04-07,https://openstates.org/tn/bills/114/SB2653/,Tennessee (SB 2653 impact review act),2026-02-02
opp_d56f07501657,TN,HB 2392,http_429,0,,,,,,,,,Tennessee (SB 2653 impact review act),2026-02-02
opp_db6ed2ba989e,WI,AB 840,http_429,0,,,,,,,,,Wisconsin (AB 840 / SB 843 GOP regulation),2026-01-09
opp_db6ed2ba989e,WI,SB 843,http_429,0,,,,,,,,,Wisconsin (AB 840 / SB 843 GOP regulation),2026-01-09
opp_d52b7e08f590,WI,SB 729,http_429,0,,,,,,,,,Wisconsin (SB 729 / AB 722 Dem regulation),2026-01-01
opp_d52b7e08f590,WI,AB 722,http_429,0,,,,,,,,,Wisconsin (SB 729 / AB 722 Dem regulation),2026-01-01
opp_057d2921cf52,IN,HB 1210,http_429,0,,,,,,,,,Indiana (HB 1210 community payments),2026-01-27
opp_4f7ecaba5fff,OH,HB 646,http_429,0,,,,,,,,,Ohio (HB 646 study commission),2026-06-11
opp_cd8aa1ff3a14,FL,SB 484,http_429,0,,,,,,,,,Florida (SB 484 data center regulation),2026-02-26
opp_f6da4fb2ee55,DC,HR 6984,http_429,0,,,,,,,,,Federal (HR 6984 Data Center Transparency Act),2026-01-08
opp_f1351012a32a,GA,HB 559,http_429,0,,,,,,,,,Georgia (HB 559 tax exemption sunset),2026-02-01
opp_f1351012a32a,GA,SB 410,matched,7,2025_26,State Sales and Use Taxes; the data center equipment sales and use tax exemption; repeal,Passed one chamber,2026-03-06,passage in upper,Pending,2026-03-10,https://openstates.org/ga/bills/2025_26/SB410/,Georgia (HB 559 tax exemption sunset),2026-02-01
opp_f1351012a32a,GA,HB 1063,http_429,0,,,,,,,,,Georgia (HB 559 tax exemption sunset),2026-02-01
opp_1e09ccd54e1f,GA,SB 408,http_429,0,,,,,,,,,Georgia (SB 408 tax exemption sunset),2026-02-01
opp_1e09ccd54e1f,GA,SB 410,matched,7,2025_26,State Sales and Use Taxes; the data center equipment sales and use tax exemption; repeal,Passed one chamber,2026-03-06,passage in upper,Pending,2026-03-10,https://openstates.org/ga/bills/2025_26/SB410/,Georgia (SB 408 tax exemption sunset),2026-02-01
opp_1e09ccd54e1f,GA,HB 559,http_429,0,,,,,,,,,Georgia (SB 408 tax exemption sunset),2026-02-01
opp_bae92ddde8eb,ID,HB 756,http_429,0,,,,,,,,,Idaho (HB 756 no-harm test),2026-01-01
opp_9de9ae844e1d,FL,HB 1517,http_429,0,,,,,,,,,Florida (HB 1517 transparency act),2026-02-01
opp_9de9ae844e1d,FL,SB 1517,http_429,0,,,,,,,,,Florida (HB 1517 transparency act),2026-02-01
opp_3d6145630316,OH,HB 96,http_429,0,,,,,,,,,Ohio (tax exemption veto override effort),2026-03-01
opp_f95e5a35d5bb,NJ,S 731,http_429,0,,,,,,,,,New Jersey (S731/A796 Large Load Tariff),2026-02-12
opp_f95e5a35d5bb,NJ,A 796,http_429,0,,,,,,,,,New Jersey (S731/A796 Large Load Tariff),2026-02-12
opp_041be502637a,MD,HB 1411,http_429,0,,,,,,,,,Maryland (HB 1411 transparency act),2026-03-10
opp_7d9d828e738d,MD,HB 1595,http_429,0,,,,,,,,,Maryland (HB 1595/SB 427 property tax authority),2026-02-15
opp_7d9d828e738d,MD,SB 427,http_429,0,,,,,,,,,Maryland (HB 1595/SB 427 property tax authority),2026-02-15
opp_07116373e586,CA,SB 978,http_429,0,,,,,,,,,California,2026-02-04
opp_722f42b528f6,DE,SB 205,http_429,0,,,,,,,,,Delaware,2025-09-29
opp_7ca5891e8026,ME,LD 713,http_429,0,,,,,,,,,Maine,2026-04-24
opp_7ca5891e8026,ME,LD 307,http_429,0,,,,,,,,,Maine,2026-04-24
opp_3b5566fafd13,ME,LD 307,matched,5,132,"An Act Regarding Energy, Utilities And Technology",Failed floor vote,2026-04-29,failure: Placed in the Legislative Files. (DEAD),Blocked,2026-04-29,https://openstates.org/me/bills/132/LD307/,Jay,2026-03-13
opp_6f976138d90c,CT,HB 5469,ambiguous_session,10,2026,AN ACT CONCERNING COLOCATED ELECTRIC SUPPLIERS AND LARGE ELECTRIC LOAD CUSTOMERS.,Passed committee only,2026-03-19,committee-passage: Joint Favorable,Pending,2026-04-07,https://openstates.org/ct/bills/2026/HB5469/,Connecticut,2026-03-06
opp_77773af2c60a,AL,HB 399,ambiguous_session,10,2026rs,"Tax abatements for data processing centers, exemption period limited, collection of certain taxes on purchases required, sunset date extended",Signed into law,2026-04-17,became-law: Enacted,Approved,2026-04-17,https://openstates.org/al/bills/2026rs/HB399/,Alabama,2026-02-12
opp_77773af2c60a,AL,SB 265,ambiguous_session,10,2026rs,"Tax abatements for data processing centers, exemption period limited, collection of certain taxes on purchases required, sunset date extended",Passed one chamber,2026-03-12,passage in upper,Pending,2026-04-09,https://openstates.org/al/bills/2026rs/SB265/,Alabama,2026-02-12
opp_946200962f07,AL,SB 354,matched,5,2026rs,Solar power facilities; new facilities prohibited for one year,Passed one chamber,2026-04-07,passage in upper,Pending,2026-04-07,https://openstates.org/al/bills/2026rs/SB354/,Alabama,2026-03-11
opp_51503be68e34,FL,SB 1118,ambiguous_session,8,2026,Public Records/Data Centers,Failed floor vote,2026-03-13,"failure: Died on Calendar, companion bill(s) passed, see CS/CS/SB 484 (Ch. 2026-65)",Blocked,2026-03-13,https://openstates.org/fl/bills/2026/SB1118/,Florida,2026-03-13
opp_51503be68e34,FL,SB 484,ambiguous_session,9,2026,Data Centers,Signed into law,2026-05-07,executive-signature: Approved by Governor,Approved,2026-05-08,https://openstates.org/fl/bills/2026/SB484/,Florida,2026-03-13
opp_f2b1cca7ddff,NE,LB 1261,matched,3,109,Prohibit the use of eminent domain to acquire certain privately owned electric generation facilities,Signed into law,2026-04-17,"executive-signature: Approved by Governor on April 14, 2026",Approved,2026-04-17,https://openstates.org/ne/bills/109/LB1261/,Nebraska,2026-03-13
opp_d29afd2095e0,OK,SB 1488,matched,5,2026,Corporation Commission; establishing moratorium; requiring certain study.,Introduced,2026-02-02,introduction: First Reading,Pending,2026-04-14,https://openstates.org/ok/bills/2026/SB1488/,Oklahoma (SB 1488),2026-01-01
opp_279e05762166,OK,HB 2992,matched,5,2026,Corporation Commission; creating the Data Center Customer Ratepayer Protection Act of 2026; effective date; emergency.,Signed into law,2026-05-11,executive-signature: Approved by Governor 05/11/2026,Approved,2026-05-11,https://openstates.org/ok/bills/2026/HB2992/,Oklahoma (HB 2992),2026-01-08
opp_28b2b06bc795,MI,SB 761,http_429,0,,,,,,,,,Michigan (SB 761-763),2025-12-18
opp_28b2b06bc795,MI,SB 762,http_429,0,,,,,,,,,Michigan (SB 761-763),2025-12-18
opp_28b2b06bc795,MI,SB 763,http_429,0,,,,,,,,,Michigan (SB 761-763),2025-12-18
opp_9bb28c8f4524,MT,SB 212,http_429,0,,,,,,,,,Montana (SB 212),2025-04-17
opp_85bcdbf0f2b5,MS,SB 3168,http_429,0,,,,,,,,,Mississippi (SB 3168),2025-07-01
opp_f784aebfe0c4,VA,HB 784,http_429,0,,,,,,,,,Virginia (HB 784),2026-01-08
opp_0ac8601ee64c,VA,SB 393,http_429,0,,,,,,,,,Virginia (SB 393),2026-01-08
opp_0ac8601ee64c,VA,HB 641,http_429,0,,,,,,,,,Virginia (SB 393),2026-01-08
opp_857f695cf9c2,VA,HB 503,http_429,0,,,,,,,,,Virginia (HB 503),2026-01-08
opp_610fc4eb4b60,IL,SB 2182,http_429,0,,,,,,,,,Illinois (SB 2182),2026-02-11
opp_3cabf3860557,WV,SB 658,http_429,0,,,,,,,,,West Virginia (SB 658 local control),2026-02-25
opp_3cabf3860557,WV,HB 2014,matched,4,2025,Certified Microgrid Program,Signed into law,2025-04-12,executive-signature: Approved by Governor 4/30/2025 - Senate Journal,Approved,2025-07-30,https://openstates.org/wv/bills/2025/HB2014/,West Virginia (SB 658 local control),2026-02-25
opp_3186f5f7b7d3,AZ,HB 2795,http_429,0,,,,,,,,,Arizona,2026-02-03
opp_4ba403e2b469,IA,HF 2447,matched,5,2025-2026,"A bill for an act relating to water and energy use for data centers, including reporting and tariff requirements, and including effective date provisions.",Passed committee only,2026-02-17,committee-passage: Subcommittee recommends passage.,Pending,2026-02-23,https://openstates.org/ia/bills/2025-2026/HF2447/,Iowa,2026-02-01
opp_4ba403e2b469,IA,HF 2690,http_429,0,,,,,,,,,Iowa,2026-02-01
opp_4ba403e2b469,IA,HF 2261,http_429,0,,,,,,,,,Iowa,2026-02-01
opp_1f51183f1ba8,NY,S 8540,http_429,0,,,,,,,,,New York,2025-10-22
