project_id,project_name,outcome,label_blocked,n_opposition_events,n_opposition_groups,has_lawsuit,opposition_span_days,county_margin_2024,log10_capacity_mw,capacity_missing,petition_signatures_log1p,hyperscaler_involved,log1p_existing_dc_in_county,days_to_first_opposition,log1p_prior_state_opposition,mech_moratorium,mech_zoning_restriction,mech_lawsuit,mech_public_comment,mech_legislation,mech_ordinance,mech_regulatory_action,mech_petition
prj_82,Federick County Zoning Overlay + Quantum Frederick Park Data Center Campus,advanced_confirmed,0,1,4,0,0.0,0.0881,2.41161970596323,0,9.953705268696746,1,0.0,1818,0.0,0,1,0,0,0,0,0,0
prj_90,Project Mitten / The Barn,advanced_confirmed,0,10,7,1,267.0,0.4442,3.146128035678238,0,9.162514742493578,1,0.0,0,2.0794415416798357,1,1,1,1,0,0,1,0
prj_94,Rocklocker Kalkaska Data Center,blocked_confirmed,1,1,1,0,0.0,-0.4287,3.0,0,0.0,0,0.0,304,0.0,0,0,0,0,0,0,0,0
prj_99,Deep Green Lansing Data Center,blocked_confirmed,1,1,1,0,0.0,0.2971,1.380211241711606,0,0.0,0,0.0,156,2.70805020110221,0,0,0,0,0,0,0,0
prj_100,Pavilion Township Data Center,blocked_confirmed,1,1,1,0,0.0,0.1773,,1,9.848925764543445,0,0.0,365,0.0,1,0,0,0,0,0,0,0
prj_105,Clinton Amazon Data Center,advanced_confirmed,0,1,1,0,0.0,0.4609,,1,0.0,1,0.0,14,1.791759469228055,0,0,0,1,0,0,0,0
prj_108,Meridian Compass Data Center,advanced_confirmed,0,1,1,0,0.0,-0.212,2.6989700043360187,0,0.0,0,0.0,362,0.0,0,0,0,1,0,0,0,0
prj_110,xAI MACROHARDRR,advanced_confirmed,0,7,5,1,232.0,-0.2408,2.694605198933569,0,7.21890970761906,1,0.0,0,1.791759469228055,0,0,1,1,0,0,1,0
prj_112,Canton Amazon Data Center,advanced_confirmed,0,1,2,0,0.0,-0.1729,2.8129133566428557,0,0.0,1,0.0,790,0.0,0,0,0,1,0,0,0,0
prj_113,Nebius Independence Hyperscale Campus,advanced_confirmed,0,2,2,1,25.0,0.1933,2.9030899869919438,0,8.160803920954665,0,0.0,15,1.6094379124341003,0,1,1,1,0,0,0,0
prj_114,Project Green,advanced_confirmed,0,1,1,1,0.0,-0.6014,,1,0.0,1,0.0,46,1.6094379124341003,0,0,1,0,0,0,0,0
prj_116,Crusoe Warrenton AI Data Center,advanced_confirmed,0,1,1,0,0.0,-0.4949,,1,0.0,0,0.0,19,1.6094379124341003,0,1,0,0,0,0,0,0
prj_117,CRG Festus Data Center,advanced_confirmed,0,1,4,1,0.0,-0.3674,,1,7.244941546337007,0,0.0,,0.0,0,0,1,0,0,0,0,0
prj_118,Metrobloks Liberty Data Center Campus,advanced_confirmed,0,1,1,0,0.0,-0.0565,2.1760912590556813,0,0.0,0,0.0,,0.0,0,1,0,0,0,0,0,0
prj_122,Gateway Digital Campus,advanced_confirmed,0,4,6,0,124.0,-0.4586,,1,8.8427489162961,0,0.0,14,1.6094379124341003,1,1,0,0,0,1,0,0
prj_124,Marshfield Webster Data Center,advanced_confirmed,0,1,0,0,0.0,-0.6225,,1,0.0,0,0.0,130,1.6094379124341003,0,0,0,1,0,0,0,0
prj_125,Project Cumulus,blocked_confirmed,1,2,15,1,67.0,-0.1697,2.6020599913279625,0,8.990939806940807,0,0.0,377,0.6931471805599453,1,0,1,0,0,0,0,0
prj_126,Wildwood Ranch AI Data Center,advanced_confirmed,0,1,1,0,0.0,-0.4677,2.3010299956639813,0,7.629975707027789,0,0.0,0,1.6094379124341003,0,0,0,1,0,0,0,0
prj_128,Armory Innovation Data Center,advanced_confirmed,0,2,11,0,40.0,0.2342,2.0791812460476247,0,9.549950537288323,0,0.0,,0.0,1,0,0,0,0,0,0,0
prj_133,DataOne Vineland,advanced_confirmed,0,1,4,0,0.0,-0.0375,2.4771212547196626,0,0.0,1,0.0,722,0.0,0,1,0,0,0,0,0,0
prj_136,New Brunswick Data Center,blocked_confirmed,1,1,6,0,0.0,0.0804,,1,0.0,0,0.0,414,0.0,0,1,0,0,0,0,0,0
prj_137,East Greenwich Township Data Center,blocked_confirmed,1,1,0,0,0.0,-0.028,,1,0.0,0,0.0,51,2.772588722239781,0,0,0,1,0,0,0,0
prj_138,CoreWeave Kenilworth,advanced_confirmed,0,6,0,0,227.0,0.2421,2.3979400086720375,0,0.0,0,0.0,304,0.0,0,1,0,1,0,1,0,0
prj_139,Monroe Township Data Center,blocked_confirmed,1,1,1,0,0.0,-0.028,,1,0.0,0,0.0,38,2.772588722239781,0,1,0,0,0,0,0,0
prj_141,Millville Energy & Data Center Campus,blocked_confirmed,1,1,0,0,0.0,-0.0375,,1,0.0,0,0.0,18,3.091042453358316,1,0,0,0,0,1,0,0
prj_158,CLT10 Uptown Expansion,advanced_confirmed,0,2,3,0,115.0,0.3289,,1,8.699681400989514,0,0.0,349,1.6094379124341003,1,0,0,1,0,0,0,0
prj_159,Greensboro Dream Center,advanced_confirmed,0,1,3,0,0.0,0.2184,1.0,0,0.0,0,0.0,,0.0,0,0,0,0,0,0,0,0
prj_162,T5 Data Centers Kings Mountain,advanced_confirmed,0,1,1,0,0.0,,2.0791812460476247,0,0.0,0,0.0,,0.0,1,0,0,0,0,0,0,0
prj_164,Lenoir Campus (Existing + Project Cardinal 2024),advanced_confirmed,0,1,0,0,0.0,-0.5262,,1,0.0,1,0.0,,0.0,0,0,0,0,0,0,0,0
prj_165,Natelli Investments New Hill Digital Campus,blocked_confirmed,1,3,2,1,221.0,,2.3979400086720375,0,8.607582191143917,1,0.0,,0.0,1,0,1,0,0,0,0,0
prj_168,Lenoir Data Center Expansion,advanced_confirmed,0,1,0,0,0.0,-0.5262,1.8750612633917,0,0.0,0,0.0,107,2.9444389791664403,1,0,0,0,0,0,0,0
prj_169,Rowan County Data Center,advanced_confirmed,0,3,2,0,35.0,-0.3591,,1,8.768107539675803,0,0.0,440,1.6094379124341003,1,0,0,1,0,0,0,0
prj_170,Project Delta,advanced_confirmed,0,1,12,1,0.0,-0.596,,1,8.277666160851503,0,0.0,376,1.6094379124341003,1,1,1,0,0,0,0,0
prj_171,AWS Richmond County Campus,advanced_confirmed,0,1,0,1,0.0,-0.2088,,1,0.0,0,0.0,610,1.6094379124341003,0,0,1,0,0,0,0,0
prj_172,Statesville Data Center Campus,advanced_confirmed,0,1,2,0,0.0,-0.3262,,1,0.0,0,0.0,250,1.6094379124341003,0,0,0,1,0,0,0,0
prj_173,Charlotte University City Data Center,advanced_confirmed,0,1,1,0,0.0,0.3289,,1,0.0,0,0.0,,0.0,0,0,0,1,0,0,0,0
prj_179,Tract Mooresville Technology Park,blocked_confirmed,1,1,1,0,0.0,-0.3262,3.1760912590556813,0,0.0,0,0.0,12,1.6094379124341003,0,1,0,0,0,0,0,0
prj_180,Project Accelerate,blocked_confirmed,1,1,1,0,0.0,0.3289,,1,8.002359546252707,0,0.0,0,2.302585092994046,0,0,0,0,0,0,0,0
prj_182,Polaris Forge 1,advanced_confirmed,0,1,1,0,0.0,-0.5224,2.6020599913279625,0,0.0,0,0.0,1065,0.0,0,0,0,0,1,0,0,0
prj_184,Polaris Forge 2,advanced_confirmed,0,1,1,0,0.0,-0.0842,2.4471580313422194,0,0.0,0,0.0,24,1.6094379124341003,0,0,0,1,0,0,0,0
prj_191,QTS New Albany Data Center Campus,advanced_confirmed,0,1,0,0,0.0,-0.3001,1.8920946026904804,0,0.0,1,0.0,622,0.0,0,0,0,0,0,0,0,0
prj_192,AWS Hillard Campus,advanced_confirmed,0,2,1,1,127.0,0.284,2.582063362911709,0,6.398594934535208,1,0.0,155,1.6094379124341003,0,1,1,0,0,0,0,0
prj_195,5C Springfield Data Center,advanced_confirmed,0,1,0,0,0.0,-0.2953,2.1760912590556813,0,0.0,0,0.0,531,0.0,1,0,0,0,0,0,0,0
prj_197,Piqua Data Center,advanced_confirmed,0,1,1,0,0.0,-0.4513,,1,8.142354276849835,0,0.0,304,0.0,0,0,0,1,0,0,0,0
prj_203,Project Cosmos,advanced_confirmed,0,1,1,0,0.0,-0.2963,,1,0.0,1,0.0,245,0.0,1,0,0,0,0,0,0,0
prj_205,Strata Expanse AI Center of Excellence,advanced_confirmed,0,2,2,0,39.0,-0.5054,1.9030899869919435,0,8.62604759632832,0,0.0,0,2.639057329615259,1,0,0,0,0,0,0,0
prj_227,Meta Bowling Green Data Center,advanced_confirmed,0,7,4,0,462.0,-0.1015,,1,7.504391559161238,1,0.0,551,0.0,1,1,0,0,0,0,0,0
prj_230,Project Hazelnut,blocked_confirmed,1,2,5,0,48.0,-0.1917,,1,7.790282380703483,0,0.0,153,0.0,0,1,0,0,0,0,0,0
prj_231,Panther Creek (Nesquehoning) HPC/AI Conversion,advanced_confirmed,0,1,1,0,0.0,-0.3479,2.5440680443502757,0,0.0,0,0.0,153,0.0,0,0,0,1,0,0,0,0
prj_235,Blakely AI Data Center,blocked_confirmed,1,1,1,0,0.0,0.0279,2.6020599913279625,0,7.644440761556566,0,0.0,42,0.0,0,1,0,0,0,0,0,0
prj_241,CoreWeave Lancaster AI Campuses,advanced_confirmed,0,1,1,0,0.0,-0.1595,2.4771212547196626,0,0.0,0,0.0,97,0.0,0,1,0,0,0,0,0,0
prj_243,PAX – Pennsylvania Digital I,advanced_confirmed,0,2,1,1,67.0,-0.0944,3.130333768495006,0,0.0,0,0.0,243,0.0,0,1,1,1,0,0,0,0
prj_251,Archbald I LLC Data Center Campuses,blocked_confirmed,1,1,1,0,0.0,0.0279,,1,0.0,0,0.0,177,1.9459101490553132,0,1,0,0,0,0,0,0
prj_252,Former Air Products Headquarters Data Center,blocked_confirmed,1,1,2,1,0.0,0.0269,,1,0.0,0,0.0,117,2.5649493574615367,0,0,1,0,0,0,0,0
prj_253,Pennhurst Data Center,blocked_confirmed,1,1,4,0,0.0,0.1446,,1,10.169882145844653,0,0.0,0,1.9459101490553132,0,1,0,0,0,0,0,0
prj_255,Dickson City Data Centers,blocked_confirmed,1,1,1,0,0.0,0.0279,,1,7.6362696033793735,0,0.0,104,2.5649493574615367,0,1,0,0,0,0,0,0
prj_260,Ransom Township Data Center,blocked_confirmed,1,2,2,1,18.0,0.0279,,1,0.0,0,0.0,88,2.8903717578961645,0,1,1,0,0,0,0,0
prj_263,Project Phoenix,advanced_confirmed,0,1,4,0,0.0,-0.2071,3.5563025007672873,0,0.0,0,0.0,211,0.0,0,1,0,0,0,0,0,0
prj_267,Talen Energy Rezone Request for Possible Data Center in Montour County,blocked_confirmed,1,2,1,0,63.0,-0.2101,,1,8.006700845440367,1,0.0,405,0.0,0,1,0,0,0,1,0,0
prj_274,North Coventry Township Data Center,blocked_confirmed,1,1,1,0,0.0,0.1446,,1,0.0,0,0.0,22,3.1780538303479458,0,1,0,0,0,0,0,0
prj_280,South Annville Township Data Center,blocked_confirmed,1,3,0,0,77.0,-0.3195,,1,0.0,0,0.0,42,3.9889840465642745,1,0,0,0,0,1,0,0
prj_299,Stonebridge Lawrence Data Center,blocked_confirmed,1,1,0,1,0.0,-0.3377,,1,0.0,0,0.0,15,4.430816798843313,0,0,1,0,0,0,0,0
prj_318,Gemini Sioux Falls Data Center,advanced_confirmed,0,1,2,0,0.0,-0.1268,2.6989700043360187,0,8.519789817263504,0,0.0,334,0.0,0,1,0,0,0,0,0,0
prj_320,Applied Digital Toronto,blocked_confirmed,1,1,1,0,0.0,-0.5174,2.6334684555795866,0,0.0,0,0.0,250,0.0,0,1,0,0,0,0,0,0
prj_321,Colossus,advanced_confirmed,0,13,9,1,534.0,0.2537,2.1760912590556813,0,0.0,1,0.0,238,0.6931471805599453,0,0,1,1,0,0,1,0
prj_322,Colossus 2,advanced_confirmed,0,12,11,1,442.0,0.2537,2.625312450961674,0,0.0,1,0.0,62,1.791759469228055,0,1,1,1,1,1,1,0
prj_323,Gallatin Data Center Expansion,advanced_confirmed,0,1,0,0,0.0,-0.4183,2.4771212547196626,0,0.0,0,0.0,2401,0.0,1,0,0,0,0,0,0,0
prj_325,RadiusDC Nashville I / Trinity Hills Colocation Data Center,advanced_confirmed,0,1,1,0,0.0,0.2745,1.0791812460476249,0,0.0,0,0.0,8,2.8903717578961645,0,0,0,1,0,0,0,0
prj_328,Jailhouse Studios,advanced_confirmed,0,2,1,0,195.0,-0.1305,,1,7.040536390215956,0,0.0,0,3.4011973816621555,1,0,0,1,0,0,0,0
prj_1002,Province Group Perry Village Data Center Campus,blocked_confirmed,1,1,1,0,0.0,-0.1435,,1,5.356586274672012,0,0.0,,0.0,0,1,0,0,0,0,0,0
prj_1003,Meta Hyperion,advanced_confirmed,0,10,7,1,327.0,-0.394,,1,0.0,1,0.0,124,1.0986122886681096,0,0,1,1,0,0,1,0
prj_1010,Project Sail Data Center,advanced_confirmed,0,1,3,0,0.0,-0.3386,2.9542425094393248,0,8.987321812850125,0,0.0,562,1.0986122886681096,1,1,0,0,0,0,0,0
prj_1011,Howell Township Data Center (Project Splitrock),blocked_confirmed,1,1,2,0,0.0,-0.2395,,1,8.262042843966942,1,0.0,80,1.791759469228055,1,0,0,0,0,0,0,0
prj_1012,Natelli Vance County Data Center,advanced_confirmed,0,2,3,0,66.0,0.1335,,1,0.0,0,0.0,12,2.639057329615259,1,1,0,0,0,0,0,0
