kind,opp_id,project_id,match_probability,project_name,opp_state,opp_date,opp_incident
unlinked_high_score,opp_78f2befc3676,prj_204,0.999996,Wildcat Ridge AI Data Center,PA,2025-11-01,Archbald
unlinked_high_score,opp_78f2befc3676,prj_250,0.999996,Project Green Mountain,PA,2025-11-01,Archbald
unlinked_high_score,opp_b6fe898298f5,prj_242,0.999995,Limerick / Project Laurel Data Center,PA,2026-01-01,Limerick Township (Linfield)
unlinked_high_score,opp_63251ae21b23,prj_163,0.999995,AWS Innovation Campus / New Albany Data Center Campus,OH,2026-07-16,New Albany (Licking County)
unlinked_high_score,opp_708e57f81080,prj_325,0.999994,New Carlisle Chicago Trail Data Center (Third Site),IN,2026-07-08,New Carlisle (Olive Township)
unlinked_high_score,opp_3d94fe3695b1,prj_322,0.999993,Province Group Perry Village Data Center Campus,OH,2025-07-01,Perry Township
unlinked_high_score,opp_fb11da4e8a3a,prj_174,0.999986,Stargate Project - Lordstown AI Data Center Campus,OH,2025-10-01,Lordstown
unlinked_high_score,opp_4178542bc45d,prj_205,0.999985,Project Gravity,PA,2026-03-27,Archbald Borough
unlinked_high_score,opp_9821df442512,prj_283,0.999982,5C Memphis Data Center,TN,2025-08-01,Memphis
unlinked_high_score,opp_4178542bc45d,prj_204,0.999980,Wildcat Ridge AI Data Center,PA,2026-03-27,Archbald Borough
unlinked_high_score,opp_6719b620e318,prj_254,0.999978,South Hanover Township Data Center,PA,2026-05-13,South Annville Township
unlinked_high_score,opp_91b0e9c4a7da,prj_15,0.999976,Port of Little Rock Data Center,AR,2026-03-14,Pulaski County (Little Rock area)
unlinked_high_score,opp_7f43ef5e9f13,prj_266,0.999975,Newton Township Data Center,PA,2026-02-27,Ransom Township
unlinked_high_score,opp_4916d5cd8858,prj_327,0.999968,Meta Project Everest,LA,2025-11-19,Holly Ridge / Richland Parish
unlinked_high_score,opp_8be8b626b0e2,prj_327,0.999968,Meta Project Everest,LA,2025-12-01,Richland Parish (Mississippi River Alluvial Aquifer water withdrawal)
unlinked_high_score,opp_a762a186f5a3,prj_327,0.999968,Meta Project Everest,LA,2025-11-17,Rayville (Sierra Club Delta Chapter town hall)
unlinked_high_score,opp_1228ae833969,prj_327,0.999968,Meta Project Everest,LA,2025-08-01,Richland Parish
unlinked_high_score,opp_51faef25a654,prj_327,0.999968,Meta Project Everest,LA,2024-07-01,Richland Parish Police Jury
unlinked_high_score,opp_a21a79c66f82,prj_325,0.999963,New Carlisle Chicago Trail Data Center (Third Site),IN,2026-05-13,"St. Joseph County Council (third New Carlisle-area data center rezoning, ~$13B), IN"
unlinked_high_score,opp_c7e3a124dc06,prj_276,0.999963,Colossus,TN,2026-05-20,Memphis TN / Southaven MS (xAI discloses $2.8B more turbine purchases amid lawsuit)
unlinked_high_score,opp_83d204607b21,prj_232,0.999963,Dickson City Data Centers,PA,2025-09-12,Blakely
unlinked_high_score,opp_531c0b6ca3ae,prj_83,0.999963,Project Ironwood,MI,2026-02-10,Erie Township
unlinked_high_score,opp_21594d5addcb,prj_197,0.999963,Buck Canyon Properties Data Center,OH,2026-02-01,Adams County
unlinked_high_score,opp_4178542bc45d,prj_250,0.999959,Project Green Mountain,PA,2026-03-27,Archbald Borough
unlinked_high_score,opp_2e7b25d60ea2,prj_276,0.999955,Colossus,TN,2025-08-01,Memphis City Council (xAI Community Benefit Ordinance)
unlinked_high_score,opp_93812452630d,prj_1,0.999952,Project Nebius,AL,2026-05-25,"Birmingham (amended class action alleging city-developer conspiracy to evade DC moratorium), AL"
unlinked_high_score,opp_824080a7cea0,prj_146,0.999949,Charlotte University City Data Center,NC,2026-06-08,"Charlotte (citywide 150-day data center moratorium — public hearing), NC"
unlinked_high_score,opp_b9342d9410a8,prj_174,0.999943,Stargate Project - Lordstown AI Data Center Campus,OH,2026-06-16,"Lordstown Village Council, OH"
unlinked_high_score,opp_0e952ed34143,prj_121,0.999939,CoreWeave Kenilworth,NJ,2026-05-20,"New Jersey (Democratic legislators announce AI data-center tax-credit repeal; Kenilworth CoreWeave protest), NJ"
unlinked_high_score,opp_b5b951136611,prj_107,0.999937,Lambda AI Factory,MO,2026-01-16,Kansas City
unlinked_high_score,opp_15333f0ab374,prj_282,0.999927,RadiusDC Nashville I / Trinity Hills Colocation Data Center,TN,2026-07-21,Nashville/Davidson County
unlinked_high_score,opp_fdc90b5fee1f,prj_202,0.999927,AWS Salem Township Data Center,PA,2025-11-18,Hazle Township
unlinked_high_score,opp_d51e905c487c,prj_282,0.999927,RadiusDC Nashville I / Trinity Hills Colocation Data Center,TN,2026-04-17,Nashville/Davidson County
unlinked_high_score,opp_9f1476cb49c2,prj_230,0.999916,Conshohocken Data Center,PA,2025-11-17,Plymouth Township
unlinked_high_score,opp_8be8b626b0e2,prj_323,0.999843,Meta Hyperion,LA,2025-12-01,Richland Parish (Mississippi River Alluvial Aquifer water withdrawal)
unlinked_high_score,opp_a762a186f5a3,prj_323,0.999843,Meta Hyperion,LA,2025-11-17,Rayville (Sierra Club Delta Chapter town hall)
unlinked_high_score,opp_51faef25a654,prj_323,0.999843,Meta Hyperion,LA,2024-07-01,Richland Parish Police Jury
unlinked_high_score,opp_1228ae833969,prj_323,0.999843,Meta Hyperion,LA,2025-08-01,Richland Parish
unlinked_high_score,opp_4178542bc45d,prj_321,0.999829,Harper Road Technology Park,PA,2026-03-27,Archbald Borough
unlinked_high_score,opp_a07a908a8fee,prj_145,0.999829,CLT10 Uptown Expansion,NC,2026-04-23,Charlotte
unlinked_high_score,opp_702f24f08f0d,prj_34,0.999827,Project Louie,IN,2025-09-22,Franklin Township (Indianapolis)
unlinked_high_score,opp_fdc90b5fee1f,prj_316,0.999824,4-3 Salem Township Data Center,PA,2025-11-18,Hazle Township
unlinked_high_score,opp_9821df442512,prj_281,0.999780,Neural Nexus Data Center,TN,2025-08-01,Memphis
unlinked_high_score,opp_a07a908a8fee,prj_144,0.999780,CLT20 Moores Chapel,NC,2026-04-23,Charlotte
unlinked_high_score,opp_72c3d2ed622a,prj_89,0.999756,Clinton Amazon Data Center,MS,2026-03-01,Canton
unlinked_high_score,opp_24a68fe9d847,prj_206,0.999689,Blakely AI Data Center,PA,2026-02-13,Dickson City
unlinked_high_score,opp_63251ae21b23,prj_189,0.999662,Microsoft New Albany Data Center,OH,2026-07-16,New Albany (Licking County)
unlinked_high_score,opp_f37aa63e4079,prj_24,0.999653,White Clay Creek Business Park Data Center Redevelopment,DE,2026-03-11,New Castle County
unlinked_high_score,opp_36592d45dc30,prj_30,0.999599,Project Rainier,IN,2025-12-10,St. Joseph County
unlinked_high_score,opp_83d204607b21,prj_205,0.999599,Project Gravity,PA,2025-09-12,Blakely
unlinked_high_score,opp_f37aa63e4079,prj_22,0.999599,Project Washington,DE,2026-03-11,New Castle County
unlinked_high_score,opp_6b836a2ea426,prj_110,0.999599,Meramec Valley Technology Park,MO,2026-01-15,Villa Ridge (Franklin County)
unlinked_high_score,opp_63251ae21b23,prj_162,0.999564,Vantage New Albany Data Center Campus,OH,2026-07-16,New Albany (Licking County)
unlinked_high_score,opp_1704aa7c2eb5,prj_15,0.999564,Port of Little Rock Data Center,AR,2025-06-01,Little Rock
unlinked_high_score,opp_b2e25d5db5cb,prj_210,0.999564,East Whiteland Township Data Center,PA,2025-10-01,East Vincent Township (Pennhurst)
unlinked_high_score,opp_660d40c453a6,prj_329,0.999559,PRSM Group Cumberland County Data Center,NC,2026-06-15,Cumberland County
unlinked_high_score,opp_51814228f383,prj_323,0.999348,Meta Hyperion,LA,2025-09-01,Richland Parish (Rayville/Delhi)
unlinked_high_score,opp_8d21af184d54,prj_91,0.999348,Canton Amazon Data Center,MS,2026-04-09,Mississippi (statewide Amazon expansion)
unlinked_high_score,opp_3c2069dc2adf,prj_323,0.999348,Meta Hyperion,LA,2025-11-19,Louisiana Department of Environmental Quality (LDEQ)
unlinked_high_score,opp_e56a1f96e77b,prj_254,0.999245,South Hanover Township Data Center,PA,2026-05-14,South Londonderry Township
unlinked_high_score,opp_96b5ebffece9,prj_195,0.999105,Killen Revitilization Project,OH,2026-03-02,Sprigg Township (Adams County)
unlinked_high_score,opp_96b5ebffece9,prj_194,0.999105,J.M. Stuart Revitilization Project,OH,2026-03-02,Sprigg Township (Adams County)
unlinked_high_score,opp_65d971d4be2c,prj_203,0.999105,Project Hazelnut,PA,2026-03-17,Salem Township
unlinked_high_score,opp_fd646649633f,prj_71,0.999105,Johns Hopkins Data Science and Artificial Intelligence Institute (DSAI),MD,2026-02-02,Baltimore County
unlinked_high_score,opp_4abdf137cfd4,prj_272,0.999105,Renaissance Boulevard Data Center Campus,PA,2026-04-13,Upper Gwynedd Township
unlinked_high_score,opp_4abdf137cfd4,prj_274,0.999105,3200 Horizon Drive Data Center,PA,2026-04-13,Upper Gwynedd Township
unlinked_high_score,opp_36592d45dc30,prj_325,0.999036,New Carlisle Chicago Trail Data Center (Third Site),IN,2025-12-10,St. Joseph County
unlinked_high_score,opp_67b9f85e24c9,prj_245,0.998689,Penn Forest Township Data Center,PA,2025-09-01,Packer Township / Banks Township
unlinked_high_score,opp_65d971d4be2c,prj_234,0.998689,Sugarloaf Township Data Center,PA,2026-03-17,Salem Township
unlinked_high_score,opp_72c3d2ed622a,prj_90,0.998432,Ridgeland Amazon Data Center,MS,2026-03-01,Canton
unlinked_high_score,opp_3f85e1c67f1c,prj_136,0.998005,Tarboro Data Center Campus,NC,2026-07-14,Edgecombe County
unlinked_high_score,opp_4abdf137cfd4,prj_319,0.997850,Gravel Pike Data Center,PA,2026-04-13,Upper Gwynedd Township
unlinked_high_score,opp_fdc90b5fee1f,prj_211,0.997850,QTS Salem Data Center,PA,2025-11-18,Hazle Township
unlinked_high_score,opp_09d4bdfd4545,prj_74,0.997850,Project Mitten / The Barn,MI,2026-01-22,Sylvan Township
unlinked_high_score,opp_77983677a720,prj_233,0.997428,West Hazleton Data Center,PA,2026-03-02,Hollenback Township
unlinked_high_score,opp_2aca64b4ff8e,prj_161,0.997428,Kingsboro Data Center,NC,2025-09-15,Town of Tarboro
unlinked_high_score,opp_824080a7cea0,prj_144,0.997428,CLT20 Moores Chapel,NC,2026-06-08,"Charlotte (citywide 150-day data center moratorium — public hearing), NC"
unlinked_high_score,opp_fcea9e266046,prj_258,0.996853,North Coventry Township Data Center,PA,2026-02-26,East Whiteland Township (Curative Amendment)
unlinked_high_score,opp_b2e25d5db5cb,prj_271,0.996853,East Brandywine Data Center,PA,2025-10-01,East Vincent Township (Pennhurst)
unlinked_high_score,opp_a07a908a8fee,prj_147,0.996504,5C Charlotte Data Center,NC,2026-04-23,Charlotte
unlinked_high_score,opp_70822e1b67ef,prj_174,0.995391,Stargate Project - Lordstown AI Data Center Campus,OH,2026-06-15,Lordstown (Trumbull County)
unlinked_high_score,opp_51814228f383,prj_327,0.994670,Meta Project Everest,LA,2025-09-01,Richland Parish (Rayville/Delhi)
unlinked_high_score,opp_3c2069dc2adf,prj_327,0.994670,Meta Project Everest,LA,2025-11-19,Louisiana Department of Environmental Quality (LDEQ)
unlinked_high_score,opp_77983677a720,prj_202,0.994564,AWS Salem Township Data Center,PA,2026-03-02,Hollenback Township
unlinked_high_score,opp_577c1410331e,prj_87,0.994564,Sansone York Township Data Center,MI,2025-06-01,Ypsilanti Township
unlinked_high_score,opp_5793674a1ca2,prj_87,0.994564,Sansone York Township Data Center,MI,2025-10-01,Saline Township
unlinked_high_score,opp_945600d23a7d,prj_202,0.994564,AWS Salem Township Data Center,PA,2025-08-11,Dorrance Township
unlinked_high_score,opp_029db6a2b8ba,prj_331,0.994564,Howell Township Data Center (Project Splitrock),MI,2025-12-02,Tyrone Township
unlinked_high_score,opp_f1be2c5b7a48,prj_202,0.994564,AWS Salem Township Data Center,PA,2026-02-24,Sugarloaf Township / Hazle Twp / Black Creek Twp / Nescopeck Twp
unlinked_high_score,opp_5ebb98c62ead,prj_119,0.994564,New Brunswick Data Center,NJ,2025-03-01,South Brunswick
unlinked_high_score,opp_681e92a6ba82,prj_87,0.994564,Sansone York Township Data Center,MI,2025-09-12,Washtenaw County Circuit Court (Related Digital v. Saline Township)
unlinked_high_score,opp_f1be2c5b7a48,prj_222,0.994564,Hollenback Township Data Center Development Zoning Application,PA,2026-02-24,Sugarloaf Township / Hazle Twp / Black Creek Twp / Nescopeck Twp
unlinked_high_score,opp_945600d23a7d,prj_222,0.994564,Hollenback Township Data Center Development Zoning Application,PA,2025-08-11,Dorrance Township
unlinked_high_score,opp_f1be2c5b7a48,prj_316,0.994564,4-3 Salem Township Data Center,PA,2026-02-24,Sugarloaf Township / Hazle Twp / Black Creek Twp / Nescopeck Twp
unlinked_high_score,opp_eebe9464f38a,prj_283,0.994564,5C Memphis Data Center,TN,2026-04-09,Memphis (xAI Colossus Water Recycle Plant indefinite pause)
unlinked_high_score,opp_945600d23a7d,prj_316,0.994564,4-3 Salem Township Data Center,PA,2025-08-11,Dorrance Township
unlinked_high_score,opp_77983677a720,prj_316,0.994564,4-3 Salem Township Data Center,PA,2026-03-02,Hollenback Township
unlinked_high_score,opp_9f706f5b61eb,prj_87,0.994564,Sansone York Township Data Center,MI,2025-09-10,Saline Township Board (rezoning denial)
unlinked_high_score,opp_047174b0bd7a,prj_252,0.994564,Conewago Township Data Center Land Considerations,PA,2025-10-14,East Manchester Township
unlinked_high_score,opp_fdc90b5fee1f,prj_222,0.994564,Hollenback Township Data Center Development Zoning Application,PA,2025-11-18,Hazle Township
unlinked_high_score,opp_11fa1ec005e1,prj_87,0.994564,Sansone York Township Data Center,MI,2025-08-12,Saline Township Planning Commission
unlinked_high_score,opp_f1be2c5b7a48,prj_249,0.994564,Dorrance Township Data Center Zoning Ordinance Challenge,PA,2026-02-24,Sugarloaf Township / Hazle Twp / Black Creek Twp / Nescopeck Twp
unlinked_high_score,opp_fdc90b5fee1f,prj_249,0.994564,Dorrance Township Data Center Zoning Ordinance Challenge,PA,2025-11-18,Hazle Township
unlinked_high_score,opp_8ea61ba234be,prj_210,0.994564,East Whiteland Township Data Center,PA,2026-02-23,North Coventry Township
unlinked_high_score,opp_5be96f62ca1f,prj_238,0.994564,Atlas Industrial / South Whitehall Township Hyperscale Data Center Campus,PA,2026-02-26,Upper Macungie Township
unlinked_high_score,opp_3ce0e3356b0f,prj_112,0.994564,Meta Kansas City Data Center,MO,2026-03-24,City of Liberty
unlinked_high_score,opp_77983677a720,prj_234,0.994564,Sugarloaf Township Data Center,PA,2026-03-02,Hollenback Township
unlinked_high_score,opp_95e066996918,prj_87,0.994564,Sansone York Township Data Center,MI,2026-01-12,Saline Township
unlinked_high_score,opp_65d971d4be2c,prj_222,0.994564,Hollenback Township Data Center Development Zoning Application,PA,2026-03-17,Salem Township
unlinked_high_score,opp_945600d23a7d,prj_234,0.994564,Sugarloaf Township Data Center,PA,2025-08-11,Dorrance Township
unlinked_high_score,opp_7c06af7ad5fe,prj_87,0.994564,Sansone York Township Data Center,MI,2025-10-15,Saline Township (consent judgment with Related Digital)
unlinked_high_score,opp_d7d9ccda1603,prj_87,0.994564,Sansone York Township Data Center,MI,2026-01-28,Saline Township Board (I-1 to A-1 rescission)
unlinked_high_score,opp_978f916fcce4,prj_87,0.994564,Sansone York Township Data Center,MI,2026-05-06,"Saline Township (Washtenaw County) — OpenAI Stargate 'The Barn' construction-despite-rejection, MI"
unlinked_high_score,opp_634c0bbef377,prj_120,0.994564,East Greenwich Township Data Center,NJ,2026-04-08,Monroe Township (Gloucester County)
unlinked_high_score,opp_0c2b8287973b,prj_232,0.994564,Dickson City Data Centers,PA,2026-03-17,City of Scranton
unlinked_high_score,opp_fdc90b5fee1f,prj_234,0.994564,Sugarloaf Township Data Center,PA,2025-11-18,Hazle Township
unlinked_high_score,opp_ff2f842fb285,prj_283,0.994564,5C Memphis Data Center,TN,2024-11-01,EPA Region 4 (xAI Memphis inquiry)
unlinked_high_score,opp_b2e25d5db5cb,prj_258,0.994564,North Coventry Township Data Center,PA,2025-10-01,East Vincent Township (Pennhurst)
unlinked_high_score,opp_2e7b25d60ea2,prj_283,0.994564,5C Memphis Data Center,TN,2025-08-01,Memphis City Council (xAI Community Benefit Ordinance)
unlinked_high_score,opp_f5b1e160deb4,prj_283,0.994564,5C Memphis Data Center,TN,2025-07-15,Memphis & Shelby County Air Pollution Control Board (xAI appeal filing)
unlinked_high_score,opp_9901ad833120,prj_283,0.994564,5C Memphis Data Center,TN,2025-06-05,EPA (Memphis ozone non-attainment petition)
unlinked_high_score,opp_254d8776189c,prj_283,0.994564,5C Memphis Data Center,TN,2026-05-01,"Memphis (Boxtown protest at xAI Colossus 1, 3231 Paul R. Lowry Rd), TN"
unlinked_high_score,opp_77983677a720,prj_249,0.994564,Dorrance Township Data Center Zoning Ordinance Challenge,PA,2026-03-02,Hollenback Township
unlinked_high_score,opp_271c92e1b93c,prj_38,0.994564,Pike Township Data Center,IN,2026-06-11,"Indianapolis / Warren Township (DC BLOX $2B campus opposition), IN"
unlinked_high_score,opp_8ec0ed3f2568,prj_283,0.994564,5C Memphis Data Center,TN,2025-03-04,Memphis City Council (Colossus Water Recycle Plant land sale)
unlinked_high_score,opp_56cafaa65c57,prj_283,0.994564,5C Memphis Data Center,TN,2026-03-03,Memphis & Shelby County Planning (xAI Tulane Rd construction permit)
unlinked_high_score,opp_0e4c335737e1,prj_283,0.994564,5C Memphis Data Center,TN,2025-04-25,Memphis (SCHD public hearing — Fairley High School)
unlinked_high_score,opp_c7e3a124dc06,prj_283,0.994564,5C Memphis Data Center,TN,2026-05-20,Memphis TN / Southaven MS (xAI discloses $2.8B more turbine purchases amid lawsuit)
unlinked_high_score,opp_6b8a649077ec,prj_283,0.994564,5C Memphis Data Center,TN,2025-12-16,Memphis & Shelby County Air Pollution Control Board (xAI appeal dismissed)
unlinked_high_score,opp_694458bf138a,prj_283,0.994564,5C Memphis Data Center,TN,2025-06-17,Memphis (NAACP/SELC 60-day NOI to sue xAI Colossus 1)
unlinked_high_score,opp_4178542bc45d,prj_269,0.994058,Project Triboro,PA,2026-03-27,Archbald Borough
unlinked_high_score,opp_43db08a54206,prj_1,0.994058,Project Nebius,AL,2026-07-13,Bessemer
unlinked_high_score,opp_3a7e650bca36,prj_99,0.994058,Project Spade,MO,2026-02-16,Montgomery County
unlinked_high_score,opp_43198f4163a4,prj_82,0.993835,Project Cherry Blossom,MI,2025-10-02,Dundee Township
unlinked_high_score,opp_c511720b75b1,prj_260,0.993835,Switch Data Center at Former Pitt Race Complex,PA,2026-01-28,Shippingport
unlinked_high_score,opp_21594d5addcb,prj_194,0.993835,J.M. Stuart Revitilization Project,OH,2026-02-01,Adams County
unlinked_high_score,opp_674add07c321,prj_83,0.993835,Project Ironwood,MI,2025-11-17,Frenchtown Township
unlinked_high_score,opp_2f62a1b1146b,prj_110,0.993835,Meramec Valley Technology Park,MO,2026-03-17,Franklin County (county-wide regulations)
unlinked_high_score,opp_0f9c5e6b0f52,prj_115,0.993560,Project Cumulus,MO,2026-04-10,City of Festus
unlinked_high_score,opp_c4d2b92dc5bc,prj_36,0.992083,Project Flo,IN,2026-02-24,Indiana (statewide rally/moratorium push)
unlinked_high_score,opp_29f4866c4a53,prj_196,0.992083,Marysville South Data Center,OH,2025-09-03,Jerome Township
unlinked_high_score,opp_5dc2341c2b96,prj_31,0.990610,Martindale Indianapolis Metrobloks Data Center,IN,2026-04-21,Indianapolis City-County Council
