place,place_norm,state,county,fips,source
Caddo-Bossier Parishes (Shreveport area),caddo bossier parishes,LA,Caddo,22017,repo_records
Caledonia Township,caledonia,MI,Kent,26081,repo_records
Village of Caledonia,caledonia,WI,Racine,55101,repo_records
"City of Calexico (proposed data center moratorium), CA",calexico ca,CA,Imperial,06025,repo_records
"Calipatria City Council (Imperial County — interim 5-year moratorium introduced), CA",calipatria city council ca,CA,Imperial,06025,repo_records
"Camdenton Board of Aldermen, MO",camdenton board of aldermen mo,MO,Camden,29029,repo_records
"Campbell County Board of Supervisors, VA",campbell county board of supervisors va,VA,Campbell,51031,repo_records
Canton,canton,MS,Madison,28089,repo_records
Town of Canton,canton,NC,Haywood,37087,repo_records
Town of Carlton,carlton,WI,Kewaunee,55061,repo_records
City of Carver,carver,MN,Carver,27019,repo_records
Cascade Township,cascade,MI,Kent,26081,repo_records
Cascade Locks Port Authority,cascade locks port authority,OR,Hood River,41027,repo_records
Cassville,cassville,WI,Grant,55043,repo_records
"Cave City Council, KY",cave city council ky,KY,Barren,21009,repo_records
"Cedar Hill (Robertson County — mayor proposing 2-year data center + crypto moratorium), TN",cedar hill tn,TN,Robertson,47147,repo_records
Cedar Rapids,cedar rapids,IA,Linn,19113,repo_records
Center Township; Black Lick Township,center township black lick,PA,Indiana,42063,repo_records
Centralia,centralia,MO,Boone,29019,repo_records
City of Chandler,chandler,AZ,Maricopa,04013,repo_records
Charlotte,charlotte,NC,Mecklenburg,37119,repo_records
"Charlotte (citywide 150-day data center moratorium — public hearing), NC",charlotte nc,NC,Mecklenburg,37119,repo_records
Chaska,chaska,MN,Carver,27019,repo_records
Chattanooga (Hamilton County),chattanooga,TN,Hamilton,47065,repo_records
Chelan County PUD,chelan county pud,WA,Chelan,53007,repo_records
Cherry Hill Township,cherry hill,NJ,Camden,34007,repo_records
Town of Chesterton,chesterton,IN,Porter,18127,repo_records
Cheyenne,cheyenne,WY,Laramie,56021,repo_records
Chicago South Loop,chicago south loop,IL,Cook,17031,repo_records
Childersburg,childersburg,AL,Talladega,01121,repo_records
Cincinnati,cincinnati,OH,Hamilton,39061,repo_records
Claremore,claremore,OK,Rogers,40131,repo_records
Clarington,clarington,OH,Monroe,39111,repo_records
Clark Township,clark,MI,Chippewa,26033,repo_records
Clark County Commission (Sierra Club rally + data center ordinance discussion),clark county commission,NV,Clark,32003,repo_records
Clarksdale,clarksdale,MS,Coahoma,28027,repo_records
Clarksville,clarksville,AR,Johnson,05071,repo_records
"Clay County (12-month data center moratorium, first hearing), FL",clay county fl,FL,Clay,12019,repo_records
Clay Township; Harris Township,clay township harris,IN,St. Joseph,18141,repo_records
Cleveland,cleveland,OH,Cuyahoga,39035,repo_records
Cleveland / Brook Park,cleveland brook park,OH,Cuyahoga,39035,repo_records
"Cleveland City Council (1-yr moratorium proposed; Lakeland Equity permit rejected), OH",cleveland city council oh,OH,Cuyahoga,39035,repo_records
Clifton Township,clifton,PA,Lackawanna,42069,repo_records
Clifton Township; Covington Township,clifton township covington,PA,Lackawanna,42069,repo_records
Town of Clyde,clyde,NC,Haywood,37087,repo_records
Coachella,coachella,CA,Riverside,06065,repo_records
Coal City,coal,IL,Grundy,17063,repo_records
College Station,college station,TX,Brazos,48041,repo_records
"Colleton County Council (moratorium finalized, related SELC lawsuit paused)",colleton county council,SC,Colleton,45029,repo_records
"Colleton County Council (first-reading 6-month moratorium on 850-acre Eagle Rock proposal in ACE Basin), SC",colleton county council sc,SC,Colleton,45029,repo_records
Colorado Springs,colorado springs,CO,El Paso,08041,repo_records
Columbia,columbia,MO,Boone,29019,repo_records
Columbiana (Shelby County),columbiana,AL,Shelby,01117,repo_records
Columbus (Muscogee County),columbus,GA,Muscogee,13215,repo_records
Commercial Point / Scioto Township (Pickaway County),commercial point scioto,OH,Pickaway,39129,repo_records
Conewago Township (York County),conewago,PA,York,42133,repo_records
Conshohocken / Plymouth Township,conshohocken plymouth,PA,Montgomery,42091,repo_records
Conway,conway,AR,Faulkner,05045,repo_records
Corsicana,corsicana,TX,Navarro,48349,repo_records
Council Bluffs,council bluffs,IA,Pottawattamie,19155,repo_records
"Council Bluffs (data center moratorium denied), IA",council bluffs ia,IA,Pottawattamie,19155,repo_records
Covington,covington,GA,Newton,13217,repo_records
Covington Township (Lackawanna County),covington,PA,Lackawanna,42069,repo_records
Coweta,coweta,OK,Wagoner,40145,repo_records
"Cranford Township (ban amendment to be introduced), NJ",cranford township nj,NJ,Union,34039,repo_records
Crowell & Quanah,crowell quanah,TX,Foard,48155,repo_records
Cullman City Council,cullman city council,AL,Cullman,01043,repo_records
Town of Culpeper,culpeper,VA,Culpeper,51047,repo_records
Cumru Township,cumru,PA,Berks,42011,repo_records
"Dane County (18-month hyperscale data center moratorium passed), WI",dane county wi,WI,Dane,55025,repo_records
Davenport,davenport,IA,Scott,19163,repo_records
Dayton,dayton,OH,Montgomery,39113,repo_records
Decatur Township (Indianapolis),decatur,IN,Marion,18097,repo_records
Village of DeForest,deforest,WI,Dane,55025,repo_records
DeKalb,dekalb,IL,DeKalb,17037,repo_records
DeKalb County Board of Commissioners (Data Center Text Amendment defeated),dekalb county board of commissioners,GA,DeKalb,13089,repo_records
Denver,denver,CO,Denver,08031,repo_records
Detroit,detroit,MI,Wayne,26163,repo_records
Dexter Township,dexter,MI,Washtenaw,26161,repo_records
Dickerson (Montgomery County),dickerson,MD,Montgomery,24031,repo_records
Dickson City,dickson,PA,Lackawanna,42069,repo_records
Dodge County Board of Supervisors,dodge county board of supervisors,WI,Dodge,55027,repo_records
Dorr Township,dorr,MI,Allegan,26005,repo_records
Dorrance Township,dorrance,PA,Luzerne,42079,repo_records
"Douglas County Commissioners (text-amendment de facto pause), KS",douglas county commissioners ks,KS,Douglas,20045,repo_records
Town of Dryden,dryden,NY,Tompkins,36109,repo_records
Dublin City Council (West Innovation District rezoning),dublin city council,OH,Franklin,39049,repo_records
Dundee Township,dundee,MI,Monroe,26115,repo_records
"Durham City Council (60-day moratorium on hyperscale data centers, cites Microsoft Woodsdale Township), NC",durham city council nc,NC,Durham,37063,repo_records
City of Eagan,eagan,MN,Dakota,27037,repo_records
Eagle Mountain,eagle mountain,UT,Utah,49049,repo_records
East Brandywine Township,east brandywine,PA,Chester,42029,repo_records
"Town of East Fishkill (Dutchess County — Treetop Development data center; industrial moratorium extended to data centers), NY",east fishkill ny,NY,Dutchess,36027,repo_records
East Greenwich Township,east greenwich,NJ,Gloucester,34015,repo_records
East Lansing,east lansing,MI,Ingham,26065,repo_records
East Manchester Township,east manchester,PA,York,42133,repo_records
East Rockhill Township (Bucks County),east rockhill,PA,Bucks,42017,repo_records
East Vincent Township (Pennhurst),east vincent,PA,Chester,42029,repo_records
City of East Wenatchee,east wenatchee,WA,Douglas,53017,repo_records
East Whiteland Township (Curative Amendment),east whiteland,PA,Chester,42029,repo_records
East Windsor,east windsor,NJ,Mercer,34021,repo_records
"Edgerton (DAMAC data center denied; 6-month moratorium also denied), KS",edgerton ks,KS,Johnson,20091,repo_records
"City of Edmond (data center moratorium), OK",edmond ok,OK,Oklahoma,40109,repo_records
Edwardsville,edwardsville,IL,Madison,17119,repo_records
City of El Monte,el monte,CA,Los Angeles,06037,repo_records
El Paso,el paso,TX,El Paso,48141,repo_records
Ellendale,ellendale,ND,Dickey,38021,repo_records
Elmwood Township,elmwood,MI,Tuscola,26157,repo_records
City of Emporia (Lyon County),emporia,KS,Lyon,20111,repo_records
EPA Region 4 (xAI Memphis inquiry),epa region 4,TN,Shelby,47157,repo_records
Erie Township,erie,MI,Monroe,26115,repo_records
Essex,essex,IL,Kankakee,17091,repo_records
Ethridge,ethridge,TN,Lawrence,47099,repo_records
Evanston (Uinta County),evanston,WY,Uinta,56041,repo_records
Everett,everett,MA,Middlesex,25017,repo_records
Exeter Borough,exeter,PA,Luzerne,42079,repo_records
Fairmont,fairmont,WV,Marion,54049,repo_records
Falls Township,falls,PA,Bucks,42017,repo_records
Faribault,faribault,MN,Rice,27131,repo_records
Farmington,farmington,MN,Dakota,27037,repo_records
"Fayette County, GA — QTS Fayetteville (Microsoft Fairwater Atlanta campus) 29M-gallon unmetered water disclosure",fayette county ga qts fayetteville 29m gallon unmetered water disclosure,GA,Fayette,13113,repo_records
Fayetteville,fayetteville,GA,Fayette,13113,repo_records
Fayetteville,fayetteville,NC,Cumberland,37051,repo_records
"Fayetteville (data center conditional-use amendments proposed), AR",fayetteville ar,AR,Washington,05143,repo_records
City of Festus,festus,MO,Jefferson,29099,repo_records
Findlay,findlay,OH,Hancock,39063,repo_records
Fisk University (self-developed data center/tech center opposition),fisk university,TN,Davidson,47037,repo_records
Forest City,forest,NC,Rutherford,37161,repo_records
Forest Grove,forest grove,OR,Washington,41067,repo_records
Foristell,foristell,MO,St. Charles,29183,repo_records
Forney,forney,TX,Kaufman,48257,repo_records
Forsyth (Monroe County),forsyth,GA,Monroe,13207,repo_records
Fort Meade (Polk County),fort meade,FL,Polk,12105,repo_records
Fort Wayne,fort wayne,IN,Allen,18003,repo_records
Fort Worth,fort worth,TX,Tarrant,48439,repo_records
"City of Fort Worth (citywide data center rules + crypto-mining ban proposed), TX",fort worth tx,TX,Tarrant,48439,repo_records
Frankfort,frankfort,IL,Will,17197,repo_records
"Franklin County Board of Supervisors / Planning (zoning rewrite draft with data-center provisions), VA",franklin county board of supervisors planning va,VA,Franklin,51067,repo_records
Franklin Furnace,franklin furnace,OH,Scioto,39145,repo_records
Franklin Park Borough,franklin park,PA,Allegheny,42003,repo_records
Frederick / Carroll / Baltimore Counties,frederick carroll baltimore counties,MD,Frederick,24021,repo_records
Frederick County Board of Supervisors (Virginia Technology Park rezoning),frederick county board of supervisors,VA,Frederick,51069,repo_records
Fredonia/Saukville,fredonia saukville,WI,Ozaukee,55089,repo_records
Frenchtown Township,frenchtown,MI,Monroe,26115,repo_records
Front Royal Town Council,front royal town council,VA,Warren,51187,repo_records
Gaines Charter Township,gaines,MI,Kent,26081,repo_records
Gallatin,gallatin,TN,Sumner,47165,repo_records
"Gardner, KS",gardner ks,KS,Johnson,20091,repo_records
Genesee County Economic Development Center (GCEDC),genesee county economic development center,NY,Genesee,36037,repo_records
Gibraltar,gibraltar,MI,Wayne,26163,repo_records
Gilroy,gilroy,CA,Santa Clara,06085,repo_records
Glynn County Board of Commissioners,glynn county board of commissioners,GA,Glynn,13127,repo_records
Village of Godfrey,godfrey,IL,Madison,17119,repo_records
Goodyear,goodyear,AZ,Maricopa,04013,repo_records
Grafton,grafton,OH,Lorain,39093,repo_records
Granbury / Mitchell Bend,granbury mitchell bend,TX,Hood,48221,repo_records
Grand Blanc Township,grand blanc,MI,Genesee,26049,repo_records
Grant County PUD,grant county pud,WA,Grant,53025,repo_records
Granville Township (emergency supervisors meeting on data center land development plan),granville,PA,Mifflin,42087,repo_records
Grayson,grayson,KY,Carter,21043,repo_records
Great Falls,great falls,MT,Cascade,30013,repo_records
Green Charter Township,green,MI,Kent,26081,repo_records
Village of Greenleaf,greenleaf,WI,Brown,55009,repo_records
Greensboro,greensboro,NC,Guilford,37081,repo_records
"Greenwood County (1-year data center moratorium under consideration), SC",greenwood county sc,SC,Greenwood,45047,repo_records
Gregg Township,gregg,PA,Union,42119,repo_records
Griffin (Spalding County),griffin,GA,Spalding,13255,repo_records
"Grimes County Commissioners (SpaceX Terafab tax abatement public notice), TX",grimes county commissioners tx,TX,Grimes,48185,repo_records
"Grove City (6-month data center moratorium), OH",grove city oh,OH,Franklin,39049,repo_records
Gum Springs,gum springs,KY,Clark,21049,repo_records
City of Hamilton,hamilton,OH,Butler,39017,repo_records
Hampden Township,hampden,PA,Cumberland,42041,repo_records
Hampton,hampton,MN,Dakota,27037,repo_records
Hannibal,hannibal,OH,Monroe,39111,repo_records
Hanover Township,hanover,PA,Washington,42125,repo_records
Harford County Council,harford county council,MD,Harford,24025,repo_records
"Harford County Executive Bob Cassilly (proposed legislation to permanently ban data centers countywide; public hearing May 18, vote June 1), MD",harford county executive bob cassilly md,MD,Harford,24025,repo_records
Harlingen,harlingen,TX,Cameron,48061,repo_records
City of Harrison,harrison,AR,Boone,05009,repo_records
Harrodsburg,harrodsburg,KY,Mercer,21167,repo_records
Harwood,harwood,ND,Cass,38017,repo_records
Hawesville,hawesville,KY,Hancock,21091,repo_records
Hayes Township,hayes,MI,Charlevoix,26029,repo_records
Hazle Township,hazle,PA,Luzerne,42079,repo_records
Heath,heath,OH,Licking,39089,repo_records
Hebron,hebron,OH,Licking,39089,repo_records
Henderson,henderson,NC,Vance,37181,repo_records
Hermantown,hermantown,MN,St. Louis,27137,repo_records
Hermiston,hermiston,OR,Umatilla,41059,repo_records
"Hernando County (1-year data center moratorium), FL",hernando county fl,FL,Hernando,12053,repo_records
High Point,high point,NC,Guilford,37081,repo_records
"Hill County Commissioners Court (first Texas county data center moratorium), TX",hill county commissioners court tx,TX,Hill,48217,repo_records
"Hill County (RCM Hill files $100M federal suit challenging data center moratorium), TX",hill county tx,TX,Hill,48217,repo_records
Hillard,hillard,OH,Franklin,39049,repo_records
Hilliard,hilliard,OH,Franklin,39049,repo_records
"Hillsboro City Council (Councilor Sinclair emergency session on Enterprise Zone tax breaks), OR",hillsboro city council or,OR,Washington,41067,repo_records
"Town of Hillsborough (60-day AI data center moratorium), NC",hillsborough nc,NC,Orange,37135,repo_records
Hobart,hobart,IN,Lake,18089,repo_records
Hoffman Estates,hoffman estates,IL,Cook,17031,repo_records
Hogansville (Troup County),hogansville,GA,Troup,13285,repo_records
Holden,holden,WV,Logan,54045,repo_records
Hollenback Township,hollenback,PA,Luzerne,42079,repo_records
Holly Ridge,holly ridge,LA,Richland,22083,repo_records
"Holmes County (moving toward permanent AI data center ban), FL",holmes county fl,FL,Holmes,12059,repo_records
City of Holyoke,holyoke,MA,Hampden,25013,repo_records
"Hood County (Comanche Circle data center approved without conditions under lawsuit threat), TX",hood county tx,TX,Hood,48221,repo_records
Hoover,hoover,AL,Jefferson,01073,repo_records
Hope Hull,hope hull,AL,Montgomery,01101,repo_records
Houghton,houghton,MI,Houghton,26061,repo_records
"Howard County (temporary data center moratorium through Nov 2027), MD",howard county md,MD,Howard,24027,repo_records
Howell Township,howell,MI,Livingston,26093,repo_records
Hubbard Township,hubbard,OH,Trumbull,39155,repo_records
"City of Hubbard (Trumbull County — moratorium drafted amid 'Project Milo' NDA controversy), OH",hubbard oh,OH,Trumbull,39155,repo_records
Huntsville (Madison County),huntsville,AL,Madison,01089,repo_records
Hutto,hutto,TX,Williamson,48491,repo_records
Ilion,ilion,NY,Herkimer,36043,repo_records
"City of Imperial (hyperscale data center moratorium advancing), CA",imperial ca,CA,Imperial,06025,repo_records
"Imperial County (data center moratorium + by-right elimination advancing), CA",imperial county ca,CA,Imperial,06025,repo_records
"Imperial County / Salton Sea Lithium Valley (CTR geothermal-powered data center complex), CA",imperial county salton sea lithium valley ca,CA,Imperial,06025,repo_records
"Imperial County Superior Court (CEQA complaint against ~1M sq ft data center; trial June 25), CA",imperial county superior court ca,CA,Imperial,06025,repo_records
"Imperial Irrigation District (voters reject data-center-backed board candidate), CA",imperial irrigation district ca,CA,Imperial,06025,repo_records
Imperial Valley,imperial valley,CA,Imperial,06025,repo_records
Independence,independence,MO,Jackson,29095,repo_records
Indianapolis (Department of Metropolitan Development / City-County Council),indianapolis,IN,Marion,18097,repo_records
Indianapolis City-County Council,indianapolis city county council,IN,Marion,18097,repo_records
"Indianapolis City-County Council (Metrobloks Martindale-Brightwood rezoning), IN",indianapolis city county council in,IN,Marion,18097,repo_records
"Indianapolis / Marion County (City-County Council nonbinding moratorium resolution, Prop. 158), IN",indianapolis marion county in,IN,Marion,18097,repo_records
Indianapolis Metropolitan Development Commission (data center development standards recommendation),indianapolis metropolitan development commission,IN,Marion,18097,repo_records
"Indianapolis / Warren Township (DC BLOX $2B campus opposition), IN",indianapolis warren township in,IN,Marion,18097,repo_records
"Inver Grove Heights City Council, MN",inver grove heights city council mn,MN,Dakota,27037,repo_records
"Iron County (180-day moratorium on new data center / power-plant applications), UT",iron county ut,UT,Iron,49021,repo_records
Irondale,irondale,AL,Jefferson,01073,repo_records
Ironton,ironton,OH,Lawrence,39087,repo_records
Jackson City Council,jackson city council,MS,Hinds,28049,repo_records
"Jackson County (1-year AI data center moratorium), FL",jackson county fl,FL,Jackson,12063,repo_records
"Jackson County (moratorium vote delayed on two competing proposals), MO",jackson county mo,MO,Jackson,29095,repo_records
Janesville,janesville,WI,Rock,55105,repo_records
Jenkins Township,jenkins,PA,Luzerne,42079,repo_records
Jerome Township,jerome,OH,Union,39159,repo_records
Jersey City,jersey,NJ,Hudson,34017,repo_records
Jessup Borough,jessup,PA,Lackawanna,42069,repo_records
City of Johnson City,johnson,TN,Washington,47179,repo_records
Johnstown,johnstown,OH,Licking,39089,repo_records
Joliet,joliet,IL,Will,17197,repo_records
Jonesborough,jonesborough,TN,Washington,47179,repo_records
"Jonesborough Board of Mayor and Aldermen, TN",jonesborough board of mayor and aldermen tn,TN,Washington,47179,repo_records
Joplin,joplin,MO,Jasper,29097,repo_records
Kalkaska,kalkaska,MI,Kalkaska,26079,repo_records
Karthaus Township,karthaus,PA,Clearfield,42033,repo_records
Kenilworth Borough,kenilworth,NJ,Union,34039,repo_records
"Kenilworth Borough (Union County — community rally against $1.8B CoreWeave data center on former NEST campus), NJ",kenilworth borough nj,NJ,Union,34039,repo_records
Kenosha,kenosha,WI,Kenosha,55059,repo_records
City of Kings Mountain,kings mountain,NC,Cleveland,37045,repo_records
Kingsboro,kingsboro,NC,Edgecombe,37065,repo_records
Kline Township,kline,PA,Schuylkill,42107,repo_records
Knightstown,knightstown,IN,Henry,18065,repo_records
Knox County Commission,knox county commission,TN,Knox,47093,repo_records
"Knox County, TN (draft data-center regulation ordinance — 65-ft height cap, 300-ft setbacks, closed-loop energy mandate)",knox county tn,TN,Knox,47093,repo_records
Knoxville City Council,knoxville city council,TN,Knox,47093,repo_records
Kokomo (Howard County),kokomo,IN,Howard,18067,repo_records
Kuna,kuna,ID,Ada,16001,repo_records
City of La Grange,la grange,KY,Oldham,21185,repo_records
La Porte,la porte,IN,LaPorte,18091,repo_records
LaFayette,lafayette,GA,Walker,13295,repo_records
City of LaGrange,lagrange,GA,Troup,13285,repo_records
Lakeland City Commission,lakeland city commission,FL,Polk,12105,repo_records
Lakeville,lakeville,MN,Dakota,27037,repo_records
Lancaster City,lancaster,PA,Lancaster,42071,repo_records
Landover,landover,MD,Prince George's,24033,repo_records
Lansing,lansing,MI,Ingham,26065,repo_records
Lansing,lansing,NY,Tompkins,36109,repo_records
LaPorte,laporte,IN,LaPorte,18091,repo_records
"Laramie County / Cheyenne (grassroots moratorium petition over up to 70 facilities including Microsoft 3,200-acre expansion), WY",laramie county cheyenne wy,WY,Laramie,56021,repo_records
Laurel,laurel,MD,Prince George's,24033,repo_records
City of Lawrence (Douglas County),lawrence,KS,Douglas,20045,repo_records
Lawton,lawton,OK,Comanche,40031,repo_records
Lebanon (Boone County),lebanon,IN,Boone,18011,repo_records
"Lee County (moratorium extension + dedicated data center zoning district), GA",lee county ga,GA,Lee,13177,repo_records
Leland,leland,NC,Brunswick,37019,repo_records
Lenoir,lenoir,NC,Caldwell,37027,repo_records
Lenox Township,lenox,MI,Macomb,26099,repo_records
Lewis Center,lewis center,OH,Delaware,39041,repo_records
Lewiston,lewiston,ME,Androscoggin,23001,repo_records
Lexington,lexington,KY,Fayette,21067,repo_records
"Lexington-Fayette Urban County (no incentives for DartPoints + council moratorium), KY",lexington fayette urban county ky,KY,Fayette,21067,repo_records
"Liberty Township, Butler County (data center PUD-review requirement), OH",liberty township butler county oh,OH,Butler,39017,repo_records
Lima,lima,OH,Allen,39003,repo_records
Limerick Township (Linfield),limerick,PA,Montgomery,42091,repo_records
Limestone,limestone,ME,Aroostook,23003,repo_records
Linn County Board of Supervisors (18-month pause on EU-3 large-scale data center rezoning applications),linn county board of supervisors,IA,Linn,19113,repo_records
Lisle,lisle,IL,DuPage,17043,repo_records
Little Rock,little rock,AR,Pulaski,05119,repo_records
"Little Rock (citywide data center regulations approved), AR",little rock ar,AR,Pulaski,05119,repo_records
Little Rock Board of Directors (hyperscale data center moratorium measure),little rock board of directors,AR,Pulaski,05119,repo_records
Lockbourne,lockbourne,OH,Franklin,39049,repo_records
Lodi Township,lodi,MI,Washtenaw,26161,repo_records
Londonderry Township,londonderry,PA,Dauphin,42043,repo_records
Longmont,longmont,CO,Boulder,08013,repo_records
"Lonsdale City Council, MN",lonsdale city council mn,MN,Rice,27131,repo_records
Lordstown,lordstown,OH,Trumbull,39155,repo_records
"Lordstown Village Council, OH",lordstown village council oh,OH,Trumbull,39155,repo_records
Loudon County Commission,loudon county commission,TN,Loudon,47105,repo_records
Louisiana Department of Environmental Quality (LDEQ),louisiana department of environmental quality,LA,Richland,22083,repo_records
