position_id,level,state,fips,county_name,jurisdiction,person_name,person_id,office,office_class,party,stance,stance_basis,bill_key,bill_identifier,vote_option,vote_result,vote_motion,vote_chamber,evidence_date,evidence_summary,source_url,confidence,qc_status,qc_flags
body-b472cee7a4d2,body,AR,05045,Faulkner County,Conway,,,City council,city_council,,governing_body_action,governing_body_action,,,,approved,public_comment,,2025-04-01,"Conway City Council approved a memorandum of understanding with Forgelight Ventures in April 2025 for a $1B, 300,000 sq ft data center along the Arkansas River on Lollie Road. The secret data center owner (likely Google, based on Forgelight manager Michael Mon",https://arktimes.com/arkansas-blog/2025/09/12/conway-residents-grapple-with-incoming-ai-super-data-center-at-town-hall,tracker_coded,published,
body-1169c56958ca,body,AR,05119,Pulaski County,Little Rock,,,City council,city_council,,governing_body_action,governing_body_action,,,,approved,zoning_restriction,,2025-06-01,"AVAIO Digital's 'Project Leo' — a $6B, 760-acre hyperscale data center campus near Little Rock — has broken ground with a fully approved Site Plan. The first phase (150 MW) is expected to be complete and energized by June 2027, with power demand anticipated to",https://arkansasadvocate.com/2025/07/30/two-arkansas-cities-chase-data-center-gold-but-might-be-competing-against-each-other/,tracker_coded,published,
body-d1de4d425088,body,AR,05035,Crittenden County,West Memphis,,,City council,city_council,,governing_body_action,governing_body_action,,,,approved,public_comment,,2025-10-01,"Google confirmed a $4B, 600 MW data center on 1,178 acres in West Memphis, Arkansas ('Project Pyramid'). Critics raised concerns about water, noise, utility rate increases, and that 1,100 acres support only 300 jobs. Arkansas Act 373 allows utilities to pass i",https://arkansasadvocate.com/2025/12/12/fear-of-missing-out-on-data-center-boom-leads-arkansas-officials-to-ignore-hard-questions/,tracker_coded,published,
body-b1aee62fd117,body,AR,05071,Johnson County,Clarksville,,,City council,city_council,,governing_body_action,governing_body_action,,,,approved,public_comment,,2025-11-25,"Serverfarm acquired 135 acres through subsidiary SF ARK1 LLC, north of the water treatment plant on Palmer Road in Clarksville, Arkansas. Plans call for six buildings totaling over 2 million sq ft with 318 MW capacity. The project could cost $8 billion at full",https://www.arkansasonline.com/news/2025/nov/25/data-center-builder-preparing-1-billion-project/,tracker_coded,published,
body-742583f74c68,body,AR,,,Arkansas (statewide),,,State legislature,state_legislature,,governing_body_action,governing_body_action,,,,defeated,legislation,,2026-04-08,"State Sen. Bryan King (R-Green Forest) filed five bills on April 8, 2026 aimed at regulating data centers in Arkansas: public notice requirements, electricity usage monitoring, groundwater protection, and more. This is an uphill fight in a state that has been ",https://arktimes.com/arkansas-blog/2026/04/08/outsider-republican-carries-on-the-uphill-battle-to-regulate-data-centers,tracker_coded,published,county_unresolved
body-145be6d9bb3b,body,AR,05119,Pulaski County,"Little Rock (citywide data center regulations approved), AR",,,City council,city_council,,governing_body_action,governing_body_action,,,,passed,ordinance; zoning_restriction,,2026-06-03,"On June 3, 2026, Little Rock's Board of Directors unanimously approved new citywide data center regulations during an hours-long meeting that featured heavy criticism of a proposed ~$1B Google-backed data center project.",https://arkansasadvocate.com/2026/06/03/arkansas-largest-city-approves-new-data-center-ordinance/,tracker_coded,published,
body-c2a485f5893d,body,AR,05143,Washington County,"Fayetteville (data center conditional-use amendments proposed), AR",,,City council,city_council,,governing_body_action,governing_body_action,,,,passed,zoning_restriction; ordinance,,2026-06-16,"On June 4, 2026 Fayetteville Mayor Molly Rawn (with Councilman Scott Berna) announced proposed ordinance amendments making data centers a conditional use across all zoning districts (currently by-right in I-2 industrial), giving the Planning Commission discret",https://www.nwaonline.com/news/2026/jun/09/fayetteville-city-council-working-to-beef-up/,tracker_coded,published,
body-18c32de0322a,body,AR,05015,Carroll County,Carroll County,,,County commission,county_commission,,governing_body_action,governing_body_action,,,,passed,moratorium; ordinance,,2026-06-17,"NEW fight. On June 17 the Carroll County (AR) Quorum Court unanimously passed a 12-month emergency moratorium blocking construction and authorization of 'high-impact industrial and high-intensity digital infrastructure facilities' — data centers, AI computing,",https://www.ky3.com/2026/06/17/carroll-county-unanimously-passes-1-year-moratorium-data-centers-other-high-intensity-digital-infrastructure-facilities/,tracker_coded,published,
priority-791c432eded0,county,AZ,04013,"Maricopa County, Arizona",Maricopa County Board of Supervisors,Kate Brophy McGee,county-04013-county-board-kate-brophy-mcgee,"Chair, Maricopa County Board of Supervisors (Supervisor, District 3)",county_board,Republican,stated_priority,stated_priority,,,,,,,,"Chair's 2026 agenda identifies county responsibility for ensuring developments have necessary water, roads and drainage, plus a streamlined and centralized permitting process, a modernized zoning ordinance, and Infrastructure Readiness Assessments for unincorporated areas.",https://www.maricopa.gov/CivicAlerts.aspx?AID=3564&ARC=5911,quoted_source,published,
body-55daa0d146fc,body,AZ,04013,Maricopa County,Mesa,,,City council,city_council,,governing_body_action,governing_body_action,,,,passed,zoning_restriction,,2025-07-08,"Mesa City Council adopted new zoning rules on July 8, 2025, restricting data centers to General Industrial and Heavy Industrial zones (roughly 4.1% of city land) and requiring special use permits with City Council approval, design guideline compliance, and env",https://www.kjzz.org/business/2025-07-14/mesa-city-council-approves-new-data-center-zoning-rules,tracker_coded,published,
body-20c49b036baa,body,AZ,04013,Maricopa County,Tonopah (unincorporated Maricopa County),,,County commission,county_commission,,governing_body_action,governing_body_action,,,,approved,public_comment,,2025-12-10,"AV Squared, backed by Chamath Palihapitiya, proposed a $25B, 1.5 GW AI data center campus on 2,000 acres near Tonopah, Arizona. The Maricopa County Board unanimously approved industrial rezoning in December 2025 despite ~200 public comments in opposition. The ",https://fortune.com/2025/12/27/ai-data-centers-arizona-hassayampa-ranch/,tracker_coded,published,
body-c712d5512cee,body,AZ,04013,Maricopa County,Maricopa County,,,County commission,county_commission,,governing_body_action,governing_body_action,,,,passed,zoning_restriction,,2025-12-10,"The Maricopa County, Arizona, Board of Supervisors unanimously approved a modernized zoning ordinance establishing specific rules for data center development, effective January 9, 2026. The new rules limit data centers to two industrial zoning districts (IND-2",https://www.kjzz.org/business/2025-12-11/maricopa-county-is-the-latest-arizona-government-to-set-up-data-center-zoning-rules,tracker_coded,published,
body-977e63e74ad1,body,AZ,04013,Maricopa County,City of Chandler,,,City council,city_council,,governing_body_action,governing_body_action,,,,defeated,zoning_restriction,,2025-12-12,"City Council voted 7-0 on December 12, 2025 to reject Active Infrastructure's $2.5B, 150 MW AI data center proposal on 40 acres near Queen Creek and Dobson roads. The city received over 250 emails in opposition and only 10 in support. City planning staff said ",https://www.phoenixnewtimes.com/news/chandler-city-council-unanimously-kills-sinema-backed-data-center-40628102/,tracker_coded,published,
body-8165d74febdc,body,AZ,04019,Pima County,Pima County (CUP zoning amendment),,,County commission,county_commission,,governing_body_action,governing_body_action,,,,approved,zoning_restriction; lawsuit,,2025-12-16,"The Pima County Board of Supervisors approved Project Blue's CUP zoning amendment and the sale of 290 acres for nearly $21M to Beale Infrastructure on Christmas Eve 2025, despite significant community opposition. Project Blue (originally rejected by Tucson and",https://www.kgun9.com/news/community-inspired-journalism/marana/maranas-data-center-ordinance,tracker_coded,published,
body-173d4904c7e3,body,AZ,,,Arizona (SB 1463 tax repeal),,,State legislature,state_legislature,,governing_body_action,governing_body_action,,,,dead,legislation,,2026-01-01,"Arizona SB 1463 (Sen. Priya Sundareshan, D - Senate Minority Leader) would repeal the state's transaction privilege and use tax exemption for qualifying large data centers. Gov. Katie Hobbs called for the repeal in her January 2026 State of the State address —",https://www.datacenterdynamics.com/en/news/legislation-introduced-to-end-data-center-tax-breaks-in-maryland-and-arizona/,tracker_coded,published,county_unresolved
body-88cdd79a1deb,body,AZ,04021,Pinal County,Pinal County,,,County commission,county_commission,,governing_body_action,governing_body_action,,,,approved,public_comment,,2026-01-14,"Despite community opposition from RAZE and the Ak-Chin Indian Community, Pinal County, Arizona, approved three major data center projects in November 2025 totaling ~3,900 acres, including the $33 billion Vermaland 'La Osa' project near Eloy. On April 16, 2026,",https://www.datacenterdynamics.com/en/news/land-developer-vermaland-plans-33bn-data-center-in-arizona/,tracker_coded,published,
body-7ebe6e551d14,body,AZ,,,Arizona (HB 2631 tax repeal),,,Governor,governor,,governing_body_action,governing_body_action,,,,dead,legislation,,2026-02-01,Governor Katie Hobbs called for repealing data center tax incentives which cost Arizona approximately $38.5 million per year. The bill would end the transaction privilege and use tax exemption for large data centers. Part of a broader national trend of states ,https://www.azleg.gov/legtext/57leg/2R/bills/HB2631P.htm,tracker_coded,published,county_unresolved
vote-c06655faf08b,state,AZ,,,AZ legislature,Aaron Márquez,ocd-person/c6a181c7-b58e-4c2a-aa2d-9ca31fc6548f,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-10bf0c36622f,state,AZ,,,AZ legislature,Alexander Kolodin,ocd-person/102ffcb1-3028-401f-b74f-6f45db25e05e,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-43f2ebf1f8ae,state,AZ,,,AZ legislature,Alma Hernandez,ocd-person/6dba6afa-b274-4273-b8c6-270d27214eee,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-0820d9a70050,state,AZ,,,AZ legislature,Anna Abeytia,ocd-person/2e9c0206-d392-48a3-a599-7f6d226527b7,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-d5d49d56441e,state,AZ,,,AZ legislature,Betty J Villegas,ocd-person/81d12f3a-b635-4111-be8d-a71d2f7565f2,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-9eb352eaf8e5,state,AZ,,,AZ legislature,Beverly Pingerelli,ocd-person/77be0e97-4c93-4332-a9f9-9348560fdf98,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-20e4c7e324c0,state,AZ,,,AZ legislature,Brian Garcia,ocd-person/c13f449f-0423-4ad5-836b-69913aad6600,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-d707747b41c8,state,AZ,,,AZ legislature,Cesar Aguilar,ocd-person/b1da595a-8c97-42f8-ae58-694c17efa3f3,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-29cbde5a54fd,state,AZ,,,AZ legislature,Chris Lopez,ocd-person/9128a4e7-1464-483c-8642-0d878da05619,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-42f265290e38,state,AZ,,,AZ legislature,Christopher Mathis,ocd-person/b2ed48a3-b9ae-42be-a2c8-22a47477acfd,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-53a32f1c00d4,state,AZ,,,AZ legislature,Consuelo Hernandez,ocd-person/0a4e4b0a-a16e-475b-8aa1-75088657d8c1,State legislator,legislator,,did_not_vote,roll_call_vote,AZ:HB 2452,HB 2452,other,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,
vote-757490b784bd,state,AZ,,,AZ legislature,David Livingston,ocd-person/6e8f2c0d-c9d3-4cb5-ae59-5264cb6d61a7,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-43f44dbd7b5a,state,AZ,,,AZ legislature,"David Marshall, Sr.",ocd-person/8bc6f450-7fc4-4258-bf5a-86465e85b9fb,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-dd0e5f66f4ad,state,AZ,,,AZ legislature,Elda Luna-Nájera,ocd-person/93db82ca-c8b1-43e4-98ce-ba52f4d0f635,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-f38870c1a7b3,state,AZ,,,AZ legislature,Gail Griffin,ocd-person/1e39adcf-868d-4722-a07b-09fcd36ad9ed,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-abba89ef4b19,state,AZ,,,AZ legislature,James Taylor,ocd-person/70f55f83-fed8-497f-86a9-94b6d428b9b4,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-a9af05da4256,state,AZ,,,AZ legislature,Janeen Connolly,ocd-person/acfd8972-7a82-41f3-9fd7-0993cfa7365c,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-cc8ae232fa27,state,AZ,,,AZ legislature,Jeff Weninger,ocd-person/de8a5959-6572-44a9-bea5-ed73c27dd0ce,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-e96aa5119994,state,AZ,,,AZ legislature,John Gillette,ocd-person/fd68e4c2-0463-477c-81ea-e2e36273e12b,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-d9344e5143c1,state,AZ,,,AZ legislature,Joseph Chaplik,ocd-person/2cfee9f0-0fab-418e-b14e-0e001a1414fa,State legislator,legislator,,did_not_vote,roll_call_vote,AZ:HB 2452,HB 2452,other,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,
vote-4baacce89771,state,AZ,,,AZ legislature,Julie Willoughby,ocd-person/d19ab410-5bc3-4160-b279-765e25d959ab,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-15a29f0ea84e,state,AZ,,,AZ legislature,Junelle Cavero,ocd-person/94895484-6eda-42d7-823b-a4eab17071e8,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-4bf9cfb04a5a,state,AZ,,,AZ legislature,Justin Olson,ocd-person/448cb969-a498-4826-ad1e-c443fe9b8057,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-32767a880503,state,AZ,,,AZ legislature,Justin Wilmeth,ocd-person/2706e746-45b7-4586-8d06-8b80e99d3869,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-b53945cca3ee,state,AZ,,,AZ legislature,Kevin Volk,ocd-person/183af2d0-dd61-476d-873f-305ae591968f,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-3c8bd5e09ec2,state,AZ,,,AZ legislature,Khyl Powell,ocd-person/bd3fb0ce-720a-4137-bd45-87fb6bcf8649,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-869bda707bd7,state,AZ,,,AZ legislature,Laurin Hendrix,ocd-person/45d0b998-57ed-4c6f-ae22-bdbc4262f3e3,State legislator,legislator,,did_not_vote,roll_call_vote,AZ:HB 2452,HB 2452,other,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,
vote-dfb153665508,state,AZ,,,AZ legislature,Leo Biasiucci,ocd-person/433aab5d-35be-48cc-80a9-f468d5279022,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-2b03be5d89f4,state,AZ,,,AZ legislature,Lisa Fink,ocd-person/981d0aee-d239-4acc-9da8-1332481e57ee,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-3210f2d4241c,state,AZ,,,AZ legislature,Lorena Austin,ocd-person/90a36fec-df56-4f22-bf16-790866d5b227,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-74c4b8639662,state,AZ,,,AZ legislature,Lupe Contreras,ocd-person/095a6754-d7ca-4f1f-b562-974d92e7eb3c,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-a9a0694ecfb4,state,AZ,,,AZ legislature,Lupe Diaz,ocd-person/bc52f516-a13b-4490-a12c-7b98fa3969e5,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-58345b35f927,state,AZ,,,AZ legislature,Lydia Hernandez,ocd-person/7a33e2bd-8394-45d9-967b-0c39430ff39b,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-930a4a861287,state,AZ,,,AZ legislature,Mae Peshlakai,ocd-person/bcc217f5-fe08-4213-b8a5-78d1e4d64184,State legislator,legislator,,did_not_vote,roll_call_vote,AZ:HB 2452,HB 2452,other,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,
vote-a96dcd2cd968,state,AZ,,,AZ legislature,Mariana Sandoval,ocd-person/3b6fa6b2-0a60-4f2e-9fd8-0882b04d9e0b,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-958326d41888,state,AZ,,,AZ legislature,Matt Gress,ocd-person/bfb503ce-dcb1-444b-9484-8a90e73c6a6f,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-e8f3a18c863e,state,AZ,,,AZ legislature,Michael Carbone,ocd-person/8db06598-a7e1-4b25-9e76-6a2be0d9eae3,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-b5f4499977f0,state,AZ,,,AZ legislature,Michael Way,ocd-person/555adc5f-cc3a-46b1-a00b-8fb209bc457e,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-e3caf31b0034,state,AZ,,,AZ legislature,Michele Peña,ocd-person/68c38dfc-a12b-4c51-8b70-c4e02931cddf,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,yes,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-a8bd18b9137c,state,AZ,,,AZ legislature,Myron Tsosie,ocd-person/a437a3ce-e3ba-44ec-af75-3308e70f5a87,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
vote-b651ffeb521e,state,AZ,,,AZ legislature,Nancy Gutierrez,ocd-person/f9216229-6490-412d-aa30-8baac5c2be3e,State legislator,legislator,,recorded_vote_no_direction,roll_call_vote,AZ:HB 2452,HB 2452,no,fail,failed to pass,lower,2026-02-25,,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,recorded_only,published,direction_not_established
