incident,state,date,near_block,block_date
Vineland,NJ,2025-12-23,Conshohocken / Plymouth Township,2025-10-01
Van Buren Township,MI,2026-06-17,Northville,2026-01-06
Luther,OK,2026-06-17,Oklahoma City,2026-04-22
Limerick Township (Linfield),PA,2026-01-01,Conshohocken / Plymouth Township,2025-10-01
Georgia (statewide),GA,2026-02-09,Griffin (Spalding County),2026-01-13
Virginia (statewide),VA,2026-04-16,Charles City County,2025-08-01
Virginia (SB 619 / HB 155),VA,2026-01-01,Charles City County,2025-08-01
Wood County (Bowling Green area),OH,2026-01-06,Middleton Township,2025-04-01
Henry County,GA,2026-01-06,Social Circle,2025-09-18
Springfield Township,MI,2026-01-07,Northville,2026-01-06
Nevada (Greenlink West),NV,2026-01-12,Reno,2025-01-22
Saline Township,MI,2026-01-12,Northville,2026-01-06
Roswell,GA,2026-01-12,Social Circle,2025-09-18
Village of Greenleaf,WI,2026-01-13,Town of Carlton,2025-12-01
Armada Township,MI,2026-01-14,Northville,2026-01-06
Spalding County,GA,2026-01-22,Griffin (Spalding County),2026-01-13
Georgia (statewide HB 1012),GA,2026-01-16,Griffin (Spalding County),2026-01-13
South Whitehall Township,PA,2026-01-20,Conshohocken / Plymouth Township,2025-10-01
City of Pontiac,MI,2026-01-21,Northville,2026-01-06
Grand Blanc Township,MI,2026-01-21,Northville,2026-01-06
Sylvan Township,MI,2026-01-22,Northville,2026-01-06
Lisle,IL,2026-03-12,Barrington Hills,2026-01-29
Village of Romeo,MI,2026-01-26,Northville,2026-01-06
Indiana (statewide),IN,2026-01-27,Hancock County,2025-06-01
Fayetteville,GA,2026-01-27,Griffin (Spalding County),2026-01-13
Hanover County,VA,2026-01-28,Charles City County,2025-08-01
Henry County (Knightstown),IN,2026-01-28,Hancock County,2025-06-01
Barrington Hills,IL,2026-01-29,Village of Yorkville,2025-12-08
Champaign County,OH,2026-03-03,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Allen Park,MI,2026-02-01,Northville,2026-01-06
Vienna Township,OH,2026-02-01,Perry Township,2025-07-01
Solon Township,MI,2026-02-01,Big Rapids Township,2025-12-01
Virginia (statewide HB 1515 moratorium),VA,2026-02-01,Charles City County,2025-08-01
Saugatuck Township,MI,2026-02-01,Zeeland Township,2026-01-01
Maumee,OH,2026-02-02,Middleton Township,2025-04-01
Ashville (Pickaway County),OH,2026-02-02,Ashville,2025-12-20
Lenox Township,MI,2026-02-02,Northville,2026-01-06
Hancock County (Hawesville),KY,2026-02-02,Meade County (moratorium),2026-01-13
City of Mason,MI,2026-02-03,Northville,2026-01-06
Village of DeForest,WI,2026-02-03,City of Madison,2026-01-13
Sterling Heights,MI,2026-02-03,Northville,2026-01-06
Lodi Township,MI,2026-02-03,Northville,2026-01-06
New Castle County,DE,2026-02-04,Conshohocken / Plymouth Township,2025-10-01
Pike Township (Indianapolis withdrawal),IN,2026-02-02,Hancock County,2025-06-01
Muhlenberg Township,OH,2026-02-06,Ashville (Pickaway County),2026-02-02
Illinois (statewide),IL,2026-06-05,Sangamon County,2026-02-01
Cassville,WI,2026-02-09,Clayton County,2025-02-25
Hood County,TX,2026-02-10,Hood County (Tolar / Comanche Circle),2026-01-13
City of Oregon,OH,2026-02-10,Middleton Township,2025-04-01
Hayes Township,MI,2026-02-10,Kalkaska County,2025-11-01
City of South Lyon,MI,2026-02-10,Northville,2026-01-06
Erie Township,MI,2026-02-10,Northville,2026-01-06
Virginia (statewide SB 253 rate shift),VA,2026-02-10,Charles City County,2025-08-01
New Hampshire (statewide),NH,2026-02-11,New Hampshire (SB 439 municipal zoning),2026-01-29
Wisconsin (statewide PSC rate hearing),WI,2026-02-11,City of Madison,2026-01-13
Blanchester,OH,2026-02-12,Preble County,2025-10-01
Martindale-Brightwood (Indianapolis),IN,2026-02-12,Hancock County,2025-06-01
Wisconsin (statewide moratorium bill),WI,2026-02-12,City of Madison,2026-01-13
York Township,MI,2026-02-12,Northville,2026-01-06
Ohio (statewide),OH,2026-02-17,Ashville (Pickaway County),2026-02-02
City of Eagan,MN,2026-02-17,Hampton,2025-08-01
Lowndes County,GA,2026-02-17,Thomas County,2026-01-20
Richfield Township,OH,2026-02-17,Middleton Township,2025-04-01
Ann Arbor Township,MI,2026-02-17,Northville,2026-01-06
Monclova Township,OH,2026-02-18,Middleton Township,2025-04-01
Illinois (Tax Incentive Suspension),IL,2026-02-19,Sangamon County,2026-02-01
Iowa (statewide),IA,2026-02-19,Clarke County,2025-06-23
Aurora,IL,2026-02-19,Barrington Hills,2026-01-29
Manitowoc County (Three Towns Resolution),WI,2026-02-20,Town of Carlton,2025-12-01
North Coventry Township,PA,2026-02-23,Conshohocken / Plymouth Township,2025-10-01
Sunbury,OH,2026-04-15,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Cobb County,GA,2026-02-24,Gordon County,2026-02-04
Franklin County,IN,2026-02-24,Hancock County,2025-06-01
Indiana (statewide rally/moratorium push),IN,2026-02-24,Hancock County,2025-06-01
West Rockhill Township (Bucks County),PA,2026-04-15,Conshohocken / Plymouth Township,2025-10-01
East Rockhill Township (Bucks County),PA,2026-02-24,Conshohocken / Plymouth Township,2025-10-01
Hilliard,OH,2026-02-24,Ashville (Pickaway County),2026-02-02
City of Portage,MI,2026-02-25,Zeeland Township,2026-01-01
Phillipsburg,NJ,2026-02-25,Conshohocken / Plymouth Township,2025-10-01
Dearborn County,IN,2026-02-25,Preble County,2025-10-01
City of Kings Mountain,NC,2026-02-26,Matthews,2025-09-01
Michigan (statewide),MI,2026-07-15,Dexter Township,2026-02-01
Upper Macungie Township,PA,2026-02-26,Conshohocken / Plymouth Township,2025-10-01
East Whiteland Township (Curative Amendment),PA,2026-02-26,Conshohocken / Plymouth Township,2025-10-01
Hall County,GA,2026-02-26,Social Circle,2025-09-18
Bartow County,GA,2026-03-01,Gordon County,2026-02-04
Fulton County,IN,2026-03-03,Starke County,2025-12-04
Lyon Township,MI,2026-03-03,Northville,2026-01-06
City of Ypsilanti,MI,2026-03-03,Northville,2026-01-06
Urbana,OH,2026-06-17,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Louisville (Shively),KY,2026-03-05,Meade County (moratorium),2026-01-13
Georgia (SB 410),GA,2026-03-06,Griffin (Spalding County),2026-01-13
Fauquier County (Gigaland),VA,2026-07-16,"Montgomery County (Executive Elrich 6-month data center moratorium EO), MD",2026-06-13
Fauquier County (Catlett Station),VA,2024-07-15,Prince William County,2024-01-12
Orange County,NC,2026-04-21,Town of Apex,2026-03-10
Bosque County (Whitney),TX,2026-01-14,Hood County (Tolar / Comanche Circle),2026-01-13
Sprigg Township (Adams County),OH,2026-03-02,Mt. Orab,2026-02-04
Scioto Township (Pickaway County),OH,2026-03-06,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Cincinnati,OH,2026-02-06,Preble County,2025-10-01
Lima / Allen County,OH,2026-03-07,Champaign County,2026-03-03
Dexter Township,MI,2026-02-01,Northville,2026-01-06
Lansing,MI,2026-04-06,Dexter Township,2026-02-01
East Windsor,NJ,2025-11-25,Conshohocken / Plymouth Township,2025-10-01
New Jersey (S3379),NJ,2026-02-12,Conshohocken / Plymouth Township,2025-10-01
Forsyth (Monroe County),GA,2026-02-03,Griffin (Spalding County),2026-01-13
Florida (HB 1007),FL,2026-02-25,Thomas County,2026-01-20
Indiana (HB 1210 community payments),IN,2026-01-27,Hancock County,2025-06-01
Ohio (HB 646 study commission),OH,2026-06-11,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Cascade Township,MI,2026-02-26,City of Portage,2026-02-25
Gaines Charter Township,MI,2026-03-03,City of Portage,2026-02-25
Newton County (moratorium),GA,2026-01-20,Griffin (Spalding County),2026-01-13
Georgia (HB 559 tax exemption sunset),GA,2026-02-01,Griffin (Spalding County),2026-01-13
Georgia (SB 408 tax exemption sunset),GA,2026-02-01,Griffin (Spalding County),2026-01-13
Florida (HB 1517 transparency act),FL,2026-02-01,Thomas County,2026-01-20
Ohio (tax exemption veto override effort),OH,2026-03-01,Ashville (Pickaway County),2026-02-02
New Jersey (S731/A796 Large Load Tariff),NJ,2026-02-12,Conshohocken / Plymouth Township,2025-10-01
New Jersey,NJ,2026-01-20,Conshohocken / Plymouth Township,2025-10-01
Montana,MT,2026-03-11,Montana (SB 212),2025-04-17
New Castle County,DE,2026-03-11,Conshohocken / Plymouth Township,2025-10-01
East Windsor,NJ,2026-03-09,Conshohocken / Plymouth Township,2025-10-01
Hanover County,VA,2026-05-28,Charles City County,2025-08-01
Wise County,VA,2026-02-25,City of Bristol,2025-10-07
Vermont,VT,2026-05-29,Royalton,2026-03-03
Sanford,ME,2026-02-13,New Hampshire (SB 439 municipal zoning),2026-01-29
Butts County,GA,2025-12-01,Social Circle,2025-09-18
Florida,FL,2026-03-13,Thomas County,2026-01-20
Monticello,MN,2026-03-09,Minnesota (statewide moratorium proposal),2026-02-20
Troy,IL,2026-03-12,Pacific,2026-02-25
Chicago South Loop,IL,2026-02-17,Barrington Hills,2026-01-29
Yorkville,IL,2026-03-11,Barrington Hills,2026-01-29
Sprigg Township,OH,2026-02-24,Mt. Orab,2026-02-04
Ashville,OH,2025-12-20,Washington Township,2025-12-08
Wisconsin,WI,2026-02-18,City of Madison,2026-01-13
Tulsa,OK,2026-03-26,Coweta,2026-01-19
Virginia (HB 784),VA,2026-01-08,Charles City County,2025-08-01
Virginia (SB 393),VA,2026-01-08,Charles City County,2025-08-01
Virginia (HB 503),VA,2026-01-08,Charles City County,2025-08-01
Illinois (SB 2182),IL,2026-02-11,Sangamon County,2026-02-01
Henrico County (Darbytown/Varina),VA,2026-02-27,Charles City County,2025-08-01
Chesterfield County (WestDulles appeal),VA,2026-01-01,Charles City County,2025-08-01
Powhatan County (Province Group expansion),VA,2025-10-29,Charles City County,2025-08-01
Prince William County (Ashton/Amazon),VA,2025-01-08,Fauquier County (Catlett Station),2024-07-15
Virginia (budget tax exemption fight),VA,2026-02-24,Charles City County,2025-08-01
Iron County,UT,2026-06-04,"Iron County (180-day moratorium on new data center / power-plant applications), UT",2026-05-26
Falls Township,PA,2026-02-20,Conshohocken / Plymouth Township,2025-10-01
Newark,DE,2026-01-30,Conshohocken / Plymouth Township,2025-10-01
Grant County,IN,2026-03-02,Hancock County,2025-06-01
Lake County,IN,2026-02-18,Starke County,2025-12-04
Ohio,OH,2026-02-05,Ashville (Pickaway County),2026-02-02
Faribault,MN,2026-02-15,Hampton,2025-08-01
Iowa,IA,2026-02-01,Clarke County,2025-06-23
Reno (Stead),NV,2025-03-12,Reno,2025-01-22
Lowell,MA,2026-03-11,New Hampshire (SB 439 municipal zoning),2026-01-29
Gibraltar,MI,2026-03-09,Northville,2026-01-06
Frankfort,IL,2026-03-11,Barrington Hills,2026-01-29
St. Albans Township,OH,2026-03-10,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Two Creeks,WI,2026-02-01,Town of Carlton,2025-12-01
Two Rivers,WI,2026-02-01,Town of Carlton,2025-12-01
Mishicot,WI,2026-02-01,Town of Carlton,2025-12-01
Janesville (Referendum),WI,2026-02-09,City of Madison,2026-01-13
Bessemer (900-acre expansion),AL,2026-04-21,Birmingham,2026-03-03
Forsyth County,GA,2025-10-01,Social Circle,2025-09-18
Covington,GA,2026-01-05,Social Circle,2025-09-18
Newton County,GA,2025-11-01,Social Circle,2025-09-18
Prince William County (Digital Gateway voided),VA,2026-07-02,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Town of Beloit,WI,2026-03-12,City of Madison,2026-01-13
Virginia (budget/tax exemption stalemate),VA,2026-06-22,Charles City County,2025-08-01
Central Virginia (Valley Link 765kV line),VA,2026-02-19,Fluvanna County,2025-11-19
Chesterfield County (Dominion gas plant),VA,2025-11-25,Charles City County,2025-08-01
Virginia (DEQ diesel generator guidance),VA,2025-12-17,Charles City County,2025-08-01
Minnesota (Statewide),MN,2026-03-12,Minnesota (statewide moratorium proposal),2026-02-20
Washington Township (Macomb County),MI,2026-03-11,Northville,2026-01-06
Olyphant Borough,PA,2026-04-14,Archbald Borough,2026-03-27
Frenchtown Township,MI,2025-11-17,Middleton Township,2025-04-01
Wilmington (Ardent/TAC),OH,2026-02-20,Preble County,2025-10-01
Brown County (statewide constitutional petition),OH,2026-03-01,Mt. Orab,2026-02-04
Lee County,NC,2026-03-16,Town of Apex,2026-03-10
New Kent County,VA,2026-02-17,Charles City County,2025-08-01
Virginia (HB 507),VA,2026-03-01,Charles City County,2025-08-01
Virginia (SB 94 / HB 153 siting),VA,2026-02-01,Charles City County,2025-08-01
Virginia (SB 553 water disclosure),VA,2026-02-01,Charles City County,2025-08-01
Franklin County (county-wide regulations),MO,2026-03-17,Pacific,2026-02-25
New Jersey (A6181 NDA ban),NJ,2026-02-01,Conshohocken / Plymouth Township,2025-10-01
Montana (statewide demand),MT,2026-01-01,Montana (SB 212),2025-04-17
East Lansing,MI,2026-03-17,Ann Arbor Township,2026-02-17
Detroit,MI,2026-03-10,Northville,2026-01-06
Appomattox County,VA,2026-03-24,Fluvanna County,2025-11-19
Strasburg,VA,2025-03-01,Fauquier County (Catlett Station),2024-07-15
Clinton County (Frankfort),IN,2025-12-01,Franklin Township (Indianapolis),2025-09-22
LaPorte County,IN,2026-04-13,Starke County,2025-12-04
Shelby County (Shelbyville),IN,2026-01-01,Hancock County,2025-06-01
Miami County (Piqua),OH,2025-11-01,Preble County,2025-10-01
Sandusky County (Woodville Township),OH,2025-10-01,Middleton Township,2025-04-01
Crawford County,GA,2026-01-06,Jones County,2025-10-22
Paulding County,GA,2025-12-01,Forsyth County,2025-10-01
Town of Boone,NC,2026-03-23,City of Bristol,2025-10-07
Washington County,TN,2026-03-23,City of Bristol,2025-10-07
Plymouth Township,PA,2025-11-17,Conshohocken / Plymouth Township,2025-10-01
Yorkville,IL,2026-03-24,Lisle,2026-03-12
Monroe Township (Adams County),OH,2026-03-09,Mt. Orab,2026-02-04
Rowan County,NC,2026-03-17,Matthews,2025-09-01
Chesterfield County,VA,2026-03-09,Charles City County,2025-08-01
Watauga County,NC,2026-03-24,City of Bristol,2025-10-07
Apple Valley,MN,2026-03-18,Minnesota (statewide moratorium proposal),2026-02-20
City of Fayetteville,GA,2026-03-18,Griffin (Spalding County),2026-01-13
City of Festus,MO,2026-04-10,Pacific,2026-02-25
City of Port Washington,WI,2026-04-07,Village of Yorkville,2025-12-08
Rowan County (Duke Energy hearing),NC,2026-03-25,Matthews,2025-09-01
Pemberton Township,NJ,2026-02-20,Conshohocken / Plymouth Township,2025-10-01
Huron County,MI,2026-04-01,Elmwood Township,2026-02-18
Georgia (2026 Legislative Session Failure),GA,2026-04-03,Griffin (Spalding County),2026-01-13
Habersham County (Cornelia / Big Red Apple),GA,2025-12-01,Forsyth County,2025-10-01
Fort Worth (Veale Ranch),TX,2026-03-31,Hood County (Tolar / Comanche Circle),2026-01-13
Nevada (statewide interim study),NV,2026-03-25,Reno (StoneGate Rezoning),2025-05-21
Plain Township,OH,2026-03-27,Norton,2025-11-03
Manitowoc County,WI,2026-03-31,Town of Carlton,2025-12-01
Gage County,NE,2026-06-16,Otoe County,2026-05-19
Massillon,OH,2026-03-31,Norton,2025-11-03
Minnesota (statewide),MN,2026-03-04,Minnesota (statewide moratorium proposal),2026-02-20
Ohio (statewide ballot initiative),OH,2026-04-03,Commercial Point / Scioto Township (Pickaway County),2026-03-01
United States (DOE/LBNL Report),US,2024-12-20,Fauquier County (Catlett Station),2024-07-15
New Jersey (S680 clean energy requirement),NJ,2026-01-13,Conshohocken / Plymouth Township,2025-10-01
Montgomery Township,PA,2026-03-23,Conshohocken / Plymouth Township,2025-10-01
Jenkins Township,PA,2026-03-31,Archbald Borough,2026-03-27
Delaware (Coastal Zone Appeal),DE,2026-03-26,Conshohocken / Plymouth Township,2025-10-01
New Jersey (A796 Assembly passage),NJ,2026-03-23,Conshohocken / Plymouth Township,2025-10-01
Phillipsburg (data center ban),NJ,2026-03-26,Conshohocken / Plymouth Township,2025-10-01
Yorkville,IL,2026-04-01,Lisle,2026-03-12
Hancock County,IN,2026-03-29,Hancock County,2025-06-01
Indianapolis (Department of Metropolitan Development / City-County Council),IN,2026-04-23,Hancock County,2025-06-01
City of Carver,MN,2026-04-06,Minnesota (statewide moratorium proposal),2026-02-20
Michigan (statewide rallies),MI,2026-04-11,Dexter Township,2026-02-01
Brentwood,MO,2026-04-06,Pacific,2026-02-25
Northfield,MN,2026-04-08,Minnesota (statewide moratorium proposal),2026-02-20
Pike County,OH,2026-04-21,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Texas (statewide),TX,2026-06-10,Hutto,2026-04-17
York County,VA,2026-04-08,Charles City County,2025-08-01
Swain County,NC,2026-04-01,Clay County data center ban,2026-01-08
Town of Clyde,NC,2026-04-16,Swain County,2026-04-01
East Greenwich Township,NJ,2026-04-21,Conshohocken / Plymouth Township,2025-10-01
Pennsylvania (statewide),PA,2026-06-18,Mount Carmel Township,2026-05-14
Lowhill Township,PA,2026-04-08,Conshohocken / Plymouth Township,2025-10-01
Montgomery County,MD,2026-07-28,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Ravenna,OH,2026-04-10,Perry Township,2025-07-01
Shawnee Township (Allen County),OH,2026-04-13,Champaign County,2026-03-03
Botkins,OH,2026-04-14,Champaign County,2026-03-03
New Buffalo Township,MI,2026-04-08,Starke County,2025-12-04
Detroit (zoning working group),MI,2026-04-14,Northville,2026-01-06
Village of Caledonia (trustee election),WI,2026-04-07,Village of Yorkville,2025-12-08
Cameron County (resolution on unregulated data centers),TX,2026-04-07,Harlingen,2026-02-26
Southaven (NAACP federal Clean Air Act lawsuit),MS,2026-06-15,Memphis (xAI Colossus Water Recycle Plant indefinite pause),2026-04-09
Rowan County,NC,2026-04-21,Matthews,2025-09-01
Clay Township (Highland County),OH,2026-04-20,Mt. Orab,2026-02-04
City of Sanford,NC,2026-04-22,Orange County,2026-04-21
Nassau County,FL,2026-06-08,Glynn County Board of Commissioners,2026-04-16
Multistate (PJM coalition),VA,2026-04-13,Charles City County,2025-08-01
Upper Gwynedd Township,PA,2026-04-13,Conshohocken / Plymouth Township,2025-10-01
Ypsilanti Community Utilities Authority (YCUA),MI,2026-04-22,Northville,2026-01-06
Mansfield,OH,2026-04-21,Norton,2025-11-03
Washington Township (Montgomery County),OH,2026-04-21,Preble County,2025-10-01
Findlay,OH,2026-04-21,Shawnee Township (Allen County),2026-04-13
Dayton,OH,2026-04-14,Preble County,2025-10-01
Vandalia,OH,2026-04-22,Preble County,2025-10-01
Plainfield,IL,2026-04-21,Lisle,2026-03-12
Wisconsin DNR (Port Washington Vantage/Stargate),WI,2026-06-12,Village of Yorkville,2025-12-08
Reno (Title 18 text amendment),NV,2026-04-22,Reno (StoneGate Rezoning),2025-05-21
Stafford County Planning Commission,VA,2026-07-07,Hanover County,2026-01-28
Tredyffrin Township,PA,2026-04-21,Conshohocken / Plymouth Township,2025-10-01
Saline Township Planning Commission,MI,2025-08-12,Middleton Township,2025-04-01
Saline Township Board (rezoning denial),MI,2025-09-10,Middleton Township,2025-04-01
Saline Township (consent judgment with Related Digital),MI,2025-10-15,Middleton Township,2025-04-01
Michigan EGLE (Saline data-center wetlands public hearing),MI,2025-12-19,Middleton Township,2025-04-01
Saline Township Board (I-1 to A-1 rescission),MI,2026-01-28,Northville,2026-01-06
Washtenaw County Circuit Court (Haushalter intervention denied),MI,2026-02-20,Northville,2026-01-06
Michigan Legislature (HB 5594-5596 data-center moratorium),MI,2026-03-03,Dexter Township,2026-02-01
Michigan House Oversight Subcommittee (data-center investigation hearing),MI,2026-04-22,Dexter Township,2026-02-01
Michigan Public Service Commission (DTE $474M rate-hike filing with data-center pause pledge),MI,2026-04-24,Dexter Township,2026-02-01
Port Washington Plan Commission (TID No. 5 boundaries / project plan),WI,2025-10-16,Village of Caledonia,2025-10-09
Port Washington Common Council & Joint Review Board (TID No. 5 creation),WI,2025-11-04,Village of Caledonia,2025-10-09
Wisconsin Public Service Commission (ATC Ozaukee County Distribution Interconnection),WI,2025-10-18,Village of Caledonia,2025-10-09
Washington County and Ozaukee County Boards of Supervisors (transmission-route resolutions),WI,2025-11-19,Village of Caledonia,2025-10-09
Port Washington Common Council (GLNU council-meeting arrests),WI,2025-12-02,Village of Caledonia,2025-10-09
Wisconsin DNR (Port Washington Vantage stormwater permit),WI,2025-12-11,Village of Yorkville,2025-12-08
Ozaukee County District Attorney (GLNU Open Meetings Law complaint),WI,2026-02-23,Village of Yorkville,2025-12-08
City of Port Washington (recall of Mayor Ted Neitzke),WI,2026-02-16,Village of Yorkville,2025-12-08
Ozaukee County Circuit Court (MMAC injunction denial),WI,2026-02-23,Village of Yorkville,2025-12-08
Port Washington Plan Commission (Lighthouse construction-hours limits),WI,2026-03-25,Village of Yorkville,2025-12-08
Wisconsin Public Service Commission (data-center tariff public hearing),WI,2026-02-10,City of Madison,2026-01-13
Village of Mount Pleasant Village Board (Microsoft 15-building site-plan approval),WI,2026-01-26,Village of Yorkville,2025-12-08
Indianapolis City-County Council,IN,2026-04-21,Hancock County,2025-06-01
Niles,OH,2026-04-20,Perry Township,2025-07-01
Harnett County,NC,2026-04-21,Town of Apex,2026-03-10
Cumberland County,NC,2026-06-15,Town of Apex,2026-03-10
Charlotte,NC,2026-04-23,Matthews,2025-09-01
"Van Wert City Council, OH",OH,2026-05-11,Shawnee Township (Allen County),2026-04-13
"Twinsburg City Council, OH",OH,2026-05-05,Perry Township,2025-07-01
"Lordstown Village Council, OH",OH,2026-06-16,Perry Township,2025-07-01
Save Ohio Parks (statewide advocacy),OH,2026-05-11,Commercial Point / Scioto Township (Pickaway County),2026-03-01
"Indianapolis City-County Council (Metrobloks Martindale-Brightwood rezoning), IN",IN,2026-05-04,Hancock County,2025-06-01
"Marion County Superior Court (Hoosier Environmental Council / Protect Martindale-Brightwood v. Metrobloks et al.), IN",IN,2026-05-12,Hancock County,2025-06-01
"Boone County Area Plan Commission (moratorium recommendation), IN",IN,2026-06-15,Franklin Township (Indianapolis),2025-09-22
"Illinois General Assembly (POWER Act SB 4016, Sen. Rose SB 4004 Mahomet Aquifer moratorium, Pritzker tax-credit pause)",IL,2026-05-01,Sangamon County,2026-02-01
"Penn Township Board (Cass County), MI",MI,2026-05-11,Marshall County,2026-04-20
"Lyon Township (Oakland County) trustee recall campaign over Verrus Project Flex, MI",MI,2026-04-27,Northville,2026-01-06
"Saline Township (Washtenaw County) — OpenAI Stargate 'The Barn' construction-despite-rejection, MI",MI,2026-05-06,Northville,2026-01-06
"Wisconsin Public Service Commission (Alliant/Meta Beaver Dam contract approval), WI",WI,2026-05-07,City of Madison,2026-01-13
"Sheboygan Common Council, WI",WI,2026-05-04,Village of Greenleaf,2026-01-13
"Lonsdale City Council, MN",MN,2026-05-05,Minnesota (statewide moratorium proposal),2026-02-20
"Webster County / Marshfield (Lumon Solutions Tier III AI facility town hall), MO",MO,2026-05-11,"Camdenton Board of Aldermen, MO",2026-05-05
Missouri Legislature (data center hearings on risks/rewards and energy demand),MO,2026-05-07,"Camdenton Board of Aldermen, MO",2026-05-05
North Dakota (data center governance debate; Oliver County moratorium repeal May 1),ND,2026-05-11,Mercer County,2026-03-03
Oklahoma Legislature (HB 2992 Data Center Consumer Ratepayer Protection Act),OK,2026-05-05,Oklahoma City,2026-04-22
"Laramie County / Cheyenne (grassroots moratorium petition over up to 70 facilities including Microsoft 3,200-acre expansion), WY",WY,2026-05-04,Cheyenne (Microsoft expansion),2026-04-14
