id,name,type,phase,status,state,towns,counties,address,lat,lon,size_acres,capacity_mw,scale,date,lastUpdated,yearOpened,jobsConstruction,jobsLongTerm,jobsTotal,companies,zoningAllowance,landSold,bringingOwnEnergy,approx,locationTbd,moratoriumExempt,info,createdAt,updatedAt,outcome_detail
12,Project Leo,Data Center,proposed,,Arkansas,Little Rock,Pulaski County,Off 145th Street,34.61717176,-92.23704641,760,1000,2500,2026-1,2026-3-21,,1000,500,1500,AVAIO Digital Partners,unknown,unknown,unknown,True,True,False,"AVAIO Digital Group has announced a $6 billion data center hub outside Little Rock, supposedly off 145th Street. AVAIO is currently contracted with Entergy Arkansas for 150 MW of power, but they anticipate power demand of up to 1 GW as the facility grows. According to the announcement, construction of the first phase of the project is expected to start in the first quarter of 2026 and will be complete and energized in June 2027.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
13,Project Pyramid,Data Center,approved,,Arkansas,West Memphis,Crittenden County,Off Bollinger Road,35.10663917,-90.211937,580,,0,2025-10,2026-3-21,,,,,Google,TRUE,TRUE,TRUE,False,False,False,"Google is proposing a five building hyperscale data center campus on a 1,178-acre property representing a $4-10-billion investment. The data center campus will reportedly only take up around ~580 acres of the properties. The project received approval for a 30-year payment-in-lieu-of-taxes (PILOT) agreement. Simultaneously, Google plans to construct a 600 MW solar farm to power this proposal, and the Arkansas Public Service Commission’s approved a 350 MW energy storage system.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
14,Clarksville Data Center,Data Center,approved,,Arkansas,Clarksville,Johnson County,South of the Johnson Regional Medical Center,35.4541942,-93.44764012,135,,0,2025,2026-4-11,,,,,ServerFarm,TRUE,TRUE,unknown,False,False,False,"Serverfarm is building a $8 billion hyperscale data center on 135 acres near the Johnson Regional Medical Center. This campus would be composed of six 360,000-square-foot buildings, each at ~64 MW. ",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
15,Port of Little Rock Data Center,Data Center,proposed,,Arkansas,Sweet Home,Pulaski County,Located in unnamed tributaries and adjacent wetlands to Fourche Bayou,34.686928,-92.22558054,32.82828283,100,2500,2026-3,2026-4-11,,,,,Willowbend Capital LLC; Google,unknown,TRUE,unknown,True,True,False,"Google and Willowbend Capital, LLC are proposing a data center campus comprised of five 285,300-square-foot buildings, totaling ~1.43 million square feet in total. The project is expected to draw more than 100 MW of power. The proposal also includes two office/support buildings and an electrical substation/switching station covering around 20 acres.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
16,Vilonia Cryptomine,Data Center,withdrawn,,Arkansas,Vilonia,Faulkner County,Near the Entergy substation,35.09105679,-92.17104118,,,2000,Early 2025,2026-4-11,,,,,Interstate Holdings Blockchain; Steve Landers Jr.,FALSE,FALSE,FALSE,True,True,False,A proposal from Interstate Holdings Blockchain for a cryptomine was rejected and withdrawn near the Entergy substation in Vilonia.,2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
17,Millstone Nuclear Power Station Data Center,Data Center,proposed,,Connecticut,Waterford,New London County,On site of Millstone Nuclear Power Station,41.31039607,-72.16759273,34.435,300,0,2024,2026-2-9,,,,,NE Edge Data Centers; Dominion Energy,TRUE,TRUE,FALSE,False,False,False,"NE Edge Data Centers is proposing a data center complex on site of the Millstone Nuclear Power Station, allowing the developer to purchase and draw electricity directly from the plant, which would occupy less than 5% of Millstone’s 526-acre site. The proposal consists of an electric switchyard and two 2-story data center facilities spanning an area of roughly 1.5 million square feet.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
18,Wallingford Data Center,Zoning Change,preliminary,,Connecticut,Wallingford,New Haven County,Watershed Interchange District at 1181 Barnes Road,41.49793857,-72.79219892,,,0,2024,,,,,,Charter Development,TRUE,FALSE,unknown,False,False,False,"Charter Development, as Charter Development Group LLC, submitted an application to modify Wallingford's zoning for watershed interchange (WI) district zones to include data centers as a permitted use in 2024.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
19,Bloomfield Data Center Proposal,Data Center,proposed,,Connecticut,Bloomfield,Hartford County,132 Griffin Road North,41.88592351,-72.74415945,,,0,2025,2026-2-9,,,,,Atlas Capital Group / Gotspace Data LLC,FALSE,FALSE,unknown,False,False,False,"Atlas Capital Group is proposing a data center in Bloomfield that would feature a The project would include over 900,000 square feet of data processing space and a 127,000-square-foot substation. This project is anticipated to create ~40 jobs.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
20,Trumbull Data Center Investment,Zoning Change,proposed,,Connecticut,Trumbull,Fairfield County,80 Merritt Boulevard,41.24085718,-73.14738295,,,0,2025,2026-4-12,,,,,ogNOVUM / AC Trumbull LLC,FALSE,FALSE,unknown,False,False,False,"Not a new construction project, but a large reinvestment ($200M) into an existing data center facility to attract more capacity and AWS/AI tenants; supported by municipality via tax incentive program.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
21,Bristol Data Center,Data Center,proposed,,Connecticut,Bristol,Hartford County,"234 Riverside Avenue, on the former Dodge Village site",41.66989773,-72.93474147,,,0,2023,2026-4-25,,,,,GWDC Bristol LLC,TRUE,TRUE,TRUE,False,False,False,"GWDC Bristol LLC is proposing a 2-story data center and fuel cell at the former Dodge Village site, where the building sat vacant for about 15 years before being demolished in 2024. A developer from ReNew Developers LLC announced the project in 2023, planning a roughly $50 million investment in a 40,000 square foot facility powered by a fuel cell system with up to 4 MW of capacity. The fuel cell was approved by Connecticut's Siting Council in December 2022, with a construction extension granted in September 2025, and the data center will draw power through a dedicated Eversource gas feed. Bristol Mayor Ellen Zoppo-Sassu has framed the project as a brownfield redevelopment opportunity, noting the site drew no interest at auction and the water usage will be self-contained and recycled within the systems.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
22,Project Washington,Data Center,delayed,,Delaware,Delaware City,New Castle County,Off River Road,39.61185181,-75.6378833,580,1200,0,2025-06,2026-4-11,,,,,Starwood Digital Ventures,FALSE,FALSE,unknown,False,False,False,"In March 2026, a state board unanimously upheld a decision from the Environmental Secretary that this project violates the Coastal Zone Act as it is located too close to shorelines. It is delayed while the developer decides to escalate to higher courts or withdraw it. Starwood Digital Ventures has proposed a 1.2 GW, 6-million-square-foot hyperscale data center campus off River Road. This site, which requires zoning change prior to approval, would be comprised of 11 2-story buildings. As of February 2026, the project has been delayed after the Delaware Department of Natural Resources and Environmental Control (DNREC) deemed it not permitted under the Coastal Zone Act due to excessive diesal generator risks. The developer has 14 days to appeal this decision.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
23,"St. Georges Business Park Data Center Development  / ""Frightland Project""",Data Center,proposed,,Delaware,St. Georges,New Castle County,Near Port Penn Road; Frightland (Halloween-themed attraction),39.54430554,-75.64337652,1500,,0,2025-11,2026-2-6,,,,,Parkway Gravel,FALSE,TRUE,unknown,False,False,False,"Parkway Gravel Inc. is proposing the St. Georges Business Park in Middletown, just south of Port Penn Road. The complete project would redevelop nearly ~1500 acres and may require demolition of the Frightland Halloween attraction. Current exploratory plans call for approximately 3.24 million square feet of warehouse space across three large buildings. The southern portion of the property is planned as the Lighthouse Farms residential development, consisting of a mix of townhomes and single-family homes. The commercial buildings are planned as large warehouse facilities; data center use is not specified in the planning documents. The mapped area referenced represents only the northern portion of the overall parcel, where the warehouse buildings are proposed.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
24,White Clay Creek Business Park Data Center Redevelopment,Data Center,proposed,,Delaware,,New Castle County,"100 White Clay Creek Business Park, off Ogletown Road",39.68188899,-75.7238784,4.08,,0,2026,2026-2-6,,,,,Shelbourne,TRUE,TRUE,unknown,False,False,False,"Developers are proposing a redevelopment that would demolish seven existing buildings on a 44-acre site called White Clay Center Industrial Park to replace them with three light industrial buildings and a guard shack for use as a data center campus. Because the property lies outside Newark’s municipal boundaries, it will be reviewed through New Castle County’s development process.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
25,Project Zodiac,Data Center,construction,,Indiana,Fort Wayne,Allen County,5801 Adams Center Road,41.02969388,-85.04814501,855,,0,2023-12-19,2026-3-7,,,,,Google,TRUE,TRUE,unknown,True,False,False,"Google was granted a 10 year, 50% tax abatement from the Fort Wayne City Council following rezoning approval for 650 acres of land in Allen County by the Allen County Board of Commissioners in December 2023. The hyperscale data center project called Project Zodiac encompasses a total of 850 acres of land in total. A recent permit request was made acoording to local news to add 140 diesel generators on the site as backup, although there is no public record of an offical capacity for the site.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
26,Bristol Data Center,Data Center,preliminary,,Indiana,Washington Township,Elkhart County,"South of Rail Park Drive, On County Rd 15 and 23",41.6925709,-85.85815424,,,500,2026-03,2026-3-8,,,,,Undisclosed Developer,TRUE,TRUE,unknown,True,True,False,"Preliminary activity south of Bristol Indiana has been underway since September 2024 when initial attempts to rezone Wilhelm Farm to M-1 was not passed. However since August 7th, 2025 when the Bristol Town Hall approved rezoning of roughly 170 acres from A-1 to M-1. On March 5th, 2026, the town hall also held a meeting where they discussed annexing 500 acres of agricultural land into Bristol. Residents fear that this land, which lies adjacent to the Wilhelm Farm, will likewise be used for future data centers. No developer has been named at this time.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
27,Granger Data Center,Data Center,proposed,,Indiana,Clay Township; Harris Township,St. Joseph County,Off Capital Avenue and Cleveland Rd,41.72266213,-86.12540005,900,1000,0,2025-05,2026-3-8,,,,,Microsoft,TRUE,TRUE,unknown,False,True,False,"Microsoft purchased more than 900 acres of land on January 1st, 2025, months before St. Joseph City Hall approved the rezoning of a small section of the land for industrial development. In the same meeting, it also approved for the land to be developed specifically for data centers. Estimates for energy usage currently top 1 GW. Microsoft purchased the land for about $1.8 million.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
28,South Bend Data Center,Data Center,preliminary,,Indiana,South Bend,St. Joseph County,"Prarie Ave and US-20, South West Corner of South Bend",41.64845397,-86.30055316,300,,0,2025-12,2026-3-8,,,,,Western Hospitality Partners,TRUE,FALSE,unknown,False,True,False,"A member of the South Bend Common Committee, Oliver Davis, was presented documents of plans to build a data center on a 300 acre plot in the south west corner of the city of South Bend. The plot of land, owned by Ceres Farms LLC., is already zoned industrial. Local news reports that the developers responsible for the rejected proposal in New Carlisle are the same involved in the South Bend plans, Western Hospitality Partners.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
29,Decennial Group Akron Data Center,Data Center,proposed,,Indiana,Akron,Fulton County,Unknown,41.03887181,-86.02830714,300,500,2000,2026-02,2026-3-9,,,,,Decennial Group,FALSE,FALSE,unknown,True,True,False,"Decennial Group, a real estate investment firm, is proposing a 500 MW data center on 300 acres of land in Akron. The currently no site has been selected or announced publicly.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
30,Project Rainier,Data Center,construction,,Indiana,New Carlisle,St. Joseph County,31100 Edison Rd ,41.69198344,-86.46494887,850,2400,0,2024-12,2026-03-17,2025,,1000,,Amazon Web Services; Anthropic,TRUE,TRUE,FALSE,False,False,False,"AWS is partnering with Anthropic to supply upwards of half a million Trainium2 chips for training their AI models. The public announcement came in December 2024 during AWS' cloud computing expo, re:Invent. Prior to the official announcement, the St. Joseph County Redevelopment Commission began discussing preliminary activity in a November 9th, 2023. In their original meeting, they passed a resolution permitting Razor5 LLC to perform land development on the lower section of the site, a 680 acre plot. In May, 2024 Razor5 LLC purchased both site locations, totalling 850 acres. Amazon later publicized its deal with NIPSCO, the northern Indiana utility company, to provide their data center campus with 2.4 GW of electricity. Amazon cites that it will ultimately invest upwards of $15 billion into the site once it is fully completed.",2026-03-16T06:56:34.333Z,2026-06-04T05:00:50.347Z,
31,Martindale Indianapolis Metrobloks Data Center,Data Center,proposed,,Indiana,Indianapolis,Marlon County, 2505 North Sherman Drive,39.80391442,-86.10002644,14,72,0,Fall 2025,2026-4-6,,,,,Metrobloks,TRUE,TRUE,FALSE,False,True,False,"Metrobloks is proposing a $500 million, 154,000-square-foot data center on a ~14 acre site in the Martindale-Brightwood neighborhood, at the former Sherman Drive-In site. This data center facility will offer 72 MW of IT capacity and will use a closed-loop cooling system. Metropolitan Development Commission approved the rezoning 6-2 in April 2026, despite strong community opposition. The recommendation heads to the City-County Council for final approval, though the district councilor has publicly supported the project.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
32,Surge Development Knightstown Data Center,Data Center,approved,,Indiana,Knightstown,Henry County,Near intersection of State Road 109 and Interstate 70,39.84095834,-85.56599378,585,,0,2025-10,2026-4-6,,,,,Surge Development; GM Development LLC,TRUE,TRUE,unknown,False,False,False,"Surge Development LLC and GM Development LLC are developing a hyperscale data center on ~585 acres of land near the intersection of Interstate 70 and State Road 109. In January 2026, Henry County Commissioners voted 2-1 to approve the Planned Unit Development outline. No specific tenant has been publicized. This is the second development in Henry County that Surge has been approved for.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
33,Decatur Technology Park,Data Center,proposed,,Indiana,Decatur Township,Marion County,Intersection of Kentucky Avenue and Camby Road,39.66565427,-86.3005398,130,250,0,Fall 2025,2026-4-6,,,,,Sabey Data Centers,TRUE,TRUE,unknown,False,False,False,"Sabey Data Centers is proposing a 250 MW data center campus comprised of two 900,000-square-foot buildings on 130 acres of land near the intersection of Kentucky Avenue and Camby Road. This project represents an investment of up to $4 billion.Groundbreaking is expected for 2026, with phased opening through 2028-2030.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
34,Project Louie,Data Center,construction,,Indiana,Monroe Township,Morgan County,"Bounded by Keller Hill Road, Antioch Road, State Road 42, and West Union Church Road",39.5927482,-86.46343288,628,,0,Early 2025,2026-4-6,,,,,Google,TRUE,TRUE,unknown,False,False,False,"Google is proposing ""Project Louie"", a hyperscale data center campus just east of Monrovia in Monroe Township, bounded roughly by Keller Hill Road (north), Antioch Road (east), State Road 42 (south), and West Union Church Road (west). County commissioners originally rezoned approximately 391 acres for the project in February, later approving the rezoning of an additional 158 acres, and Google separately purchased a 79-acre farm within Monrovia's town limits, bringing its total land holdings to approximately 628 acres. The project drew significant public opposition over energy and water demands and the use of nondisclosure agreements among county officials, though local leadership was ultimately more receptive than those in Franklin Township (withdrawn Project Flo), approving the rezoning and development agreement.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
35,Hancock County MegaSite,Data Center,withdrawn,,Indiana,Buck Creek Township,Hancock County,3400 West 500 North,39.85920062,-85.8714585,775,,0,2025-4,2026-4-6,,,,,Surge Development,FALSE,unknown,unknown,False,False,False,"Surge Development withdrew their proposal for a 775-acre data center campus, referred to as the Hancock County MegaSite, near Tuttle Orchards.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
36,Project Flo,Data Center,withdrawn,,Indiana,Franklin Township,Marion County,North CR 400 West at West CR 500 North,39.72001334,-86.00011831,,,2000,2025-3,2026-4-6,,,,,Google,FALSE,TRUE,unknown,True,True,False,"Google withdrew its proposal ""Project Flo"", a $1 billion, 468-acre data center campus on the southeast side of Indianapolis. Google negotiated through a holding company called Deep Meadow Ventures LLC, keeping their identity hidden behind non-disclosure agreements while they sought to rezone agricultural and residential land along I-74 and Post Road into a commercial special district to house four data centers. The project was expected to take 5-10 years to complete, and was expected to create 350 full-time jobs after completion. The proposal faced fierce opposition, leading Google to abruptly withdraw the proposal, minutes before the Indianapolis City-County Council was set to vote. This is possibly one of the first successful citizen campaigns against a major AI data center project in the United States.",2026-03-16T06:56:34.333Z,2026-06-20T18:14:30.044Z,
37,Pittsboro Middle Township Data Center,Data Center,delayed,,Indiana,Middle Township,Hendricks County,Former Smith Family Farms,39.89679869,-86.44983309,,,0,2025-2,2026-4-6,,,,,Vantage Data Centers,unknown,unknown,unknown,False,True,False,,2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
38,Pike Township Data Center,Data Center,withdrawn,,Indiana,Pike Township,Marion County,Near West 79th Street and Township Line Road,39.89538346,-86.20420857,,,0,Fall 2025,2026-4-7,,,,,American Tower Corporation,unknown,unknown,unknown,False,False,False,"American Tower Corporation has withdrawn their plans for a 4,400-square-foot data center near 79th Street and Township Line Road. ",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
39,Project Maize,Data Center,construction,,Indiana,Michigan City,La Porte County,402 Royal Road,41.71352587,-86.84288513,70,,0,2025-6,2026-4-7,,800,30,,Phoenix Investors,TRUE,TRUE,unknown,False,False,False,"Project Maize is an $832 million data center campus being developed on the 70-acre former Federal-Mogul (ANCO) windshield-wiper plant at 402 Royal Road in Michigan City, Indiana. Originally initiated by Milwaukee-based Phoenix Investors, which has owned the site since 2022, the project involves redeveloping the long-vacant industrial brownfield into a grid-connected data center campus, with roof-raise and utility upgrades currently underway. Google formally acquired the project in April 2026, transitioning it from a third-party industrial redevelopment into a hyperscale campus for the tech giant, with Google taking responsibility for 100% of the site's electricity costs and any infrastructure requirements stemming from its operations. \n The Michigan City Common Council approved four resolutions advancing the project in September 2025. Local approvals include a 10-year, 50% real property tax abatement, with the project expected to create at least 30 permanent technical positions and up to 800 peak construction jobs.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
40,Hobart Tech Park,Data Center,approved,,Indiana,Hobart,Lake County,East 61st Avenue,41.50355522,-87.28117326,725,,0,2025,2026-05-20,2028,,,,Amazon; NIPSCO; GenCo,TRUE,TRUE,unknown,False,False,False,"Amazon is developing a large data center complex in Hobart, Indiana, as part of a broader $15 billion investment in northern Indiana for AI infrastructure. The facility is planned for a 700-plus-acre site at Colorado Avenue and 61st Avenue, with construction expected to begin in 2025 and a completion date of 2028. The city council unanimously approved the project, granting Amazon a 10-year tax abatement and a 35-year tax exemption on IT equipment, while Amazon provided a $47 million community enhancement payment and agreed to cover all infrastructure costs. \n The project has drawn significant local opposition, with residents raising concerns over health impacts, noise, water and electricity consumption, and proximity to a residential area. Transparency has also been a point of contention, as no environmental impact study or site renderings have been publicly released. Despite a lawsuit filed by some residents, Hobart's Plan Commission approved two site plans totaling more than 750 acres, and the project is expected to bring over 400 permanent jobs once complete.",2026-03-16T06:56:34.333Z,2026-06-23T20:28:15.495Z,
41,Tract Project West,Data Center,proposed,,Iowa,Norwalk,Warren County,West of Highway 28 and south of Delaware Street,41.45765488,-93.68699672,,,1000,2025-2,2026-4-15,,600,80,,Tract,unknown,unknown,unknown,True,True,False,"Project West is a proposed data center campus on roughly 282 acres in Norwalk's Southwest Development Corridor, west of Highway 28, south of Delaware Street, and north of the North River, in Warren County. The site is being developed by data center park developer Tract, which is buying the land from private owners and funding about $8.2 million in water and street infrastructure. The city anticipates a total project investment of around $12 billion, potentially the largest private investment in Warren County history, backed by an unnamed technology company. The Norwalk City Council unanimously approved the land and infrastructure development agreement on March 5, 2026, stressing that it is only a land/infrastructure agreement and that any actual data center would require an entirely separate approval process. Projected taxable valuation at full buildout is estimated at $400–500 million (generating about $15 million annually in new taxes, $5 million to the city), with an estimated 80 full-time positions and 600 construction jobs over a multi-year buildout. Developers requested no tax incentives.",2026-03-16T06:56:34.333Z,2026-06-11T05:33:02.282Z,
42,Google Cedar Rapids,Data Center,approved,,Iowa,Cedar Rapids,Linn County,Along Edgewood Road SW,41.91422692,-91.72176504,,,0,2024-3,2026-4-15,,,,,Google,unknown,unknown,unknown,False,True,False,"Google's Cedar Rapids data center is an approved hyperscale campus under construction along Edgewood Road SW in the Big Cedar Industrial Center. Developed through Heaviside LLC, which acquired 414 acres for about $16.6 million, it was approved by the Iowa Economic Development Authority in 2024 with roughly $56 million in tax incentives over 20 years and a commitment to at least 31 jobs. In May 2025 Google announced an additional $7 billion investment expanding its Iowa footprint; the first building is expected to be completed in 2026.",2026-03-16T06:56:34.333Z,2026-06-11T05:33:02.282Z,
