recheck_priority,priority_reason,State,County,fips,Incident,Date,days_stale,threshold_days,overdue_ratio,qc_mechanism,status_clean,outcome_defensible,county_label,label_moving,project_id,Source URL
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",CT,New London County,,Town of Groton,2022-06-15,1537,120,12.81,moratorium,expired,blocked_unverified,,0,groton_ct,https://ctexaminer.com/2022/06/15/groton-approves-one-year-moratorium-on-data-centers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Henderson County,37089,Henderson County,2023-05-01,1217,120,10.14,moratorium,expired,blocked_unverified,1,0,henderson_county_nc,https://www.foxcarolina.com/2023/05/01/henderson-county-hold-public-hearing-cryptocurrency-mining/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Buncombe County,37021,Buncombe County,2023-05-02,1216,120,10.13,moratorium,expired,blocked_unverified,1,0,buncombe_county_nc,https://mountainx.com/news/commissioners-approve-one-year-ban-on-crypto-mining/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Madison County,37115,Madison County,2023-06-13,1174,120,9.78,moratorium,expired,blocked_unverified,1,0,madison_county_nc,https://mjbommar.github.io/moratorium-data-2026/states/north-carolina.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",TN,DeKalb County,47041,DeKalb County,2024-06-01,820,120,6.83,ban,expired,blocked_unverified,1,0,dekalb_county_tn,https://www.wjle.com/county-commission-to-renew-discussion-about-proposed-data-center-regulations-view-video-here/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Jackson County,19097,Jackson County,2024-09-17,712,120,5.93,moratorium,expired,mixed,1,0,jackson_county_ia,https://jacksoncounty.iowa.gov/supervisors/resolutions/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MA,Hampden County,25013,Westfield,2024-11-01,667,120,5.56,moratorium,pending,blocked_unverified,1,0,westfield_ma,https://theshoestring.org/2025/12/30/ai-hallucination-proposed-westfield-data-center-appears-abandoned-by-developers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NE,Hitchcock County,31087,Hitchcock County,2025-02-01,575,120,4.79,moratorium,expired,blocked_unverified,1,0,hitchcock_county_ne,https://hitchcockcounty.ne.gov/webpages/planning_zoning/planning_zoning.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Adair County,19001,Adair County,2024-04-24,858,180,4.77,conditional_zoning,active,pending,1,0,adair_county_ia,https://www.datacenterdynamics.com/en/news/applied-digital-faces-opposition-to-planned-data-center-in-adair-county-iowa/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",VA,Mecklenburg County,51117,Mecklenburg County,2025-03-01,547,120,4.56,moratorium,passed,mixed,1,0,mecklenburg_county_va,https://www.sovanow.com/articles/data-center-debates/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",ID,Kootenai County,16055,Kootenai County,2025-03-02,546,120,4.55,ban,expired,blocked_unverified,1,0,kootenai_county_id,https://www.khq.com/news/kootenai-county-imposes-moratorium-on-data-center-building-permits/article_f622e15a-f79e-11ef-87ed-1bd380bdd67e.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NY,Nassau County,36059,Nassau County,2025-04-01,516,120,4.3,moratorium,active,blocked_unverified,1,0,nassau_county_ny,https://abc7ny.com/post/nassau-county-officials-do-not-want-lithium-ion-battery-storage-facilities-long-island/16186659/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Jones County,19105,Jones County,2025-05-13,474,120,3.95,moratorium,expired,blocked_unverified,1,0,jones_county_ia,https://www.jonescountyiowa.gov/files/land_use/jones_county_cryptocurrency_and_data_center_ordinance_78407.pdf
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",FL,Osceola County,12097,Osceola County,2024-10-01,698,180,3.88,conditional_zoning,active,pending,1,0,osceola_county_fl,https://www.datacenterdynamics.com/en/news/company-seeks-to-rezone-434-acres-for-data-center-in-osceola-county-florida/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Chippewa County,26033,Clark Township,2025-06-01,455,120,3.79,moratorium,active,blocked_unverified,1,0,clark_township_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Washtenaw County,26161,Ypsilanti Township,2025-06-01,455,120,3.79,moratorium,active,mixed,1,0,ypsilanti_township_mi,https://planetdetroit.org/2026/04/ypsilanti-township-escalates-data-center-fight/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KY,Oldham County,21185,City of La Grange,2025-06-02,454,120,3.78,moratorium,withdrawn,blocked_unverified,1,0,la_grange_ky,https://www.wdrb.com/in-depth/oldham-county-looks-to-pause-data-center-deals-amid-pushback-over-6b-project/article_d51c7f32-ff65-4e5e-a982-ddd9eae91e47.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Story County,19169,Story County,2025-06-17,439,120,3.66,moratorium,expired,blocked_unverified,1,0,story_county_ia,https://mjbommar.github.io/moratorium-data-2026/states/iowa.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KY,Oldham County,21185,Oldham County,2025-07-02,424,120,3.53,moratorium,failed,blocked_unverified,1,0,oldham_county_ky,https://www.lpm.org/news/2025-07-02/oldham-county-passes-sweeping-data-center-moratorium-executive-fired-over-recording
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Wake County,37183,Wake County,2025-08-01,394,120,3.28,moratorium,failed,blocked_unverified,1,0,wake_county_nc,https://www.wunc.org/environment/2026-03-05/proposed-data-center-new-hill-digital-campus-wake-county-apex
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KS,McPherson County,20113,McPherson County,2025-08-04,391,120,3.26,moratorium,unknown,blocked_unverified,1,0,mcpherson_county_ks,https://mjbommar.github.io/moratorium-data-2026/states/kansas.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,Luzerne County,42079,Dorrance Township,2025-08-11,384,120,3.2,moratorium,active,blocked_unverified,1,0,dorrance_township_pa,https://www.alleghenyfront.org/pennsylvania-luzerne-dorrance-data-center-zoning/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Clayton County,13063,Clayton County,2025-09-01,363,120,3.02,moratorium,active,blocked_unverified,1,0,clayton_county_ga,https://www.claytoncountyga.gov/news/clayton-county-board-of-commissioners-approves-moratorium-on-new-data-centers-in-clayton-county/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Lamar County,13171,Lamar County,2025-09-01,363,120,3.02,moratorium,active,blocked_unverified,1,0,lamar_county_ga,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Pike County,13231,Pike County,2025-09-01,363,120,3.02,moratorium,active,blocked_unverified,1,0,pike_county_ga,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Troup County,13285,Troup County,2025-09-01,363,120,3.02,moratorium,active,blocked_unverified,1,0,troup_county_ga,https://www.11alive.com/article/news/local/troup-county-moratorium-on-data-centers/85-87d5c110-12db-4a48-88dd-70bda4ac47c9
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MD,Prince George's County,24033,Prince George's County (Landover),2025-09-01,363,120,3.02,moratorium,active,blocked_unverified,1,0,prince_george_s_county_md,https://foxbaltimore.com/news/local/prince-georges-county-data-centers-zoning-electric-grid-energy-maryland
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WA,Grant County,53025,Grant County PUD,2025-03-25,523,180,2.91,conditional_zoning,passed,mixed,1,0,grant_county_wa,https://www.yoursourceone.com/columbia_basin/report-quincy-at-center-of-debate-over-washington-s-data-centers-clean-energy-future/article_f2b12988-6708-44bd-b1fb-72e8a5e4d43b.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Walton County,13297,Social Circle,2025-09-18,346,120,2.88,moratorium,passed,mixed,1,0,social_circle_ga,https://www.wsbtv.com/news/local/walton-county/city-social-circle-bans-new-data-center-applications-90-days/JGRPK34JC5AGRA5V5KH6YCXVWA/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Troup County,13285,City of LaGrange,2025-09-23,341,120,2.84,moratorium,expired,mixed,1,0,lagrange_ga,https://www.wsbtv.com/news/local/lagrange-city-council-passes-180-day-moratorium-data-centers/LFCNYS3HWRE3VJ3AJBBLRT3COA/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NY,Tompkins County,36109,Lansing,2025-09-24,340,120,2.83,moratorium,active,pending,1,0,lansing_ny,https://ithacavoice.org/2025/11/data-center-company-terawulf-threatens-legal-action-against-lansing-town-board/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MA,Franklin County,25011,Shutesbury,2025-09-30,334,120,2.78,moratorium,active,blocked_unverified,1,0,shutesbury_ma,https://recorder.com/2025/09/12/shutesbury-data-center-moratorium/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IN,White County,18181,White County,2025-10-01,333,120,2.77,moratorium,active,blocked_unverified,1,0,white_county_in,https://www.datacenterwatch.org/report
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Monroe County,26115,Dundee Township,2025-10-02,332,120,2.77,moratorium,active,blocked_unverified,1,0,dundee_township_mi,https://bluewaterhealthyliving.com/news/local-news/michigan/where-does-dundee-township-stand-on-the-proposed-data-center/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Trumbull County,39155,Lordstown,2025-10-01,333,120,2.77,moratorium,active,pending,1,0,lordstown_oh,https://www.change.org/p/prevent-the-construction-of-ai-data-center-in-lordstown
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,Lackawanna County,42069,Lackawanna County,2025-10-01,333,120,2.77,moratorium,active,pending,1,0,lackawanna_county_pa,https://www.change.org/p/stop-data-center-construction-in-lackawanna-county
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KY,Meade County,21163,Meade County,2025-10-14,320,120,2.67,moratorium,failed,blocked_unverified,1,0,meade_county_ky,https://datacenterwatch.substack.com/p/briefing-10172025
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Washtenaw County,26161,Manchester Township,2025-10-14,320,120,2.67,moratorium,active,blocked_unverified,1,0,manchester_township_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",CO,Logan County,08075,Logan County,2025-10-21,313,120,2.61,moratorium,active,blocked_unverified,1,0,logan_county_co,https://www.journal-advocate.com/2025/10/22/county-imposes-6-month-moratorium-on-solar-wind-data-center-and-battery-storage-permits/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Douglas County,13097,Douglas County,2025-10-22,312,120,2.6,moratorium,active,mixed,1,0,douglas_county_ga,https://www.fox5atlanta.com/news/douglas-county-data-centers-moratorium
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IL,Winnebago County,17201,Rockford,2025-11-01,302,120,2.52,moratorium,active,pending,1,0,rockford_il,https://www.change.org/p/oppose-high-impact-data-center-development-and-demand-sustainable-growth-for-rockford-il
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IN,Putnam County,18133,Putnam County,2025-11-01,302,120,2.52,moratorium,active,pending,1,0,putnam_county_in,https://www.datacenterwatch.org/report
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Cumberland County,37051,Cumberland County,2025-11-01,302,120,2.52,moratorium,active,blocked_unverified,1,0,cumberland_county_nc,https://www.change.org/p/stop-data-centers-in-cumberland-county-protect-fayetteville-s-health-and-water
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",ME,Lincoln County,23015,Wiscasset,2025-11-04,299,120,2.49,moratorium,active,pending,1,0,wiscasset_me,https://mainemorningstar.com/2026/02/23/as-data-centers-look-to-rural-new-england-maine-considers-a-moratorium/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Johnson County,19103,Johnson County,2025-11-08,295,120,2.46,moratorium,active,pending,1,0,johnson_county_ia,https://cbs2iowa.com/news/local/johnson-county-imposes-moratorium-on-data-centers-to-protect-resources-and-assess-impacts
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Tama County,19171,Tama County,2025-11-10,293,120,2.44,moratorium,active,pending,1,0,tama_county_ia,https://www.northtamatelegraph.com/news/local-news/2025/11/21/last-weeks-tama-county-supervisors-meeting/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Summit County,39153,Barberton,2025-11-10,293,120,2.44,moratorium,active,blocked_unverified,1,0,barberton_oh,https://www.akron.com/articles/barberton-approves-open-ended-moratorium-on-data-centers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KY,Breckinridge County,21027,Breckinridge County,2025-11-17,286,120,2.38,moratorium,active,pending,1,0,breckinridge_county_ky,https://breckinridgeky.com/ordinances/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Washtenaw County,26161,Pittsfield Township,2025-11-18,285,120,2.38,moratorium,active,pending,1,0,pittsfield_township_mi,https://www.wemu.org/wemu-news/2025-11-17/pittsfield-township-to-vote-on-data-center-moratorium
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Livingston County,26093,Howell Township,2025-11-20,283,120,2.36,moratorium,failed,blocked_unverified,1,0,howell_township_mi,https://planetdetroit.org/2025/12/billion-dollar-data-center-paused/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",TN,Sullivan County,47163,Sullivan County,2025-11-20,283,120,2.36,moratorium,pending,blocked_unverified,1,0,sullivan_county_tn,https://heraldcourier.com/news/article_9b6dc9dc-7dee-4370-a502-5ac8fb794474.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Mitchell County,19131,Mitchell County,2025-11-25,278,120,2.32,moratorium,active,pending,1,0,mitchell_county_ia,https://mitchellcounty.iowa.gov/wp-content/uploads/Board-Proceedings-11-12-25.pdf
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Troup County,13285,Hogansville (Troup County),2025-11-26,277,120,2.31,moratorium,active,pending,1,0,hogansville_ga,https://www.gpb.org/news/2025/11/26/why-are-troup-county-residents-saying-no-600-mw-data-center-in-hogansville
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IL,Logan County,17107,Logan County,2025-12-01,272,120,2.27,moratorium,active,blocked_unverified,1,0,logan_county_il,https://www.illinoistimes.com/news/logan-county-takes-its-time-on-data-center-proposal/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Cass County,26027,Cass County (Dowagiac),2025-12-01,272,120,2.27,moratorium,active,mixed,1,0,cass_county_mi,https://wwmt.com/news/local/cass-county-urges-more-transparency-data-center-development-new-resolution-dowagiac-hyperscale-energy-water-cooling-noise
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Lawrence County,39087,Lawrence County,2025-12-01,272,120,2.27,moratorium,active,pending,1,0,lawrence_county_oh,https://www.change.org/p/stop-the-ai-data-centers-in-lawrence-county-ohio
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Livingston County,26093,Tyrone Township,2025-12-02,271,120,2.26,moratorium,active,pending,1,0,tyrone_township_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Clinton County,19045,Clinton County,2025-12-08,265,120,2.21,moratorium,active,pending,1,0,clinton_county_ia,https://www.clintonherald.com/news/county-supervisors-place-moratorium-on-wind-project-applications/article_1a96408a-29d3-11ef-9b45-47e3bc50532b.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Kent County,26081,Green Charter Township,2025-12-09,264,120,2.2,moratorium,active,pending,1,0,green_charter_township_mi,https://datacenterwatch.substack.com/p/briefing-12192025
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Washtenaw County,26161,Augusta Charter Township,2025-08-01,394,180,2.19,conditional_zoning,active,mixed,1,0,augusta_charter_township_mi,https://planetdetroit.org/2025/08/augusta-data-center-opposition/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Wood County,39173,Waterville Township,2025-12-17,256,120,2.13,moratorium,active,pending,1,0,waterville_township_oh,https://toledofreepress.com/anthony-wayne-news-waterville-approves-6-month-moratorium/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Pickaway County,39129,South Bloomfield,2025-12-19,254,120,2.12,moratorium,active,pending,1,0,south_bloomfield_oh,https://www.sciotopost.com/south-bloomfield-ashville-move-to-block-data-centers-as-pickaway-county-opposition-grows/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Allegan County,26005,Dorr Township,2026-01-01,241,120,2.01,moratorium,active,pending,1,0,dorr_township_mi,https://wwmt.com/news/local/microsoft-data-center-proposal-protest-processing-information-farm-life-community-dorr-township-allegan-county-west-michigan-infrastructure-development
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Kalamazoo County,26077,Oshtemo Township,2026-01-01,241,120,2.01,moratorium,active,pending,1,0,oshtemo_township_mi,https://wwmt.com/news/local/oshtemo-charter-township-considers-data-center-moratorium-portage-ai-artificial-intelligence-debate-development-battery-energy-bess-west-michigan
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Kent County,26081,Caledonia Township,2026-01-01,241,120,2.01,moratorium,active,pending,1,0,caledonia_township_mi,https://www.fox17online.com/news/local-news/kent/caledonia-township-puts-6-month-pause-on-data-center-development-to-review-industrial-standards
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Saginaw County,26145,Saginaw,2026-01-01,241,120,2.01,moratorium,active,pending,1,0,saginaw_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Wayne County,26163,City of Taylor,2026-01-01,241,120,2.01,moratorium,active,pending,1,0,taylor_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WI,Dane County,55025,Mount Horeb,2026-01-01,241,120,2.01,moratorium,active,pending,1,0,mount_horeb_wi,https://wisconsinexaminer.com/2026/02/12/democratic-lawmakers-propose-data-center-moratorium/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Wayne County,26163,City of Northville,2026-01-06,236,120,1.97,moratorium,active,pending,1,0,northville_mi,https://www.wxyz.com/news/data-centers/northville-city-council-unanimously-approves-12-month-data-center-moratorium
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Wood County,39173,Wood County (Bowling Green area),2026-01-06,236,120,1.97,moratorium,active,pending,1,0,wood_county_oh,https://bgindependentmedia.org/meta-data-center-how-it-went-from-economic-development-coup-to-project-local-residents-rue/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,Schuylkill County,42107,New Castle Township (Frackville area),2025-09-10,354,180,1.97,conditional_zoning,active,mixed,1,0,new_castle_township_pa,https://www.wnep.com/article/news/local/schuylkill-county/schuylkill-county-frackville-data-center-new-castle-krnl-zoning/523-1e14d019-77cd-4b00-ab8e-b4cbbbaeba93
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Oakland County,26125,Springfield Township,2026-01-07,235,120,1.96,moratorium,active,pending,1,0,springfield_township_mi,https://www.detroitnews.com/story/news/local/oakland-county/2026/01/07/springfield-twp-passes-temporary-data-center-moratorium/88049214007/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Lawrence County,39087,Ironton,2026-01-09,233,120,1.94,moratorium,active,pending,1,0,ironton_oh,https://irontontribune.com/2026/01/14/council-questions-ledc-director-on-ai-data-center/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Washtenaw County,26161,Saline Township,2026-01-12,230,120,1.92,moratorium,active,advanced_unverified,1,0,saline_township_mi,https://themanchestermirror.com/2026/01/05/regulators-approve-dte-contracts-for-saline-township-data-center/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KS,Harvey County,20079,Harvey County,2026-01-13,229,120,1.91,moratorium,active,pending,1,0,harvey_county_ks,https://www.kwch.com/2026/01/13/harvey-county-commission-places-moratorium-data-center-construction/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Saginaw County,26145,City of Saginaw,2026-01-13,229,120,1.91,ban,active,pending,1,0,saginaw_mi,https://www.wnem.com/2026/01/13/city-saginaw-placing-moratorium-data-centers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Macomb County,26099,Armada Township,2026-01-14,228,120,1.9,moratorium,active,pending,1,0,armada_township_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KS,Sedgwick County,20173,Sedgwick County,2026-01-15,227,120,1.89,moratorium,active,pending,1,0,sedgwick_county_ks,https://www.kwch.com/2026/03/04/sedgwick-county-extends-pause-data-center-applications/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IL,Madison County,17119,Village of Godfrey,2026-01-20,222,120,1.85,moratorium,active,pending,1,0,godfrey_il,https://www.advantagenews.com/news/local/godfrey-studying-data-centers-approves-moratorium-on-applications/article_cc9c3ec6-d706-4de8-a61a-bbad49c78302.html
