canonical_id,canonical_name,states,n_variants,n_incidents,variants,flags,n_flags,detail,client_safe
G0163,Goochland County residents,VA,1,2,Goochland County residents,placeholder; degenerate_rate,2,"descriptive label, not a named organization; n_incidents=2 below floor 5",0
G0164,Sugarloaf Citizens Association,MD,1,2,Sugarloaf Citizens Association,,0,,1
G0165,Stop MPRP,MD,1,2,Stop MPRP,,0,,1
G0166,Dakota Rural Action,SD,1,2,Dakota Rural Action,degenerate_rate,1,n_incidents=2 below floor 5,0
G0167,Tucker United,WV,1,2,Tucker United,,0,,1
G0168,No Data Centers in the Driftless,WI,1,2,No Data Centers in the Driftless,,0,,1
G0169,Western Resource Advocates,CO,1,2,Western Resource Advocates,,0,,1
G0170,Keyser Valley Neighborhood Association,PA,1,2,Keyser Valley Neighborhood Association,,0,,1
G0171,Ohio Consumers' Counsel,OH,1,2,Ohio Consumers' Counsel,,0,,1
G0172,Lowndes Citizens Against Data Centers,GA,2,1,Lowndes Citizens Against Data Centers; Lowndes Citizens Against Data Centers (LCAD),,0,,1
G0173,WWALS Watershed Coalition,GA,1,2,WWALS Watershed Coalition,degenerate_rate,1,n_incidents=2 below floor 5,0
G0174,WWALS Watershed Coalition (Suwannee Riverkeeper),GA,1,2,WWALS Watershed Coalition (Suwannee Riverkeeper),degenerate_rate,1,n_incidents=2 below floor 5,0
G0175,Climate Revolution Action Network,NJ,2,2,Climate Revolution Action Network; Climate Revolution Action Network NJ,,0,,1
G0176,Shreveport residents,LA,1,2,Shreveport residents,placeholder,1,"descriptive label, not a named organization",0
G0177,Caddo Lake Institute,LA,1,2,Caddo Lake Institute,degenerate_rate,1,n_incidents=2 below floor 5,0
G0178,South Carolina Community Rights Coalition,SC,1,2,South Carolina Community Rights Coalition,,0,,1
G0179,No Data Centers in Spartanburg,SC,2,1,No Data Centers in Spartanburg; No Data Centers in Spartanburg SC,degenerate_rate,1,n_incidents=1 below floor 5,0
G0180,National Parks Conservation Association,GA; VA,1,2,National Parks Conservation Association,,0,,1
G0181,"No Data Centers, Fulton County",IN,2,1,"No Data Centers Fulton County IN; No Data Centers, Fulton County",degenerate_rate,1,n_incidents=1 below floor 5,0
G0182,Northern Alaska Environmental Center,AK,1,2,Northern Alaska Environmental Center,,0,,1
G0183,Alaska Public Interest Research Group,AK,1,2,Alaska Public Interest Research Group,,0,,1
G0184,Oakley Community Alliance,CA,1,2,Oakley Community Alliance,degenerate_rate,1,n_incidents=2 below floor 5,0
G0185,Natural Resources Council of Maine,ME,2,2,Natural Resources Council of Maine; Natural Resources Council of Maine (NRCM),degenerate_rate,1,n_incidents=2 below floor 5,0
G0186,Franklin County Rural Coalition,MO,1,2,Franklin County Rural Coalition,,0,,1
G0187,Osawatomie Residents Concerned About Data Centers,KS; TX,2,2,Osawatomie Residents Concerned About Data Centers; San Antonio Residents Concerned About Data Centers,cross_state_merge,1,'Osawatomie Residents Concerned About Data Centers' and 'San Antonio Residents Concerned About Data Centers' merged across KS; TX,0
G0188,Block Project Steel and Project Cardinal,IL,1,2,Block Project Steel and Project Cardinal,degenerate_rate,1,n_incidents=2 below floor 5,0
G0189,Sierra Club Michigan Chapter,MI,1,2,Sierra Club Michigan Chapter,,0,,1
G0190,Good Jobs First,VA; WI,1,2,Good Jobs First,degenerate_rate,1,n_incidents=2 below floor 5,0
G0191,Joliet Residents Against Data Centers,IL; NY,2,2,Joliet Residents Against Data Centers; Oneonta Residents Against Data Centers,cross_state_merge; degenerate_rate,2,'Joliet Residents Against Data Centers' and 'Oneonta Residents Against Data Centers' merged across IL; NY; n_incidents=2 below floor 5,0
G0192,Honest Future for Lowell,MA,1,2,Honest Future for Lowell,degenerate_rate,1,n_incidents=2 below floor 5,0
G0193,American Battlefield Trust,VA,1,2,American Battlefield Trust,degenerate_rate,1,n_incidents=2 below floor 5,0
G0194,Wyoming Outdoor Council,WY,1,2,Wyoming Outdoor Council,,0,,1
G0195,Archbald Neighborhood Association,PA,1,2,Archbald Neighborhood Association,,0,,1
G0196,Protect Frenchtown,MI,2,1,Protect Frenchtown; Protect Frenchtown MI,,0,,1
G0197,Adams County for Responsible Development,OH,1,2,Adams County for Responsible Development,degenerate_rate,1,n_incidents=2 below floor 5,0
G0198,Michigan Sierra Club,MI,1,2,Michigan Sierra Club,degenerate_rate,1,n_incidents=2 below floor 5,0
G0199,Midwest Environmental Advocates,WI,1,2,Midwest Environmental Advocates,degenerate_rate,1,n_incidents=2 below floor 5,0
G0200,Spring Creek Road Residents,TN,1,1,Spring Creek Road Residents,degenerate_rate,1,n_incidents=1 below floor 5,0
G0201,Groton Open Space Association,CT,1,1,Groton Open Space Association,,0,,1
G0202,Groton Conservation Advocates,CT,1,1,Groton Conservation Advocates,,0,,1
G0203,Secure Arkansas,AR,1,1,Secure Arkansas,degenerate_rate,1,n_incidents=1 below floor 5,0
G0204,Concerned Citizens of Waterford and East Lyme (CCWEL),CT,1,1,Concerned Citizens of Waterford and East Lyme (CCWEL),,0,,1
G0205,Adair County Residents (ad hoc),IA,1,1,Adair County Residents (ad hoc),,0,,1
G0206,City of Goodyear (official opposition),AZ,1,1,City of Goodyear (official opposition),degenerate_rate,1,n_incidents=1 below floor 5,0
G0207,City of Buckeye (official opposition),AZ,1,1,City of Buckeye (official opposition),degenerate_rate,1,n_incidents=1 below floor 5,0
G0208,Buckeye Residents Against Data Centers,AZ,1,1,Buckeye Residents Against Data Centers,degenerate_rate,1,n_incidents=1 below floor 5,0
G0209,Stop Duneland and Valpo/Wheeler Data Centers,IN,1,1,Stop Duneland and Valpo/Wheeler Data Centers,degenerate_rate,1,n_incidents=1 below floor 5,0
G0210,Rose Hill Coalition,VA,1,1,Rose Hill Coalition,,0,,1
G0211,Bren Pointe HOA,VA,1,1,Bren Pointe HOA,,0,,1
G0212,Thorndale residents,TX,1,1,Thorndale residents,placeholder,1,"descriptive label, not a named organization",0
G0213,Don't Dump Data in Peculiar,MO,1,1,Don't Dump Data in Peculiar,,0,,1
G0214,DeLuca Preserve Conservation Advocates,FL,1,1,DeLuca Preserve Conservation Advocates,,0,,1
G0215,Gilmer County Citizens Against Crypto Mining,GA,1,1,Gilmer County Citizens Against Crypto Mining,,0,,1
G0216,National Coalition Against Cryptomining,GA,1,1,National Coalition Against Cryptomining,,0,,1
G0217,Gilmer County Citizens Against AI Data Centers,GA,1,1,Gilmer County Citizens Against AI Data Centers,,0,,1
G0218,Conservation Law Foundation,MA,1,1,Conservation Law Foundation,,0,,1
G0219,Alternatives for Community and Environment,MA,1,1,Alternatives for Community and Environment,,0,,1
G0220,Arizona Center for Law in the Public Interest,AZ,1,1,Arizona Center for Law in the Public Interest,degenerate_rate,1,n_incidents=1 below floor 5,0
G0221,Coalition for Sonoran Desert Protection,AZ,1,1,Coalition for Sonoran Desert Protection,degenerate_rate,1,n_incidents=1 below floor 5,0
G0222,Oliver County residents,ND,1,1,Oliver County residents,placeholder; degenerate_rate,2,"descriptive label, not a named organization; n_incidents=1 below floor 5",0
G0223,Weston Gardens,TX,1,1,Weston Gardens,,0,,1
G0224,Fort Worth residents,TX,1,1,Fort Worth residents,placeholder,1,"descriptive label, not a named organization",0
G0225,2871 Community Coalition,TX,1,1,2871 Community Coalition,,0,,1
G0226,Chapel Creek Neighborhood Association,TX,1,1,Chapel Creek Neighborhood Association,,0,,1
G0227,MediaJustice,TX,1,1,MediaJustice,degenerate_rate,1,n_incidents=1 below floor 5,0
G0228,Sierra Club Toiyabe,NV,1,1,Sierra Club Toiyabe,degenerate_rate,1,n_incidents=1 below floor 5,0
G0229,Friends of the Mississippi River,MN,1,1,Friends of the Mississippi River,degenerate_rate,1,n_incidents=1 below floor 5,0
G0230,CURE,MN,1,1,CURE,degenerate_rate,1,n_incidents=1 below floor 5,0
G0231,Workers Strike Back,MN,1,1,Workers Strike Back,degenerate_rate,1,n_incidents=1 below floor 5,0
G0232,Coalition for Responsible Data Center Planning,MN,1,1,Coalition for Responsible Data Center Planning,degenerate_rate,1,n_incidents=1 below floor 5,0
