rank_score,row_key,verification_status,outlet,headline,suggested_mechanism,suggested_county,suggested_state,location_confidence,existing_coverage,resolved_url,resolved_domain,resolve_status,promote_ready,redirect_url
6.0,0176cf39c2,headline_only,Inside Climate News,New York State Gets One Step Closer to a Data Center Moratorium,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNY1VpNjNWVjJkMHloeHEtaGZ5bmxLMUdmZFhYai1pVkdNS2ZlX0Q3R1lVd0REdW1sUEtieGZzYS14NGU1eWhWS0J1ZDRCcmVMUWNIc1hnY1pVVEllQXpHYWtNRm50cmVBTTBSNDBDTHZJZmtQemNScFVMekZJc2hCc0lfN1dxRVND?oc=5
6.0,3b7cc8f811,headline_only,LEX 18 News,Lexington City Council unanimously passes a moratorium on new data center approvals,moratorium,Lexington,SC,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMisgFBVV95cUxPakJsd1d6NWtrR3FIeU5RVFkyWi00YmI0QV9namt2Ri0wREtIUlp5ajJSeURUUXI1T0lCNndmTmhSd0J5M215RzVtUlZuUGtKWUpEc29oTG9aQ2g2S3VweTd5aVVIUnoxNzM4M2QwTzh1UDJ4M0dEemlOZTZGQmRoejdIMXFHX1NiWGVRWmNuZ05WeXlsamRBc19rZWZkMjd3bHF3eXctNFJZT1pXMHo1OWVR?oc=5
6.0,437bd643ec,headline_only,POLITICO Pro,Article | New York’s pioneering data center moratorium draws labor pushback,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMiwgFBVV95cUxONU5oQlh5Zzl5ZU0tbGNTS3VrT21oMWFiUThWOUxkdXEzRy1GNjFoVTNoQWpmZGhaVlViSVFNSUQxLUppQXB6RXNqUUJ5ZTB3QVMyb1MzUnctTFNHV01nWWZkQkJNSi02ZWZsd0xkOGVKYU1BX2pHQ1Vxd2Qxc1pvdkliZXJWQWhNZzJUYnQ0b3NNbkVyTHNTR1FJUkp6enVaWUdTcGZjQnNyMThaUFdlaG1RTGF0VEVwUDlFWVpLZW5oZw?oc=5
6.0,43ba84fe51,headline_only,Pennsylvania Capital-Star,New York state gets one step closer to a data center moratorium,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMisgFBVV95cUxOem16R09zTm5PYnlaamV2WVBaWHc0c0RVNi1oNkhaa19zNzFOd2JqTVlaZ1pZMXgzY2ZBd0hmZlo1Mmx2clFFc2NGd0E5dHdyT1hZNWZ2YjNQRlR2TFZJOUU0TkdUeGFmR0lnQXZQMlFObmwtaC0xdUIycjB6Y3lyZXVLbHNsV2JYMlNLZWpqNzgzejEyZ2dXSU1oM2Y3VW9LdnEtQW5mQURGeEVZM082Vk53?oc=5
6.0,f0663709e2,headline_only,Reuters,New York becomes the first state to impose a data center moratorium,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMiogFBVV95cUxQS1VqV09jX0hhZXQxRXpwaGRHbnY1SmdGT1RMYVEyM1pBaWtyNlBoaTBKYWpCRlMyWHQzMFVCUTFyakRMaDlhTkJpWUtMQThfeFlPQml2RHRUbVJTQmVWMjRvb2w5al9CeW1iQzJ5dkVLUlJHaWZMcXNRbUxZSGdIX2VrZkhKSWplczI1Rlc5d1puZng2Mkc3SXdYM2VYUER4Vnc?oc=5
6.0,8661707286,headline_only,Stateline,New York governor orders first statewide data center moratorium,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMingFBVV95cUxQR3RMYU81M1kzaldkWmJmRlBHYkxkMVNQM2ZjbVRndjRVSjJyVVBwYXhfbUdMaktsYXNUbUJELUNqeXU4ckZQaF9qV0c4SXRfZHNQMk1ZQWdJZnI5dy1ON1hsUG5SYzZZR0M1eWt1bjE0ZTFkeEQ2VzRubWp4NEhfZWM4RnJjYjQwY0JEVGpwZHR0WUVxR3lrWUpHQ0xWZw?oc=5
6.0,e29e4b2332,headline_only,Tampa Bay 28,Pasco County considers 1-year moratorium on data centers amid growing community concerns,moratorium,Pasco,FL,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNcmlKa1FVN29QaGhwTlh2YmhXS0xlRkdXWVY5TTNsRDNvMHo2RExhMVNEV3hQNC1kMUZCRllrNVRMQi00YlZucTBhelI1dzNZakdkMmdqb29ZcUN1TENIbXNIcGI2MTVydXh0U0tFaUdYRkQxaU15SGw1TjlYVWdKRmZBdUw2aHVBaDRTUW9BcmQ1ZVc2c04welJKQnhaUjFDelREVm1CSmZWeDIwVVg1U0JVVDNuWDF2NzhKVGhXMHVDMHM5X2hoX3JKMm5hc0tDdy1RYS10Sm5yMEVvZVpjdUZjdDI0aXE2WUE?oc=5
6.0,4059574269,headline_only,Tangle News,New York’s data center moratorium.,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMia0FVX3lxTFBXdzd2Nlo4S0ZLVHZuaUhuRzFnRXE0MkRGenh0YU5CUDNXZmJwT0gxVXJjeDg4b1Yyd0RheVhfUG1oR0xPZG9aZ1c4aVl2WUF1N0hoaTdpVU1pTmVnUjBiWWN5R1ByMlZIanYw?oc=5
6.0,9c7a8f72fc,headline_only,The Augusta Chronicle,Augusta extends data center moratorium after public opposition,moratorium,Augusta,VA,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOUGczSXZMby12UFpRUXNuZWxVRmJqeWNZRmRRQkJfb1hkZnA3V0ZLVVJRZFJ4U0lkbFpUbFBXYWdKLUpMNGhZUlJLaERlZmpPaGstNjVnVTNPWEJXWGloWm80aWlVcmZVdlVObFJGV2tnRGhzZGNITkNWNVBpaUtTVlFXUWtKel8zZVE5XzNYa1dULXU2VHhEcFBhOGZNWmt1R0RrcThSTk9aLXd3RzZlcHBsbTNNRVFuY09rbVgxdlNBbHhlQU5oMUxDWnVuTHY2UnZZYUJ2c1g1Z1Q0TlE?oc=5
6.0,71b0905554,headline_only,The Institute for Energy Research,New York Imposes a Data Center Moratorium,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMimgFBVV95cUxOcDJnWWJPXzNlZGZETF84U2ppdVFrQ19oY1FBZ3NJS0h2dUJQZ2JCWlZRTUE3c2RvMENrUjAtVm96ZFA3c2p1aVFVVE4waWpLT3VtanBKUjE2WmQ2OUtYd1pIRVhNMVd1QjJTZ2hOd29veTg2ZWFBYmR1WFQtQkl0ZktXVV9maTBzNmlEaldJVnFFWjEzdVktaktB?oc=5
6.0,21ac3e7028,headline_only,The Seattle Times,Skagit County passes data center moratorium,moratorium,Skagit,WA,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMinwFBVV95cUxNWjJWQXZsdmpnaDFKWG9jTHlNNm1zeTN4X0FJSWRpT1doOEdZMDc2eFRjLVRIOTNXRmpOODIyLVBvUVJMeF9aMDVPZWhRWTZZN3E3UDY2RlZuU3AxVUZQNVo0RVgyQVFBUFhNMlhWTlV2X3hUTHJtSDZRR1Y3WHpaRXFldFpoZzNLam9QejMyVDJCU25JVm1qRjU1ek5ITjQ?oc=5
6.0,9f69dd7633,headline_only,WIRED,New York Governor Signs First Statewide Data Center Moratorium,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMilgFBVV95cUxPaTJHMTdjVWVuVGlaVG9TcHJCaVlTVkpRdDk1NTItdFRNWnphNkp3WEpqYkx3UU5xa3hsZXNvSFJSbk5Rejg1dHVnV0lHWDAzNzFpVV90NTZKOUJzRmZ4cXV1SGtGSkJWUGhITnA3cDJEYVJESFd1eWd5ZU1qTXJuQ0l4bmNXTGEzaVpNcEVuaXZNWmgwS2c?oc=5
6.0,f9f0a75a09,headline_only,WUSF,A one-year moratorium is placed on data centers in Pasco County,moratorium,Pasco,FL,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMimgFBVV95cUxPcnd3WXhvU1Jvc05LTURDdzF1LW0zaUpvay04TkVfYVpGMDFfQlBGR2lZT3hlT0VOSmpDc0tnNExnQXRpdDhpSWtZRDRGOTc1WU92R1VIc3FJclFYNllEazZYVmxpNlVOdm14d2FFU1R5VmFvaUJOMVR5YnZJNzRGd3ZvQ29Xb2V2OG9haS1yeGdJMGxRVk1HbVpB?oc=5
6.0,21b55d465b,headline_only,WUSF,A one-year moratorium may be coming for data centers in Pasco County,moratorium,Pasco,FL,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMimgFBVV95cUxPcnd3WXhvU1Jvc05LTURDdzF1LW0zaUpvay04TkVfYVpGMDFfQlBGR2lZT3hlT0VOSmpDc0tnNExnQXRpdDhpSWtZRDRGOTc1WU92R1VIc3FJclFYNllEazZYVmxpNlVOdm14d2FFU1R5VmFvaUJOMVR5YnZJNzRGd3ZvQ29Xb2V2OG9haS1yeGdJMGxRVk1HbVpB?oc=5
6.0,8e0ae0bf1b,headline_only,WXII,Davie County leaders consider data center moratorium as residents voice opposition,moratorium,Davie,NC,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQXzRybWkyX3IxX2hfdzg2YTZndmRidzNlc05IUHBscmo4aTBUNWNFVVV6SUJhR2hMQ1N1d0NISS1vMnVhay00MVlLSlRCdnh0MjUwbkJXMkVYVjlsejlYYldkUm1yQllVWk5qdGJaaVFUSFpzeEdpV2NJR3o4LWxfeGVRTzlDQUxRMWdN?oc=5
6.0,d59decc734,headline_only,WXII,Davie County residents express demands for data center moratorium,moratorium,Davie,NC,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMijwFBVV95cUxQa2dyaTFCN3VLa0lRVXlOQWdHbmZoNUVSWEN6NkRBUHBSbDQ5OUxud3haTWNnU3NSZDZtYzlNc3RiNGp2S3h2c1hFMW9fWE52ODBKSFA2cXh6Qi1hclFxLVRzVHptazllaGYwd1k0RFRHRjREUUpYOEgtMV9tSjkySjM4VDU0UHJfSWItOWczUQ?oc=5
6.0,41bf2330d1,headline_only,West Central Tribune,Residents of NE Minnesota’s Carlton County seek moratorium on data centers,moratorium,Carlton,MN,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNV2F0eGoxVWtTdWd1WnZGcmNJVVFDRUFQWHpOVkw3NUgyR052UHZUY2YtVk5hMWpqSTltSXNHOF9oMndncGtrSEFqYlA3dHVvVlNiWGJnSmlCeFRxYTdZRnFTRjF6ZXpwTmlzbjVvcFlOa2diWWkyYUpBWWZvaVlBeHVCbXFlMnVkTlpnRDcyTFY2eG1Qcm1UbnhsNkctUFA5M3R6aTFqSVRmYnM?oc=5
6.0,04d134e360,headline_only,govtech.com,Colorado County Prepares to Extend Data Center Moratorium,moratorium,Colorado,TX,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOLUN3N0lIUm1IMG1QUmpuS1ZlUVQtTGE0S3Ixa1RnTlVxMTJWN3VUb0UxUXU1SlRxcW5DbVdwcmwtUm9kaWQ4UG8wYW50QmNCc3JmeHZlTlVqOFZxMXNNMmh3dUZENm5XQUVzSlBGcFBVR09WMkNacHU3N3BNSXp2bnlZNkUwa21LUmJtR1FoaTFaS0djYW5mR2hjLUxxemtXNW1GX25LOXI?oc=5
6.0,fd3dff294a,headline_only,indiagazette.com,New York imposes first state data center moratorium,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMimwFBVV95cUxPY2NnYlVpLWFMVVd3TERERmxDdVQtZ0U1X0tvYTRJdV9tN3Jzc3NQWDhlYmdZVllCX0poU3BmNDlmNDljalhGNm5jTjNTLUdCY251LXdMbzFycjNyVlZ3REZEVW94T25NVTVxNU9WVkR6TC1Ycm9UM0xuQ3c1NDIwYmhFc3c4X1E1NzZFdWJKbk5MMDM1aXAybF9uVQ?oc=5
6.0,2386d5d68c,headline_only,lubbocklights.com,"Process starts for moratorium on new data centers in Lubbock – what it would do, who supports it, what critics say",moratorium,Lubbock,TX,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOV3VReXhtVlItMFBvQlFzV0RqdUxESEJoMGM0Y2pVTUJIM1oxbnRGMVN6TDdYVUVyM3Bwcm91V1pGdl9FV3U5d19qX0FSNHphSHZ4QWhGcVgtM0s4ZUxYSFpwNEJrS2luekNnRFdiWDdGRlF1c1pvX1hyT3I4bzA5OXJnbFhveUtCWjRyYW9JV3dDZzhwVkpPbjA2MFJXVnFKUmZKLUpUQXZ3ancyRkRJalVIT3c2R3A1QVhQcnhxTHgwUmM3b1F3LTYwYzF5NWQ2NXJR?oc=5
6.0,6521c17490,headline_only,wtsp.com,Citrus County approves moratorium halting AI data center projects,moratorium,Citrus,FL,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPdnpxNldnZTk2Y28tanE3VDFkMnpSZk1DMGkxamJtUTlNcUM3dzhUdGlfVnV6Z3F0Sl91d3plaG1MMkFlaDVNWmRfd1FRRGkxUTVFd1dpQVluWWVVcHZKQkYwLTU4OUhTaGhJZVJXTHZ1aDVKb2RXTXFzLUtzWHJDc3hxQ3BtWWg0bnpVTFk4SWFEcWZHQUdjYVFXRk41MkJCMmFDT3c4UWU0SmZhT1RWVzdZYUFNXzRpS3hacFpBZWlRcUgwbXZnZmlNX3VGOW1LWnBmMXZEM1AwSDY3TVduYzNQclI?oc=5
5.0,05cd2175df,headline_only,CBC,"Hamilton's data centre moratorium could be a Canadian first, researcher says, and more could follow",moratorium,Hamilton,,low,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMifEFVX3lxTFB3ckpDS3BONGx0cllrdmRSOTZiMkFKRVZPV0ltbmVxTWdDNDZsNDlUMEhkMV9IeXQxSDNjMXJFSUdrVHJOeWo0SU1NWC1EcVhnZnBELTFqNmtRU1dTeEpGRVZzcDlWcjZlZ085eGxmbzY0UVJnTDdZblVwMlo?oc=5
5.0,def009ae99,headline_only,Cowboy State Daily,Full Speed Ahead For Cheyenne Data Centers As Council Rejects Moratorium,moratorium,Cheyenne,,low,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMiswFBVV95cUxPbTlFeEdxSS1tcjUyTndLeWN6SjZxYTlUU0FNTWxELWdFQTZzdzQ5TC1QaWZraVZzaDdSdGgwb0tjcW5ubktKWEY0Z0FsczFJLVFEclVSamlDN21wWjRXZlRkbGZVYzJLV3pYWEhTY2lnbVZUWXdFN2g5QTlndjlGSDlOTE9Qa1d2SnZsNWNLTWxRNm9CZ0VNWF84ajZWdERqV3o2RmozNEoxdFRMTjM1QmwxYw?oc=5
5.0,18721e2ed1,headline_only,DeSoto County News,Jackson passes state’s first data center moratorium,moratorium,Jackson,,low,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMingFBVV95cUxPXy0tZEJFcGxMQnk5d1FyTUlVNEd1MXVBY3BicjFmVnk2SXhQdzZXSE96TTh6RmZuRjNDdUh2dUlNUkl3M3pvbUVqb2dvRUYzdmxGSlY3R1dyZmVxZWpMeGFpNGhsczZzb3RfZ3NQb3c2Q09VWDVEbXYzZ0RHZ2c3UVowMTZkZHQ0MF9tbzNZOFNZN2JFOHc3ZTNyWDNTZw?oc=5
5.0,f1887de665,headline_only,Dispatch Argus,Clinton City Council rejects moratorium as QTS considers data center,moratorium,Clinton,,low,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMiowFBVV95cUxNMFU0RE84ZzVKdlN5VjBtdFllQjZTcWtvYm5pZGxoQ1ZMN3EtcGdUS1JMZkZXRl85WFdNNml3RHRMSm9HTFZ3aTN6VU1YMkp6UTM4YUUwczBiVTdaZWQzR2pRQkdxem5NLV9ROXNNeXZqU0VJaEVfRkZsajcxbzhWX3drUktyV3hiUUZkRHNIWFhnODhMbDd2T3U1bzk4clEybUYw?oc=5
5.0,f48bf53492,headline_only,FOX5 Vegas,"City of Henderson looking at existing codes, tables moratorium vote on data centers",moratorium,Henderson,,low,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMipAFBVV95cUxPNndhWGlMQzlpNGtoVW8wbU11akhqd1NZc0lDZnh1cnJya3M1VjVDUmNYRlZ1TEpxRTFqaEtrM0ctQzNDSlNnN09lb0FNYUF2SXdkbFEwanVuLVpsVHhEcFd2RU5NdEN0eUEyYWdoNjlLU0JLcVhHTnVnVVNVTUtCZm0zMnFOQ2NkVXpXdGxJZzNDa0V5TnRyd3BodnhnalpDUFZiddIBuAFBVV95cUxOa2x4UVdXaUl4bWt1dzFNLUNHUGJ3QTY1QWpOV3NjM0p5TmdGcV9sNnVKWXc5NFhMd1p0ZHFDWHRPamlFbllydWtoTkVnZWVKT2VvYTFMRVdpMkhLZTVXSVBBMmxMN1ZrQXlibmZKd1V2YlFTT1dTT3VLdHkzTGlpcEZQeFJSMllSYnFqQ05oeGpEZ3B3aXFTczVyYlJSUllWSkplVk5tV0VHVzZEWTRlRTRLY0QtZVVa?oc=5
5.0,e45280f2e6,headline_only,Green Bay Press-Gazette,Brown County committee declines to pursue data center moratorium,moratorium,Brown,,low,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPdUkzejk1dzFYSmE1NTBhYWwwWDl4TjBYV3FQc0ZydUl0X2puaVhkU2NXcmVkX3pPeEZ6Y0FVQzdVbmZ0NFhSbGRrMXNOZEFrMmFrN0JuVm9SVTkydWlpWFN4b0dialgySVR1cWdkMUp1YTJpdTdUQUdpSzc2aFMxa0NsYWJSZDR5LVdmRlJ5TVNWVWJUV09SUTFMODRucmdaR2RmcVl0Wk9PTEF3QlRDX25MSExiNVNrQi1BR1d2elJ3MmhTSkRURjY0YkVmTUNWNEZZVVpUaEVfdVk?oc=5
5.0,d8efbf1907,headline_only,IPM Newsroom,Champaign County takes first step towards a one-year data center moratorium,moratorium,Champaign,,low,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMiogFBVV95cUxNYVdaLThhV2VFektPNFAyU3pZS0x1UzN2UGZSanotZ0swY19LN09wWDV5c2JuLUNzQ3BLZTZ3TzUwVm1yY3ZHX1ZGWHhtM2QzY2xFaDhIQlg5SktrNGM3aU10Nzhndjg4Y1RNR1c4X2lVemZzSDBORFdZeWQ1WHBwUnpselBqZ1VudHI4R0lMZTFaWUk3dWVELVdrSDMydWJNeWc?oc=5
5.0,2c41014530,headline_only,Iowa Public Radio,Potential data center sparks moratorium push in northwest Iowa,moratorium,,IA,state_only,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMitAFBVV95cUxNRUtKMVVmODBwY0dpYnVsZ0hYT012ZDlCQ202X0lXREF2VW1ncHNBVkdJdWUtWXExbmIteGs0R2xMY1hvcVlZV1hIZUFGcFZ4NDZmczk4QVAwMUZoQVVyTHZ5WnNzX3R0ZkhxZzlxdlJNNXpQMWtoaGwtQUNxOEhzTFJUaW5IanoxVURVaXgya0Y1Y1VrMWVFWklYa2k4UWRVNHdnWndGVGFRUUdHal9LUGhaWUI?oc=5
5.0,2760708b17,headline_only,KCTV,Jackson County Legislature delays vote on two data center moratorium proposals,moratorium; legislation,Jackson,,low,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMirgFBVV95cUxQYTEyWTQwbHM3UU1ySjJpbGhnRndGaEtySno1bWgyOHMzZkduMlRIeTJ6NHJGbWRtMDlVdGhkT3lfWWRVLW5PWG9yMVRoOFhHbFZscXpUN3lqcmd0QmxRUC1LcTlmVTNtS011bDJPSUNXbjNvWm1hX3VHMVAyaUtNN0xGemU1YkRDQ0xWdFlWN0kwQ040UXNFMGpxSkNoNG54QU9JMWJWdHZwcVVKN2fSAcIBQVVfeXFMTUlBVGdhX05BdndHYVJ5U21saExpYzNZUjVrSEl4TWNkV3RYRGM3U0RKZXBNSGd1aUdHV1NqaU40eDJBb1BoMmh2TWVHT1ctNWZlb1pISWpDYTFaekMxN1Y0LUtpQm1odk91OTJnb3dCOFVOVmhKLUN0WnJpQ3ExZGdXdGFoVno5YVZmdUtuM25CSEFMRW5yUHAxeFd5cEQxOUUtdDRNVDdIWXlYYVhvQVpsWnQ4eUhpa0JndlFZZUN5eGc?oc=5
